Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-10-07,5,5,,PIT,SEA,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,21,0,Santonio Holmes
2007,2007-10-21,6,7,23.232,PIT,DEN,True,10,6,54,9.00,1,60.0%,5.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,False,28,31,Santonio Holmes
2007,2007-10-28,7,8,23.239,PIT,CIN,True,6,6,87,14.50,0,100.0%,14.50,1,2,2.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,24,13,Santonio Holmes
2007,2007-11-05,8,9,23.247,PIT,BAL,True,5,4,110,27.50,2,80.0%,22.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,False,True,38,7,Santonio Holmes
2007,2007-11-11,9,10,23.253,PIT,CLE,True,8,4,53,13.25,0,50.0%,6.63,1,-2,-2.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,31,28,Santonio Holmes
2007,2007-11-18,10,11,23.260,PIT,NYJ,True,6,5,75,15.00,1,83.3%,12.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,False,16,19,Santonio Holmes
2007,2007-11-26,11,12,,PIT,MIA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,3,0,Santonio Holmes
2007,2007-12-02,12,13,,PIT,CIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,24,10,Santonio Holmes
2007,2007-12-09,13,14,23.281,PIT,NWE,True,4,1,13,13.00,0,25.0%,3.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,13,34,Santonio Holmes
2007,2007-12-16,14,15,23.288,PIT,JAX,True,8,4,34,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,0,2,1,0,0,0,0,0,,,,,,,False,False,22,29,Santonio Holmes
