Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-11-21,10,11,26.066,ATL,STL,False,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,True,True,34,17,Harry Douglas
2010,2010-11-28,11,12,26.073,ATL,GNB,False,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,20,17,Harry Douglas
2010,2010-12-05,12,13,26.080,ATL,TAM,False,3,1,21,21.00,0,33.3%,7.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,28,24,Harry Douglas
2010,2010-12-12,13,14,26.087,ATL,CAR,True,1,1,46,46.00,0,100.0%,46.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,31,10,Harry Douglas
2010,2010-12-19,14,15,26.094,ATL,SEA,False,3,1,10,10.00,0,33.3%,3.33,1,0,0.00,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,34,18,Harry Douglas
2010,2010-12-27,15,16,26.102,ATL,NOR,False,3,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,False,False,14,17,Harry Douglas
2010,2011-01-02,16,17,26.108,ATL,CAR,False,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,31,10,Harry Douglas
2011,2011-09-11,1,1,26.360,ATL,CHI,False,4,2,10,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,12,30,Harry Douglas
2011,2011-09-18,2,2,27.002,ATL,PHI,False,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,35,31,Harry Douglas
2011,2011-09-25,3,3,27.009,ATL,TAM,False,7,5,35,7.00,0,71.4%,5.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,13,16,Harry Douglas
