Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2006,2006-11-19,10,11,28.294,TEN,PHI,False,4,4,100.0,1,1,100.0,0,7,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,True,31,13,Rob Bironas
2006,2006-11-26,11,12,28.301,TEN,NYG,False,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,24,21,Rob Bironas
2006,2006-12-03,12,13,28.308,TEN,IND,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,True,20,17,Rob Bironas
2006,2006-12-10,13,14,28.315,TEN,HOU,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,True,26,20,Rob Bironas
2006,2006-12-17,14,15,28.322,TEN,JAX,False,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,24,17,Rob Bironas
2006,2006-12-24,15,16,28.329,TEN,BUF,False,3,3,100.0,3,3,100.0,0,12,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,30,29,Rob Bironas
2006,2006-12-31,16,17,28.336,TEN,NWE,False,2,2,100.0,3,4,75.0,0,11,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,False,23,40,Rob Bironas
2007,2007-09-09,1,1,29.223,TEN,JAX,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,13,10,Rob Bironas
2007,2007-09-16,2,2,29.230,TEN,IND,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,20,22,Rob Bironas
2007,2007-09-24,3,3,29.238,TEN,NOR,False,4,4,100.0,1,2,50.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,31,14,Rob Bironas
2007,2007-10-07,4,5,29.251,TEN,ATL,False,2,2,100.0,2,3,66.7,0,8,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,True,20,13,Rob Bironas
2007,2007-10-14,5,6,29.258,TEN,TAM,False,1,1,100.0,1,1,100.0,0,4,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,False,10,13,Rob Bironas
2007,2007-10-21,6,7,29.265,TEN,HOU,False,2,2,100.0,8,8,100.0,0,26,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,38,36,Rob Bironas
2007,2007-10-28,7,8,29.272,TEN,OAK,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,13,9,Rob Bironas
2007,2007-11-04,8,9,29.279,TEN,CAR,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,20,7,Rob Bironas
2007,2007-11-11,9,10,29.286,TEN,JAX,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,13,28,Rob Bironas
2007,2007-11-19,10,11,29.294,TEN,DEN,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,20,34,Rob Bironas
2007,2007-11-25,11,12,29.300,TEN,CIN,False,,,,2,2,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,6,35,Rob Bironas
