Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-11-11,9,10,37.328,NOR,@,CIN,W 51-14,False,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,39%,0,0%,2,7%,True,Ben Watson
2018,2018-11-18,10,11,37.335,NOR,,PHI,W 48-7,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,30%,0,0%,3,11%,False,Ben Watson
2018,2018-11-22,11,12,37.339,NOR,,ATL,W 31-17,False,2,1,20,20.00,0,50.0%,10.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,32%,0,0%,1,4%,False,Ben Watson
2018,2018-11-29,12,13,37.346,NOR,@,DAL,L 10-13,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,38%,0,0%,0,0%,True,Ben Watson
2018,2018-12-09,13,14,37.356,NOR,@,TAM,W 28-14,False,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,44%,0,0%,0,0%,True,Ben Watson
2018,2018-12-17,14,15,37.364,NOR,@,CAR,W 12-9,False,2,1,28,28.00,0,50.0%,14.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,44%,0,0%,0,0%,True,Ben Watson
2018,2018-12-23,15,16,38.005,NOR,,PIT,W 31-28,False,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,38%,0,0%,0,0%,False,Ben Watson
2018,2018-12-30,16,17,38.012,NOR,,CAR,L 14-33,False,3,2,29,14.50,0,66.7%,9.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,27,52%,0,0%,0,0%,False,Ben Watson
2019,2019-09-08,1,1,,NWE,,PIT,W 33-3,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Ben Watson
2019,2019-09-15,2,2,,NWE,@,MIA,W 43-0,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Ben Watson
2019,2019-09-22,3,3,,NWE,,NYJ,W 30-14,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Ben Watson
