Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-09-10,1.0,1.0,22.235,JAX,HOU,W 29-7,True,26,100,3.85,1,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,,,1,6,1,0,0,0,0,0,39,61%,0,0%,0,0%,True,Leonard Fournette,True,29,7
2017.0,2017-09-17,2.0,2.0,22.242,JAX,TEN,L 16-37,True,14,40,2.86,1,5,2,21,10.50,0,40.0%,4.20,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,40,60%,0,0%,0,0%,False,Leonard Fournette,False,16,37
2017.0,2017-09-24,3.0,3.0,22.249,JAX,BAL,W 44-7,True,17,59,3.47,1,4,3,21,7.00,0,75.0%,5.25,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,37,51%,0,0%,0,0%,False,Leonard Fournette,True,44,7
2017.0,2017-10-01,4.0,4.0,22.256,JAX,NYJ,L 20-23,True,24,86,3.58,0,5,4,59,14.75,1,80.0%,11.80,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,39,50%,0,0%,0,0%,True,Leonard Fournette,False,20,23
2017.0,2017-10-08,5.0,5.0,22.263,JAX,PIT,W 30-9,True,28,181,6.46,2,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,2,12,0,0,0,0,0,0,39,72%,0,0%,0,0%,True,Leonard Fournette,True,30,9
2017.0,2017-10-15,6.0,6.0,22.27,JAX,LAR,L 17-27,True,21,130,6.19,1,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,41,59%,0,0%,0,0%,False,Leonard Fournette,False,17,27
2017.0,2017-10-22,7.0,7.0,,JAX,IND,W 27-0,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Leonard Fournette,True,27,0
2017.0,2017-11-05,8.0,9.0,,JAX,CIN,W 23-7,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Leonard Fournette,True,23,7
2017.0,2017-11-12,9.0,10.0,22.298,JAX,LAC,W 20-17,True,17,33,1.94,0,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,45,54%,0,0%,0,0%,False,Leonard Fournette,True,20,17
2017.0,2017-11-19,10.0,11.0,22.305,JAX,CLE,W 19-7,True,28,111,3.96,0,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,52,67%,0,0%,0,0%,True,Leonard Fournette,True,19,7
2017.0,2017-11-26,11.0,12.0,22.312,JAX,ARI,L 24-27,True,12,25,2.08,0,3,3,17,5.67,0,100.0%,5.67,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,28,44%,0,0%,0,0%,True,Leonard Fournette,False,24,27
2017.0,2017-12-03,12.0,13.0,22.319,JAX,IND,W 30-10,True,20,57,2.85,1,4,3,22,7.33,0,75.0%,5.50,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,51,78%,0,0%,0,0%,False,Leonard Fournette,True,30,10
2017.0,2017-12-10,13.0,14.0,22.326,JAX,SEA,W 30-24,True,24,101,4.21,1,6,4,18,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,50,76%,0,0%,0,0%,False,Leonard Fournette,True,30,24
2017.0,2017-12-17,14.0,15.0,,JAX,HOU,W 45-7,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Leonard Fournette,True,45,7
2017.0,2017-12-24,15.0,16.0,22.34,JAX,SFO,L 33-44,True,18,48,2.67,1,3,3,22,7.33,0,100.0%,7.33,0,0,,0,0,0,,0,0,,,1,6,0,0,0,1,0,0,49,56%,0,0%,0,0%,True,Leonard Fournette,False,33,44
2017.0,2017-12-31,16.0,17.0,22.347,JAX,TEN,L 10-15,True,19,69,3.63,0,5,4,67,16.75,0,80.0%,13.40,0,0,,0,0,0,,0,0,,,0,0,1,0,0,1,0,0,52,87%,0,0%,0,0%,True,Leonard Fournette,False,10,15
2018.0,2018-09-09,1.0,1.0,23.234,JAX,NYG,W 20-15,True,9,41,4.56,0,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,21,33%,0,0%,0,0%,True,Leonard Fournette,True,20,15
2018.0,2018-09-16,2.0,2.0,,JAX,NWE,W 31-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Leonard Fournette,True,31,20
2018.0,2018-09-23,3.0,3.0,,JAX,TEN,L 6-9,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Leonard Fournette,False,6,9
2018.0,2018-09-30,4.0,4.0,23.255,JAX,NYJ,W 31-12,True,11,30,2.73,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,24,31%,0,0%,0,0%,False,Leonard Fournette,True,31,12
2018.0,2018-10-07,5.0,5.0,,JAX,KAN,L 14-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Leonard Fournette,False,14,30
2018.0,2018-10-14,6.0,6.0,,JAX,DAL,L 7-40,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Leonard Fournette,False,7,40
2018.0,2018-10-21,7.0,7.0,,JAX,HOU,L 7-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Leonard Fournette,False,7,20
