Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2007,2007-11-25,11,12,23.108,CAR,,NOR,L 6-31,False,8,14,57.14,66,0,1,39.6,0,0,4.71,1.50,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Matt Moore
2007,2007-12-02,12,13,,CAR,,SFO,W 31-14,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Matt Moore
2007,2007-12-09,13,14,23.122,CAR,@,JAX,L 6-37,False,3,10,30.00,21,0,0,39.6,0,0,2.10,2.10,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,Matt Moore
2007,2007-12-16,14,15,23.129,CAR,,SEA,W 13-10,True,19,27,70.37,208,0,0,92.8,0,0,7.70,7.70,2,5,2.50,0,0,0,2,0,0,2,-4,0,,,,,,,False,Matt Moore
2007,2007-12-22,15,16,23.135,CAR,,DAL,L 13-20,True,15,28,53.57,182,1,1,70.8,5,35,6.50,5.61,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Matt Moore
2007,2007-12-30,16,17,23.143,CAR,@,TAM,W 31-23,True,15,24,62.50,174,2,1,94.8,1,5,7.25,7.04,1,0,0.00,0,0,0,0,0,0,1,0,0,,,,,,,True,Matt Moore
2008,2008-09-07,1,1,,CAR,@,SDG,W 26-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Moore
2008,2008-09-14,2,2,,CAR,,CHI,W 20-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Matt Moore
2008,2008-09-21,3,3,,CAR,@,MIN,L 10-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Moore
2008,2008-09-28,4,4,,CAR,,ATL,W 24-9,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Matt Moore
