Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2015,2015-10-25,6,7,,STL,CLE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,24,6,Tre Mason
2015,2015-11-01,7,8,22.087,STL,SFO,False,15,46,3.07,0,1,1,6,6.00,0,100.0%,6.00,0,0,0,0,0,0,0,0,21,30%,0,0%,0,0%,False,True,27,6,Tre Mason
2015,2015-11-08,8,9,22.094,STL,MIN,False,3,3,1.00,0,1,1,-4,-4.00,0,100.0%,-4.00,0,0,0,0,0,0,0,0,6,8%,0,0%,0,0%,True,False,18,21,Tre Mason
2015,2015-11-15,9,10,22.101,STL,CHI,False,6,31,5.17,0,1,1,16,16.00,0,100.0%,16.00,0,0,1,1,0,0,0,0,11,17%,0,0%,0,0%,False,False,13,37,Tre Mason
2015,2015-11-22,10,11,,STL,BAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,13,16,Tre Mason
2015,2015-11-29,11,12,22.115,STL,CIN,False,1,-2,-2.00,0,7,7,37,5.29,0,100.0%,5.29,0,0,0,0,0,0,0,0,20,27%,0,0%,0,0%,True,False,7,31,Tre Mason
2015,2015-12-06,12,13,22.122,STL,ARI,False,2,13,6.50,0,2,2,10,5.00,0,100.0%,5.00,0,0,0,0,0,0,0,0,12,24%,0,0%,0,0%,False,False,3,27,Tre Mason
2015,2015-12-13,13,14,22.129,STL,DET,False,4,7,1.75,0,2,2,1,0.50,0,100.0%,0.50,0,0,0,0,0,0,0,0,7,13%,0,0%,0,0%,False,True,21,14,Tre Mason
2015,2015-12-17,14,15,22.133,STL,TAM,False,3,13,4.33,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,9,17%,0,0%,0,0%,False,True,31,23,Tre Mason
2015,2015-12-27,15,16,22.143,STL,SEA,False,3,3,1.00,0,1,1,3,3.00,0,100.0%,3.00,0,0,0,0,0,0,0,0,6,11%,0,0%,0,0%,True,True,23,17,Tre Mason
2015,2016-01-03,16,17,22.150,STL,SFO,True,18,44,2.44,1,0,0,0,,0,0.0%,,1,6,1,0,0,0,0,0,36,51%,0,0%,0,0%,True,False,16,19,Tre Mason
,25 Games,,,,,,False,254,972,3.83,5,51,34,236,6.94,1,66.7%,4.63,6,36,5,2,0,2,0,0,,,,,,,False,False,15,0,Tre Mason
