Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2007,2007-10-14,5,6,24.149,TEN,TAM,True,11,14,78.57,120,0,1,72.6,1,4,8.57,5.36,3,6,2.00,0,,0,0,1,1,0,0,-4,0,True,False,10,13,Vince Young
2007,2007-10-21,6,7,,TEN,HOU,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,38,36,Vince Young
2007,2007-10-28,7,8,24.163,TEN,OAK,True,6,14,42.86,42,0,0,50.3,2,16,3.00,3.00,7,11,1.57,0,,0,0,1,0,0,1,-1,0,False,True,13,9,Vince Young
2007,2007-11-04,8,9,24.170,TEN,CAR,True,14,23,60.87,110,0,2,36.5,3,14,4.78,0.87,8,25,3.13,1,,1,6,0,0,0,1,0,0,False,True,20,7,Vince Young
2007,2007-11-11,9,10,24.177,TEN,JAX,True,24,41,58.54,257,1,2,64.8,4,27,6.27,4.56,8,52,6.50,0,,0,0,1,0,0,1,0,0,False,False,13,28,Vince Young
2007,2007-11-19,10,11,24.185,TEN,DEN,True,26,41,63.41,305,1,2,73.7,1,15,7.44,5.73,11,74,6.73,1,,1,6,0,,0,0,0,0,True,False,20,34,Vince Young
2007,2007-11-25,11,12,24.191,TEN,CIN,True,19,31,61.29,246,0,1,72.8,1,2,7.94,6.48,2,6,3.00,0,,0,0,1,1,0,0,0,0,True,False,6,35,Vince Young
2007,2007-12-02,12,13,24.198,TEN,HOU,True,21,31,67.74,248,2,1,99.9,3,19,8.00,7.84,5,44,8.80,0,,0,0,1,0,0,1,0,0,False,True,28,20,Vince Young
2007,2007-12-09,13,14,24.205,TEN,SDG,True,13,21,61.90,121,0,2,38.1,1,5,5.76,1.48,2,2,1.00,0,,0,0,0,,0,0,0,0,False,False,17,23,Vince Young
2007,2007-12-16,14,15,24.212,TEN,KAN,True,16,26,61.54,191,2,0,109.6,1,12,7.35,8.88,7,32,4.57,0,,0,0,0,,0,0,0,0,True,True,26,17,Vince Young
2007,2007-12-23,15,16,24.219,TEN,NYJ,True,12,22,54.55,166,0,1,60.0,3,20,7.55,5.50,7,1,0.14,0,,0,0,3,1,0,2,0,0,False,True,10,6,Vince Young
2007,2007-12-30,16,17,24.226,TEN,IND,True,14,18,77.78,157,0,0,103.0,1,5,8.72,8.72,4,19,4.75,0,,0,0,0,,0,0,0,0,True,True,16,10,Vince Young
2008,2008-09-07,1,1,25.112,TEN,JAX,True,12,22,54.55,110,1,2,45.6,1,3,5.00,1.82,1,4,4.00,0,,0,0,1,0,0,0,0,0,False,True,17,10,Vince Young
2008,2008-09-14,2,2,,TEN,CIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,24,7,Vince Young
2008,2008-09-21,3,3,,TEN,HOU,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,31,12,Vince Young
2008,2008-09-28,4,4,,TEN,MIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,30,17,Vince Young
2008,2008-10-05,5,5,,TEN,BAL,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,13,10,Vince Young
2008,2008-10-19,6,7,,TEN,KAN,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,34,10,Vince Young
2008,2008-10-27,7,8,,TEN,IND,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,31,21,Vince Young
2008,2008-11-02,8,9,,TEN,GNB,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,19,16,Vince Young
2008,2008-11-09,9,10,,TEN,CHI,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,21,14,Vince Young
2008,2008-11-16,10,11,,TEN,JAX,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,24,14,Vince Young
2008,2008-11-23,11,12,,TEN,NYJ,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,13,34,Vince Young
2008,2008-11-27,12,13,25.193,TEN,DET,False,1,1,100.00,54,0,0,118.7,0,0,54.00,54.00,2,-2,-1.00,0,,0,0,0,,0,0,0,0,True,True,47,10,Vince Young
2008,2008-12-07,13,14,,TEN,CLE,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,28,9,Vince Young
2008,2008-12-14,14,15,,TEN,HOU,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,12,13,Vince Young
2008,2008-12-21,15,16,,TEN,PIT,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,31,14,Vince Young
2008,2008-12-28,16,17,25.224,TEN,IND,False,9,13,69.23,55,0,0,77.4,2,10,4.23,4.23,5,25,5.00,0,,0,0,1,0,0,1,0,0,True,False,0,23,Vince Young
2009,2009-09-10,1,1,,TEN,PIT,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,10,13,Vince Young
2009,2009-09-20,2,2,,TEN,HOU,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,31,34,Vince Young
2009,2009-09-27,3,3,,TEN,NYJ,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,17,24,Vince Young
2009,2009-10-04,4,4,,TEN,JAX,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,17,37,Vince Young
2009,2009-10-11,5,5,26.146,TEN,IND,False,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,1,6,6.00,0,,0,0,0,,0,0,0,0,False,False,9,31,Vince Young
2009,2009-10-18,6,6,26.153,TEN,NWE,False,0,2,0.00,0,0,1,0.0,0,0,0.00,-22.50,2,-1,-0.50,0,,0,0,1,0,0,1,-18,0,True,False,0,59,Vince Young
2009,2009-11-01,7,8,26.167,TEN,JAX,True,15,18,83.33,125,1,0,114.1,0,0,6.94,8.06,12,30,2.50,0,,0,0,0,,0,0,0,0,False,True,30,13,Vince Young
2009,2009-11-08,8,9,26.174,TEN,SFO,True,12,19,63.16,172,0,0,92.4,1,9,9.05,9.05,5,14,2.80,1,,1,6,0,,0,0,0,0,True,True,34,27,Vince Young
2009,2009-11-15,9,10,26.181,TEN,BUF,True,17,25,68.00,210,1,1,90.4,0,0,8.40,7.40,5,29,5.80,0,,0,0,2,0,0,1,-5,0,False,True,41,17,Vince Young
2009,2009-11-23,10,11,26.189,TEN,HOU,True,12,22,54.55,116,1,0,84.7,0,0,5.27,6.18,11,73,6.64,0,,0,0,1,1,0,0,0,0,True,True,20,17,Vince Young
2009,2009-11-29,11,12,26.195,TEN,ARI,True,27,43,62.79,387,1,0,99.7,4,18,9.00,9.47,4,8,2.00,0,,0,0,0,,0,0,0,0,False,True,20,17,Vince Young
2009,2009-12-06,12,13,26.202,TEN,IND,True,24,43,55.81,241,2,1,77.8,1,8,5.60,5.49,4,16,4.00,0,,0,0,2,0,0,2,-6,0,True,False,17,27,Vince Young
2009,2009-12-13,13,14,26.209,TEN,STL,True,6,8,75.00,132,1,0,156.2,0,0,16.50,19.00,1,44,44.00,0,,0,0,0,,0,0,0,0,False,True,47,7,Vince Young
2009,2009-12-20,14,15,26.216,TEN,MIA,True,14,27,51.85,236,3,1,103.3,2,0,8.74,9.30,2,24,12.00,0,,0,0,1,0,0,0,0,0,False,True,27,24,Vince Young
2009,2009-12-25,15,16,26.221,TEN,SDG,True,8,21,38.10,89,0,2,11.9,1,1,4.24,-0.05,6,40,6.67,1,,1,6,1,1,0,0,0,0,False,False,17,42,Vince Young
2009,2010-01-03,16,17,26.230,TEN,SEA,True,17,28,60.71,171,0,1,63.2,0,0,6.11,4.50,2,-2,-1.00,0,,0,0,0,,0,0,0,0,True,True,17,13,Vince Young
2010,2010-09-12,1,1,27.117,TEN,OAK,True,13,17,76.47,154,2,0,142.8,2,14,9.06,11.41,7,30,4.29,0,,0,0,1,1,0,0,0,0,False,True,38,13,Vince Young
2010,2010-09-19,2,2,27.124,TEN,PIT,True,7,10,70.00,66,0,2,48.3,2,18,6.60,-2.40,2,12,6.00,0,,0,0,2,1,0,0,0,0,False,False,11,19,Vince Young
2010,2010-09-26,3,3,27.131,TEN,NYG,True,10,16,62.50,118,1,0,105.7,1,8,7.38,8.63,3,6,2.00,0,,0,0,0,,0,0,0,0,True,True,29,10,Vince Young
2010,2010-10-03,4,4,27.138,TEN,DEN,True,17,28,60.71,173,1,0,90.3,2,6,6.18,6.89,1,18,18.00,0,,0,0,0,,0,0,0,0,False,False,20,26,Vince Young
2010,2010-10-10,5,5,27.145,TEN,DAL,True,12,25,48.00,173,2,0,97.6,3,10,6.92,8.52,4,22,5.50,0,,0,0,0,,0,0,0,0,True,True,34,27,Vince Young
2010,2010-10-18,6,6,27.153,TEN,JAX,True,3,5,60.00,61,1,0,142.5,0,0,12.20,16.20,1,0,0.00,0,,0,0,1,0,0,1,-2,0,True,True,30,3,Vince Young
