Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-11-24,11,12,27.077,DAL,,WAS,W 31-26,True,2,1,10,10.00,1,50.0%,5.00,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,36,64%,0,0%,0,0%,False,Terrance Williams
2016,2016-12-01,12,13,27.084,DAL,@,MIN,W 17-15,True,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,38,73%,0,0%,0,0%,True,Terrance Williams
2016,2016-12-11,13,14,27.094,DAL,@,NYG,L 7-10,False,6,5,76,15.20,1,83.3%,12.67,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,52,79%,0,0%,0,0%,True,Terrance Williams
2016,2016-12-18,14,15,27.101,DAL,,TAM,W 26-20,True,4,3,30,10.00,0,75.0%,7.50,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,50,68%,0,0%,1,3%,False,Terrance Williams
2016,2016-12-26,15,16,27.109,DAL,,DET,W 42-21,True,4,4,61,15.25,0,100.0%,15.25,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,39,68%,0,0%,0,0%,False,Terrance Williams
2016,2017-01-01,16,17,27.115,DAL,@,PHI,L 13-27,True,5,3,33,11.00,1,60.0%,6.60,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,48,86%,0,0%,0,0%,True,Terrance Williams
2017,2017-09-10,1,1,28.002,DAL,,NYG,W 19-3,True,7,6,68,11.33,0,85.7%,9.71,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,38,51%,0,0%,0,0%,False,Terrance Williams
2017,2017-09-17,2,2,28.009,DAL,@,DEN,L 17-42,True,5,4,17,4.25,0,80.0%,3.40,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,49,69%,0,0%,0,0%,True,Terrance Williams
2017,2017-09-25,3,3,28.017,DAL,@,ARI,W 28-17,True,4,3,47,15.67,0,75.0%,11.75,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,33,70%,0,0%,0,0%,True,Terrance Williams
2017,2017-10-01,4,4,28.023,DAL,,LAR,L 30-35,True,6,4,34,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,47,66%,0,0%,0,0%,False,Terrance Williams
2017,2017-10-08,5,5,28.030,DAL,,GNB,L 31-35,True,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,55,74%,0,0%,0,0%,False,Terrance Williams
2017,2017-10-22,6,7,28.044,DAL,@,SFO,W 40-10,True,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,41,55%,0,0%,0,0%,True,Terrance Williams
2017,2017-10-29,7,8,28.051,DAL,@,WAS,W 33-19,True,3,2,36,18.00,0,66.7%,12.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,41,60%,0,0%,0,0%,True,Terrance Williams
2017,2017-11-05,8,9,28.058,DAL,,KAN,W 28-17,True,9,9,141,15.67,0,100.0%,15.67,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,54,81%,0,0%,0,0%,False,Terrance Williams
2017,2017-11-12,9,10,28.065,DAL,@,ATL,L 7-27,True,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,45,71%,0,0%,0,0%,True,Terrance Williams
2017,2017-11-19,10,11,28.072,DAL,,PHI,L 9-37,True,7,4,35,8.75,0,57.1%,5.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,40,63%,0,0%,0,0%,False,Terrance Williams
2017,2017-11-23,11,12,28.076,DAL,,LAC,L 6-28,True,5,4,54,13.50,0,80.0%,10.80,1,6,6.00,0,0,0,,0,,0,0,0,0,0,0,0,0,32,58%,0,0%,0,0%,False,Terrance Williams
2017,2017-11-30,12,13,28.083,DAL,,WAS,W 38-14,True,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,46,69%,0,0%,0,0%,False,Terrance Williams
2017,2017-12-10,13,14,28.093,DAL,@,NYG,W 30-10,True,6,3,25,8.33,0,50.0%,4.17,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,35,56%,0,0%,0,0%,True,Terrance Williams
2017,2017-12-17,14,15,28.100,DAL,@,OAK,W 20-17,False,5,3,19,6.33,0,60.0%,3.80,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,41,63%,0,0%,0,0%,True,Terrance Williams
2017,2017-12-24,15,16,28.107,DAL,,SEA,L 12-21,True,4,4,43,10.75,0,100.0%,10.75,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,56,76%,0,0%,0,0%,False,Terrance Williams
2017,2017-12-31,16,17,28.114,DAL,@,PHI,W 6-0,False,4,2,5,2.50,0,50.0%,1.25,1,9,9.00,0,0,0,,0,,0,0,0,0,0,0,0,0,34,50%,0,0%,0,0%,True,Terrance Williams
2018,2018-09-09,1,1,29.001,DAL,@,CAR,L 8-16,True,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,19,30%,0,0%,0,0%,True,Terrance Williams
2018,2018-09-16,2,2,29.008,DAL,,NYG,W 20-13,False,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,10,19%,0,0%,0,0%,False,Terrance Williams
