Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2021-01-03,16.0,17.0,22.09,JAX,IND,L 14-28,True,9,6,68,11.33,2,66.7%,7.56,1,-2,-2.00,0,2,12,0.0,0,0,0,0,0,0,0,1,0,0,0,45,69%,0,0%,0,0%,True,Laviska Shenault Jr.,False,14,28
2021.0,2021-09-12,1.0,1.0,22.342,JAX,HOU,L 21-37,False,10,7,50,7.14,0,70.0%,5.00,1,9,9.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,70%,0,0%,0,0%,True,Laviska Shenault Jr.,False,21,37
2021.0,2021-09-19,2.0,2.0,22.349,JAX,DEN,L 13-23,False,7,2,-3,-1.50,0,28.6%,-0.43,1,0,0.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,80%,0,0%,0,0%,False,Laviska Shenault Jr.,False,13,23
2021.0,2021-09-26,3.0,3.0,22.356,JAX,ARI,L 19-31,False,4,4,48,12.00,0,100.0%,12.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,44,65%,0,0%,0,0%,False,Laviska Shenault Jr.,False,19,31
2021.0,2021-09-30,4.0,4.0,22.36,JAX,CIN,L 21-24,True,7,6,99,16.50,0,85.7%,14.14,1,11,11.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,75%,0,0%,0,0%,True,Laviska Shenault Jr.,False,21,24
2021.0,2021-10-10,5.0,5.0,23.005,JAX,TEN,L 19-37,True,3,1,58,58.00,0,33.3%,19.33,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,73%,0,0%,0,0%,False,Laviska Shenault Jr.,False,19,37
2021.0,2021-10-17,6.0,6.0,23.012,JAX,MIA,W 23-20,True,10,6,54,9.00,0,60.0%,5.40,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,79%,0,0%,0,0%,False,Laviska Shenault Jr.,True,23,20
2021.0,2021-10-31,7.0,8.0,23.026,JAX,SEA,L 7-31,True,4,2,13,6.50,0,50.0%,3.25,1,8,8.00,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,52,68%,0,0%,0,0%,True,Laviska Shenault Jr.,False,7,31
2021.0,2021-11-07,8.0,9.0,23.033,JAX,BUF,W 9-6,True,4,4,24,6.00,0,100.0%,6.00,1,-4,-4.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,79%,0,0%,0,0%,False,Laviska Shenault Jr.,True,9,6
2021.0,2021-11-14,9.0,10.0,23.04,JAX,IND,L 17-23,True,8,3,15,5.00,0,37.5%,1.88,2,6,3.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,77%,0,0%,0,0%,True,Laviska Shenault Jr.,False,17,23
2021.0,2021-11-21,10.0,11.0,23.047,JAX,SFO,L 10-30,True,5,5,50,10.00,0,100.0%,10.00,0,0,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,29,63%,0,0%,0,0%,False,Laviska Shenault Jr.,False,10,30
2021.0,2021-11-28,11.0,12.0,23.054,JAX,ATL,L 14-21,True,9,5,33,6.60,0,55.6%,3.67,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,73%,0,0%,0,0%,False,Laviska Shenault Jr.,False,14,21
2021.0,2021-12-05,12.0,13.0,23.061,JAX,LAR,L 7-37,False,5,3,30,10.00,0,60.0%,6.00,3,1,0.33,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,53%,0,0%,0,0%,True,Laviska Shenault Jr.,False,7,37
2021.0,2021-12-12,13.0,14.0,23.068,JAX,TEN,L 0-20,True,7,4,34,8.50,0,57.1%,4.86,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,82%,0,0%,0,0%,True,Laviska Shenault Jr.,False,0,20
2021.0,2021-12-19,14.0,15.0,23.075,JAX,HOU,L 16-30,True,7,4,39,9.75,0,57.1%,5.57,1,10,10.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,67%,0,0%,0,0%,False,Laviska Shenault Jr.,False,16,30
2021.0,2021-12-26,15.0,16.0,,JAX,NYJ,L 21-26,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Laviska Shenault Jr.,False,21,26
2021.0,2022-01-02,16.0,17.0,23.089,JAX,NWE,L 10-50,False,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,28%,0,0%,0,0%,True,Laviska Shenault Jr.,False,10,50
2021.0,2022-01-09,17.0,18.0,23.096,JAX,IND,W 26-11,False,7,5,62,12.40,0,71.4%,8.86,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,60%,0,0%,1,5%,False,Laviska Shenault Jr.,True,26,11
,30 Games,,,,,,4-26-0,False,179,121,1219,10.07,5,67.6%,6.81,29,132,4.55,0,5,30,0.0,1,0,1,0,0,1,1,1,1,0,0,,,,,,,False,Laviska Shenault Jr.,False,26,0
