Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-09-13,1.0,1.0,21.344,JAX,IND,W 27-20,True,4,3,37,12.33,1,75.0%,9.25,2,10,5.00,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,31,62%,0,0%,1,4%,False,Laviska Shenault Jr.,True,27,20
2020.0,2020-09-20,2.0,2.0,21.351,JAX,TEN,L 30-33,False,4,3,35,11.67,0,75.0%,8.75,5,37,7.40,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,57%,0,0%,0,0%,True,Laviska Shenault Jr.,False,30,33
2020.0,2020-09-24,3.0,3.0,21.355,JAX,MIA,L 13-31,True,6,5,33,6.60,0,83.3%,5.50,1,1,1.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,68%,0,0%,6,26%,False,Laviska Shenault Jr.,False,13,31
2020.0,2020-10-04,4.0,4.0,21.365,JAX,CIN,L 25-33,True,6,5,86,17.20,0,83.3%,14.33,1,5,5.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,54%,0,0%,0,0%,True,Laviska Shenault Jr.,False,25,33
2020.0,2020-10-11,5.0,5.0,22.006,JAX,HOU,L 14-30,True,8,7,79,11.29,0,87.5%,9.88,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,69%,0,0%,0,0%,True,Laviska Shenault Jr.,False,14,30
2020.0,2020-10-18,6.0,6.0,22.013,JAX,DET,L 16-34,True,7,3,10,3.33,0,42.9%,1.43,1,1,1.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,73%,0,0%,0,0%,False,Laviska Shenault Jr.,False,16,34
2020.0,2020-10-25,7.0,7.0,22.02,JAX,LAC,L 29-39,True,3,3,44,14.67,0,100.0%,14.67,1,0,0.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,75%,0,0%,0,0%,True,Laviska Shenault Jr.,False,29,39
2020.0,2020-11-08,8.0,9.0,22.034,JAX,HOU,L 25-27,True,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,14%,0,0%,3,10%,False,Laviska Shenault Jr.,False,25,27
2020.0,2020-11-15,9.0,10.0,,JAX,GNB,L 20-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Laviska Shenault Jr.,False,20,24
2020.0,2020-11-22,10.0,11.0,,JAX,PIT,L 3-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Laviska Shenault Jr.,False,3,27
2020.0,2020-11-29,11.0,12.0,22.055,JAX,CLE,L 25-27,True,4,3,31,10.33,0,75.0%,7.75,1,6,6.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,91%,0,0%,0,0%,False,Laviska Shenault Jr.,False,25,27
2020.0,2020-12-06,12.0,13.0,22.062,JAX,MIN,L 24-27,True,3,3,38,12.67,1,100.0%,12.67,2,30,15.00,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,25,35%,0,0%,0,0%,True,Laviska Shenault Jr.,False,24,27
2020.0,2020-12-13,13.0,14.0,22.069,JAX,TEN,L 10-31,True,11,6,49,8.17,0,54.5%,4.45,1,2,2.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,75%,0,0%,0,0%,False,Laviska Shenault Jr.,False,10,31
2020.0,2020-12-20,14.0,15.0,22.076,JAX,BAL,L 14-40,False,6,5,43,8.60,0,83.3%,7.17,2,1,0.50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,74%,0,0%,0,0%,True,Laviska Shenault Jr.,False,14,40
2020.0,2020-12-27,15.0,16.0,22.083,JAX,CHI,L 17-41,True,7,5,48,9.60,1,71.4%,6.86,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,48,87%,0,0%,0,0%,False,Laviska Shenault Jr.,False,17,41
