Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-09-08,1,1,22.110,DEN,OAK,True,11,9,146,16.22,1,81.8%,13.27,2,9,4.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,11,11.00,0,2,19,9.50,0,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,True,True,41,14,Eddie Royal
2008,2008-09-14,2,2,22.116,DEN,SDG,True,7,5,37,7.40,1,71.4%,5.29,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,6.00,0,1,1,8,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,39,38,Eddie Royal
2008,2008-09-21,3,3,22.123,DEN,NOR,True,7,4,11,2.75,0,57.1%,1.57,1,6,6.00,0,0,0,,0,0,0,,0,,,,0,0,,0,1,22,22.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,34,32,Eddie Royal
2008,2008-09-28,4,4,22.130,DEN,KAN,True,12,9,104,11.56,0,75.0%,8.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,36,36.00,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,True,False,19,33,Eddie Royal
2008,2008-10-05,5,5,22.137,DEN,TAM,True,4,3,23,7.67,0,75.0%,5.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,3,31,10.33,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,16,13,Eddie Royal
2008,2008-10-12,6,6,,DEN,JAX,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,17,24,Eddie Royal
2008,2008-10-20,7,7,22.152,DEN,NWE,True,12,9,71,7.89,0,75.0%,5.92,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,8,8.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,7,41,Eddie Royal
2008,2008-11-02,8,9,22.165,DEN,MIA,True,11,7,69,9.86,1,63.6%,6.27,0,0,,0,0,0,,0,0,0,,0,,,,4,164,41.00,0,1,16,16.00,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,17,26,Eddie Royal
2008,2008-11-06,9,10,22.169,DEN,CLE,True,8,6,164,27.33,1,75.0%,20.50,0,0,,0,0,0,,0,0,0,,0,,,,3,72,24.00,0,1,2,2.00,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,34,30,Eddie Royal
2008,2008-11-16,10,11,22.179,DEN,ATL,True,5,4,34,8.50,0,80.0%,6.80,3,7,2.33,0,0,0,,0,0,0,,0,,,,5,159,31.80,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,24,20,Eddie Royal
