Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2003,2003-11-23,11,12,22.096,MIN,DET,True,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,24,14,Nate Burleson
2003,2003-11-30,12,13,22.103,MIN,STL,True,5,2,28,14.00,0,40.0%,5.60,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,17,48,Nate Burleson
2003,2003-12-07,13,14,22.110,MIN,SEA,False,2,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,True,34,7,Nate Burleson
2003,2003-12-14,14,15,22.117,MIN,CHI,False,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,10,13,Nate Burleson
2003,2003-12-20,15,16,22.123,MIN,KAN,False,5,3,57,19.00,0,60.0%,11.40,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,45,20,Nate Burleson
2003,2003-12-28,16,17,22.131,MIN,ARI,True,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,True,False,17,18,Nate Burleson
2004,2004-09-12,1,1,23.024,MIN,DAL,True,4,3,34,11.33,0,75.0%,8.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,35,17,Nate Burleson
2004,2004-09-20,2,2,23.032,MIN,PHI,True,9,5,67,13.40,0,55.6%,7.44,1,9,9.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,True,False,16,27,Nate Burleson
2004,2004-09-26,3,3,23.038,MIN,CHI,True,5,2,71,35.50,0,40.0%,14.20,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,27,22,Nate Burleson
2004,2004-10-10,4,5,23.052,MIN,HOU,False,4,3,16,5.33,1,75.0%,4.00,0,0,,0,2,51,25.50,0,2,17,8.50,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,34,28,Nate Burleson
