Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-09-09,1,1,28.292,DAL,@,CAR,L 8-16,False,,,,,1,0.0,0,0,0.0,0,0,0,,,0,0%,0,0%,3,14%,True,Brett Maher
2018,2018-09-16,2,2,28.299,DAL,,NYG,W 20-13,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0%,0,0%,9,35%,False,Brett Maher
2018,2018-09-23,3,3,28.306,DAL,@,SEA,L 13-24,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,7,24%,True,Brett Maher
2018,2018-09-30,4,4,28.313,DAL,,DET,W 26-24,False,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,,,0,0%,0,0%,12,44%,False,Brett Maher
2018,2018-10-07,5,5,28.320,DAL,@,HOU,L 16-19,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0%,0,0%,9,31%,True,Brett Maher
2018,2018-10-14,6,6,28.327,DAL,,JAX,W 40-7,False,4,4,100.0,4,4,100.0,0,16,0.0,0,0,0,,,0,0%,0,0%,18,58%,False,Brett Maher
2018,2018-10-21,7,7,28.334,DAL,@,WAS,L 17-20,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0%,0,0%,8,29%,True,Brett Maher
2018,2018-11-05,8,9,28.349,DAL,,TEN,L 14-28,False,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,,,0,0%,0,0%,6,30%,False,Brett Maher
2018,2018-11-11,9,10,28.355,DAL,@,PHI,W 27-20,False,3,3,100.0,2,3,66.7,0,9,0.0,0,0,0,,,0,0%,0,0%,12,43%,True,Brett Maher
2018,2018-11-18,10,11,28.362,DAL,@,ATL,W 22-19,False,1,2,50.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0%,0,0%,10,38%,True,Brett Maher
2018,2018-11-22,11,12,29.001,DAL,,WAS,W 31-23,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,11,35%,False,Brett Maher
