Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-09-07,1,1,22.360,MIA,NYJ,False,2,1,8,8.00,0,50.0%,4.00,0,0,,0,1,21,21.00,0,1,25,25.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,14,20,Davone Bess
2008,2008-09-14,2,2,23.001,MIA,ARI,False,3,2,13,6.50,0,66.7%,4.33,1,13,13.00,0,3,81,27.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,10,31,Davone Bess
2008,2008-09-21,3,3,23.008,MIA,NWE,False,1,1,4,4.00,0,100.0%,4.00,0,0,,0,3,47,15.67,0,1,10,10.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,38,13,Davone Bess
2008,2008-10-05,4,5,23.022,MIA,SDG,False,4,3,25,8.33,0,75.0%,6.25,0,0,,0,3,49,16.33,0,3,21,7.00,0,,0,0,0.0,1,0,1,0,0,1,1,0,0,0,0,,,,,,,False,True,17,10,Davone Bess
2008,2008-10-12,5,6,23.029,MIA,HOU,False,1,1,10,10.00,0,100.0%,10.00,0,0,,0,4,113,28.25,0,1,25,25.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,28,29,Davone Bess
2008,2008-10-19,6,7,23.036,MIA,BAL,False,2,2,12,6.00,1,100.0%,6.00,0,0,,0,0,0,,0,2,10,5.00,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,13,27,Davone Bess
2008,2008-10-26,7,8,23.043,MIA,BUF,False,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,25,16,Davone Bess
2008,2008-11-02,8,9,23.050,MIA,DEN,False,3,2,28,14.00,0,66.7%,9.33,0,0,,0,0,0,,0,1,5,5.00,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,26,17,Davone Bess
2008,2008-11-09,9,10,23.057,MIA,SEA,False,3,2,25,12.50,0,66.7%,8.33,0,0,,0,0,0,,0,3,18,6.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,21,19,Davone Bess
2008,2008-11-16,10,11,23.064,MIA,OAK,False,5,3,50,16.67,0,60.0%,10.00,0,0,,0,0,0,,0,2,13,6.50,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,17,15,Davone Bess
2008,2008-11-23,11,12,23.071,MIA,NWE,True,9,5,87,17.40,0,55.6%,9.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,28,48,Davone Bess
2008,2008-11-30,12,13,23.078,MIA,STL,True,10,6,84,14.00,0,60.0%,8.40,0,0,,0,0,0,,0,1,17,17.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,16,12,Davone Bess
