Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2013,2013-09-08,1,1,22.293,BUF,,NWE,L 21-23,False,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,9,14%,0,0%,6,18%,False,Marquise Goodwin
2013,2013-09-15,2,2,,BUF,,CAR,W 24-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Marquise Goodwin
2013,2013-09-22,3,3,,BUF,@,NYJ,L 20-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Marquise Goodwin
2013,2013-09-29,4,4,,BUF,,BAL,W 23-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Marquise Goodwin
2013,2013-10-03,5,5,,BUF,@,CLE,L 24-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Marquise Goodwin
2013,2013-10-13,6,6,22.328,BUF,,CIN,L 24-27,False,3,2,51,25.50,1,66.7%,17.00,1,-1,-1.00,0,4,94,23.50,0,1,6,0,0,0,0,0,0,44,64%,0,0%,6,19%,False,Marquise Goodwin
2013,2013-10-20,7,7,22.335,BUF,@,MIA,W 23-21,False,0,0,0,,0,0.0%,,0,0,,0,2,49,24.50,0,0,0,0,0,0,0,0,0,5,7%,0,0%,11,33%,True,Marquise Goodwin
2013,2013-10-27,8,8,22.342,BUF,@,NOR,L 17-35,False,5,3,56,18.67,0,60.0%,11.20,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,33,46%,0,0%,9,32%,True,Marquise Goodwin
2013,2013-11-03,9,9,22.349,BUF,,KAN,L 13-23,False,4,2,64,32.00,1,50.0%,16.00,0,0,,0,1,24,24.00,0,1,6,0,0,0,0,0,0,29,36%,0,0%,8,30%,False,Marquise Goodwin
2013,2013-11-10,10,10,22.356,BUF,@,PIT,L 10-23,False,4,2,9,4.50,0,50.0%,2.25,0,0,,0,1,18,18.00,0,0,0,0,0,0,0,0,0,46,69%,0,0%,6,20%,True,Marquise Goodwin
