Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-09-07,1,1,21.080,PIT,HOU,False,10,28,2.80,0,0,0,0,,0,0.0%,,2,46,23.00,0,,0,0,0,0,0,0,0,0,,,,,,,False,True,38,17,Rashard Mendenhall
2008,2008-09-14,2,2,21.087,PIT,CLE,False,0,0,,0,0,0,0,,0,0.0%,,2,21,10.50,0,,0,0,0,0,0,0,0,0,,,,,,,True,True,10,6,Rashard Mendenhall
2008,2008-09-21,3,3,21.094,PIT,PHI,False,0,0,,0,2,1,11,11.00,0,50.0%,5.50,2,48,24.00,0,,0,0,0,0,0,0,0,0,,,,,,,True,False,6,15,Rashard Mendenhall
2008,2008-09-29,4,4,21.102,PIT,BAL,True,9,30,3.33,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0,0,0,0,0,0,,,,,,,False,True,23,20,Rashard Mendenhall
2008,2008-10-05,5,5,,PIT,JAX,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,26,21,Rashard Mendenhall
2008,2008-10-19,6,7,,PIT,CIN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,38,10,Rashard Mendenhall
2008,2008-10-26,7,8,,PIT,NYG,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,14,21,Rashard Mendenhall
2008,2008-11-03,8,9,,PIT,WAS,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,23,6,Rashard Mendenhall
2008,2008-11-09,9,10,,PIT,IND,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,20,24,Rashard Mendenhall
2008,2008-11-16,10,11,,PIT,SDG,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,11,10,Rashard Mendenhall
2008,2008-11-20,11,12,,PIT,CIN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,27,10,Rashard Mendenhall
2008,2008-11-30,12,13,,PIT,NWE,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,33,10,Rashard Mendenhall
2008,2008-12-07,13,14,,PIT,DAL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,20,13,Rashard Mendenhall
2008,2008-12-14,14,15,,PIT,BAL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,13,9,Rashard Mendenhall
2008,2008-12-21,15,16,,PIT,TEN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,14,31,Rashard Mendenhall
2008,2008-12-28,16,17,,PIT,CLE,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,31,0,Rashard Mendenhall
2009,2009-09-10,1,1,22.083,PIT,TEN,False,4,6,1.50,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,13,10,Rashard Mendenhall
2009,2009-09-20,2,2,22.093,PIT,CHI,False,3,39,13.00,0,1,1,13,13.00,0,100.0%,13.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,14,17,Rashard Mendenhall
2009,2009-09-27,3,3,22.100,PIT,CIN,False,0,0,,0,0,0,0,,0,0.0%,,1,8,8.00,0,,0,0,0,,0,0,0,0,,,,,,,True,False,20,23,Rashard Mendenhall
2009,2009-10-04,4,4,22.107,PIT,SDG,True,29,165,5.69,2,2,2,26,13.00,0,100.0%,13.00,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,False,True,38,28,Rashard Mendenhall
2009,2009-10-11,5,5,22.114,PIT,DET,True,15,77,5.13,1,2,2,16,8.00,0,100.0%,8.00,0,0,,0,,1,6,0,,0,1,0,0,,,,,,,True,True,28,20,Rashard Mendenhall
2009,2009-10-18,6,6,22.121,PIT,CLE,True,17,62,3.65,1,2,2,15,7.50,0,100.0%,7.50,0,0,,0,,1,6,1,1,0,0,0,0,,,,,,,False,True,27,14,Rashard Mendenhall
2009,2009-10-25,7,7,22.128,PIT,MIN,True,10,69,6.90,0,2,1,-1,-1.00,0,50.0%,-0.50,0,0,,0,,0,0,1,1,0,0,0,0,,,,,,,False,True,27,17,Rashard Mendenhall
2009,2009-11-09,8,9,22.143,PIT,DEN,True,22,155,7.05,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,28,10,Rashard Mendenhall
2009,2009-11-15,9,10,22.149,PIT,CIN,True,13,36,2.77,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,12,18,Rashard Mendenhall
2009,2009-11-22,10,11,22.156,PIT,KAN,True,21,80,3.81,0,5,4,36,9.00,1,80.0%,7.20,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,False,24,27,Rashard Mendenhall
2009,2009-11-29,11,12,22.163,PIT,BAL,True,24,95,3.96,0,2,2,22,11.00,0,100.0%,11.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,17,20,Rashard Mendenhall
2009,2009-12-06,12,13,22.170,PIT,OAK,True,20,103,5.15,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,False,24,27,Rashard Mendenhall
2009,2009-12-10,13,14,22.174,PIT,CLE,True,16,53,3.31,0,2,1,17,17.00,0,50.0%,8.50,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,6,13,Rashard Mendenhall
2009,2009-12-20,14,15,22.184,PIT,GNB,True,11,38,3.45,1,6,6,73,12.17,0,100.0%,12.17,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,37,36,Rashard Mendenhall
2009,2009-12-27,15,16,22.191,PIT,BAL,True,17,36,2.12,1,3,1,4,4.00,0,33.3%,1.33,0,0,,0,,1,6,1,1,0,0,0,0,,,,,,,False,True,23,20,Rashard Mendenhall
2009,2010-01-03,16,17,22.198,PIT,MIA,False,20,94,4.70,0,3,1,26,26.00,0,33.3%,8.67,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,30,24,Rashard Mendenhall
2010,2010-09-12,1,1,23.085,PIT,ATL,True,22,120,5.45,1,2,2,15,7.50,0,100.0%,7.50,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,15,9,Rashard Mendenhall
2010,2010-09-19,2,2,23.092,PIT,TEN,True,23,69,3.00,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,19,11,Rashard Mendenhall
2010,2010-09-26,3,3,23.099,PIT,TAM,True,19,143,7.53,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,True,38,13,Rashard Mendenhall
2010,2010-10-03,4,4,23.106,PIT,BAL,True,25,79,3.16,2,2,2,9,4.50,0,100.0%,4.50,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,False,False,14,17,Rashard Mendenhall
2010,2010-10-17,5,6,23.120,PIT,CLE,True,27,84,3.11,1,4,3,15,5.00,0,75.0%,3.75,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,28,10,Rashard Mendenhall
2010,2010-10-24,6,7,23.127,PIT,MIA,True,15,37,2.47,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,23,22,Rashard Mendenhall
2010,2010-10-31,7,8,23.134,PIT,NOR,True,15,71,4.73,1,3,2,14,7.00,0,66.7%,4.67,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,False,10,20,Rashard Mendenhall
