Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-12-28,16,17,26.337,NYJ,MIA,False,0,0,,0,0.0,0,0,0,,,4,192,48.00,1,,,,,,,False,False,17,24,Reggie Hodges
2009,2009-09-27,3,3,27.244,TEN,NYJ,False,0,0,,0,0.0,0,0,0,,,7,303,43.29,0,,,,,,,True,False,17,24,Reggie Hodges
2009,2009-10-04,4,4,27.251,TEN,JAX,False,0,0,,0,0.0,0,0,0,,,5,211,42.20,0,,,,,,,True,False,17,37,Reggie Hodges
2009,2009-10-11,5,5,27.258,TEN,IND,False,0,0,,0,0.0,0,0,0,,,4,146,36.50,0,,,,,,,False,False,9,31,Reggie Hodges
2009,2009-10-18,6,6,27.265,TEN,NWE,False,0,0,,0,0.0,0,0,0,,,6,208,34.67,0,,,,,,,True,False,0,59,Reggie Hodges
2009,2009-11-16,9,10,27.294,CLE,BAL,False,0,0,,0,0.0,0,0,0,,,9,347,38.56,0,,,,,,,False,False,0,16,Reggie Hodges
2009,2009-11-22,10,11,27.300,CLE,DET,False,0,0,,0,0.0,0,0,0,,,6,247,41.17,0,,,,,,,True,False,37,38,Reggie Hodges
2009,2009-11-29,11,12,27.307,CLE,CIN,False,0,0,,0,0.0,0,0,0,,,8,364,45.50,0,,,,,,,True,False,7,16,Reggie Hodges
2009,2009-12-06,12,13,27.314,CLE,SDG,False,0,0,,0,0.0,0,0,0,,,3,131,43.67,0,,,,,,,False,False,23,30,Reggie Hodges
2009,2009-12-10,13,14,27.318,CLE,PIT,False,0,0,,0,0.0,0,0,0,,,8,302,37.75,0,,,,,,,False,True,13,6,Reggie Hodges
