Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
1999.0,1999-09-12,1.0,1.0,23.352,GNB,OAK,W 28-24,False,,,,,,,,0,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Matt Hasselbeck,True,28,24
1999.0,1999-09-19,2.0,2.0,23.359,GNB,DET,L 15-23,False,,,,,,,,0,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Matt Hasselbeck,False,15,23
1999.0,1999-09-26,3.0,3.0,24.001,GNB,MIN,W 23-20,False,,,,,,,,0,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Matt Hasselbeck,True,23,20
1999.0,1999-10-10,4.0,5.0,24.015,GNB,TAM,W 26-23,False,,,,,,,,0,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Matt Hasselbeck,True,26,23
1999.0,1999-10-17,5.0,6.0,24.022,GNB,DEN,L 10-31,False,,,,,,,,0,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Matt Hasselbeck,False,10,31
1999.0,1999-10-24,6.0,7.0,24.029,GNB,SDG,W 31-3,False,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,2,12,6.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Matt Hasselbeck,True,31,3
1999.0,1999-11-01,7.0,8.0,24.037,GNB,SEA,L 7-27,False,2,6,33.33,32,0,0,52.1,1,9,5.33,5.33,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Matt Hasselbeck,False,7,27
1999.0,1999-11-07,8.0,9.0,24.043,GNB,CHI,L 13-14,False,,,,,,,,0,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Matt Hasselbeck,False,13,14
1999.0,1999-11-14,9.0,10.0,24.05,GNB,DAL,L 13-27,False,,,,,,,,0,,,,,,,,,0,0,0.0,0,1,1,0,,0,,0,0,0,0,,,,,,,True,Matt Hasselbeck,False,13,27
1999.0,1999-11-21,10.0,11.0,24.057,GNB,DET,W 26-17,False,,,,,,,,0,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Matt Hasselbeck,True,26,17
