Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-12-28,16,17,,OAK,TAM,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,31,24,Marcel Reece
2009,2009-12-27,15,16,24.187,OAK,CLE,False,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,2,46,23.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,9,23,Marcel Reece
2009,2010-01-03,16,17,24.194,OAK,BAL,False,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,0,,,,,,1,12,12.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,13,21,Marcel Reece
2010,2010-09-12,1,1,25.081,OAK,TEN,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,1,0,0,,,,,,,True,False,13,38,Marcel Reece
2010,2010-09-19,2,2,25.088,OAK,STL,True,3,2,21,10.50,0,66.7%,7.00,3,9,3.00,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,16,14,Marcel Reece
2010,2010-09-26,3,3,25.095,OAK,ARI,True,2,2,2,1.00,0,100.0%,1.00,1,2,2.00,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,23,24,Marcel Reece
2010,2010-10-03,4,4,25.102,OAK,HOU,True,1,1,13,13.00,1,100.0%,13.00,2,7,3.50,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,24,31,Marcel Reece
2010,2010-10-10,5,5,25.109,OAK,SDG,True,4,2,7,3.50,0,50.0%,1.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,35,27,Marcel Reece
2010,2010-10-17,6,6,25.116,OAK,SFO,False,1,0,0,,0,0.0%,0.00,1,2,2.00,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,9,17,Marcel Reece
2010,2010-10-24,7,7,25.123,OAK,DEN,True,3,1,19,19.00,0,33.3%,6.33,7,39,5.57,1,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,59,14,Marcel Reece
2010,2010-10-31,8,8,25.130,OAK,SEA,True,4,3,90,30.00,1,75.0%,22.50,2,32,16.00,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,33,3,Marcel Reece
2010,2010-11-07,9,9,25.137,OAK,KAN,False,3,2,8,4.00,0,66.7%,2.67,1,4,4.00,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,23,20,Marcel Reece
2010,2010-11-21,10,11,25.151,OAK,PIT,False,2,0,0,,0,0.0%,0.00,1,2,2.00,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,3,35,Marcel Reece
2010,2010-11-28,11,12,25.158,OAK,MIA,True,3,1,2,2.00,0,33.3%,0.67,1,-2,-2.00,0,0,0,,0,0,0,,,,,,1,7,7.00,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,False,17,33,Marcel Reece
2010,2010-12-05,12,13,25.165,OAK,SDG,False,3,3,42,14.00,0,100.0%,14.00,1,5,5.00,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,28,13,Marcel Reece
2010,2010-12-12,13,14,25.172,OAK,JAX,False,4,4,48,12.00,0,100.0%,12.00,2,3,1.50,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,31,38,Marcel Reece
2010,2010-12-19,14,15,25.179,OAK,DEN,False,6,2,79,39.50,1,33.3%,13.17,3,9,3.00,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,39,23,Marcel Reece
2010,2010-12-26,15,16,25.186,OAK,IND,True,3,2,2,1.00,0,66.7%,0.67,3,6,2.00,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,26,31,Marcel Reece
2010,2011-01-02,16,17,25.193,OAK,KAN,True,0,0,0,,0,0.0%,,2,4,2.00,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,31,10,Marcel Reece
2011,2011-09-12,1,1,26.081,OAK,DEN,True,3,3,23,7.67,1,100.0%,7.67,1,11,11.00,0,0,0,,0,0,0,,,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,23,20,Marcel Reece
2011,2011-09-18,2,2,26.087,OAK,BUF,True,5,3,20,6.67,0,60.0%,4.00,1,4,4.00,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,35,38,Marcel Reece
2011,2011-09-25,3,3,26.094,OAK,NYJ,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,True,34,24,Marcel Reece
2011,2011-10-02,4,4,,OAK,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,19,31,Marcel Reece
2011,2011-10-09,5,5,,OAK,HOU,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,25,20,Marcel Reece
2011,2011-10-16,6,6,,OAK,CLE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,24,17,Marcel Reece
2011,2011-10-23,7,7,,OAK,KAN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,0,28,Marcel Reece
2011,2011-11-06,8,9,26.136,OAK,DEN,False,5,3,51,17.00,1,60.0%,10.20,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,,0,1,0,0,,,,,,,False,False,24,38,Marcel Reece
2011,2011-11-10,9,10,26.140,OAK,SDG,True,1,0,0,,0,0.0%,0.00,1,3,3.00,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,24,17,Marcel Reece
2011,2011-11-20,10,11,26.150,OAK,MIN,False,3,2,16,8.00,0,66.7%,5.33,6,45,7.50,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,27,21,Marcel Reece
2011,2011-11-27,11,12,26.157,OAK,CHI,True,7,5,92,18.40,0,71.4%,13.14,2,0,0.00,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,25,20,Marcel Reece
2011,2011-12-04,12,13,26.164,OAK,MIA,True,1,1,38,38.00,0,100.0%,38.00,1,10,10.00,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,14,34,Marcel Reece
2011,2011-12-11,13,14,26.171,OAK,GNB,False,4,4,7,1.75,0,100.0%,1.75,2,12,6.00,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,True,False,16,46,Marcel Reece
2011,2011-12-18,14,15,26.178,OAK,DET,False,3,3,16,5.33,0,100.0%,5.33,1,26,26.00,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,27,28,Marcel Reece
2011,2011-12-24,15,16,26.184,OAK,KAN,True,1,1,10,10.00,0,100.0%,10.00,2,1,0.50,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,16,13,Marcel Reece
2011,2012-01-01,16,17,26.192,OAK,SDG,False,3,2,28,14.00,0,66.7%,9.33,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,26,38,Marcel Reece
2012,2012-09-10,1,1,27.079,OAK,SDG,True,2,2,20,10.00,0,100.0%,10.00,1,0,0.00,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,1,0,0,0,-23,0,38,53%,0,0%,8,30%,False,False,14,22,Marcel Reece
2012,2012-09-16,2,2,27.085,OAK,MIA,False,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,27,42%,0,0%,16,46%,True,False,13,35,Marcel Reece
2012,2012-09-23,3,3,27.092,OAK,PIT,True,5,4,27,6.75,0,80.0%,5.40,0,0,,0,0,0,,0,0,0,,,0,,,1,36,36.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,65%,0,0%,8,29%,False,True,34,31,Marcel Reece
2012,2012-09-30,4,4,27.099,OAK,DEN,True,8,5,54,10.80,0,62.5%,6.75,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,51%,0,0%,8,29%,True,False,6,37,Marcel Reece
2012,2012-10-14,5,6,27.113,OAK,ATL,True,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,53%,0,0%,11,37%,True,False,20,23,Marcel Reece
2012,2012-10-21,6,7,27.120,OAK,JAX,False,6,4,58,14.50,0,66.7%,9.67,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,55%,0,0%,14,35%,False,True,26,23,Marcel Reece
2012,2012-10-28,7,8,27.127,OAK,KAN,True,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,38,60%,0,0%,6,17%,True,True,26,16,Marcel Reece
2012,2012-11-04,8,9,27.134,OAK,TAM,True,9,8,95,11.88,1,88.9%,10.56,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,59,73%,0,0%,7,20%,False,False,32,42,Marcel Reece
2012,2012-11-11,9,10,27.141,OAK,BAL,True,9,7,56,8.00,0,77.8%,6.22,13,48,3.69,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,77%,0,0%,0,0%,True,False,20,55,Marcel Reece
2012,2012-11-18,10,11,27.148,OAK,NOR,True,5,4,90,22.50,0,80.0%,18.00,19,103,5.42,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,86%,0,0%,0,0%,False,False,17,38,Marcel Reece
2012,2012-11-25,11,12,27.155,OAK,CIN,True,8,4,29,7.25,0,50.0%,3.63,15,74,4.93,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,80%,0,0%,0,0%,True,False,10,34,Marcel Reece
2012,2012-12-02,12,13,27.162,OAK,CLE,True,6,5,20,4.00,0,83.3%,3.33,7,36,5.14,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,70,96%,0,0%,0,0%,False,False,17,20,Marcel Reece
2012,2012-12-06,13,14,27.166,OAK,DEN,True,1,1,5,5.00,0,100.0%,5.00,4,10,2.50,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,47%,0,0%,7,29%,False,False,13,26,Marcel Reece
2012,2012-12-16,14,15,27.176,OAK,KAN,True,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,39%,0,0%,1,4%,False,True,15,0,Marcel Reece
2012,2012-12-23,15,16,27.183,OAK,CAR,True,5,4,18,4.50,0,80.0%,3.60,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,48%,0,0%,4,18%,True,False,6,17,Marcel Reece
2012,2012-12-30,16,17,27.190,OAK,SDG,True,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,38%,0,0%,6,20%,True,False,21,24,Marcel Reece
2013,2013-09-08,1,1,28.077,OAK,IND,True,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,38%,0,0%,0,0%,True,False,17,21,Marcel Reece
2013,2013-09-15,2,2,28.084,OAK,JAX,True,1,0,0,,0,0.0%,0.00,2,15,7.50,1,0,0,,0,0,0,,,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,37,59%,0,0%,1,3%,False,True,19,9,Marcel Reece
2013,2013-09-23,3,3,28.092,OAK,DEN,True,5,4,45,11.25,1,80.0%,9.00,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,25,46%,0,0%,0,0%,True,False,21,37,Marcel Reece
