Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2010.0,2010-09-13,1.0,1.0,25.076,BAL,NYJ,W 10-9,False,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Dennis Pitta,True,10,9
2010.0,2010-09-19,2.0,2.0,25.082,BAL,CIN,L 10-15,False,3,1,1,1.00,0,33.3%,0.33,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,1,0,0,,,,,,,True,Dennis Pitta,False,10,15
2010.0,2010-09-26,3.0,3.0,25.089,BAL,CLE,W 24-17,False,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Dennis Pitta,True,24,17
2010.0,2010-10-03,4.0,4.0,25.096,BAL,PIT,W 17-14,False,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Dennis Pitta,True,17,14
2010.0,2010-10-10,5.0,5.0,,BAL,DEN,W 31-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dennis Pitta,True,31,17
2010.0,2010-10-17,6.0,6.0,25.11,BAL,NWE,L 20-23,False,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Dennis Pitta,False,20,23
2010.0,2010-10-24,7.0,7.0,25.117,BAL,BUF,W 37-34,False,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Dennis Pitta,True,37,34
2010.0,2010-11-07,8.0,9.0,,BAL,MIA,W 26-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dennis Pitta,True,26,10
2010.0,2010-11-11,9.0,10.0,,BAL,ATL,L 21-26,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Dennis Pitta,False,21,26
2010.0,2010-11-21,10.0,11.0,,BAL,CAR,W 37-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Dennis Pitta,True,37,13
2010.0,2010-11-28,11.0,12.0,25.152,BAL,TAM,W 17-10,False,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Dennis Pitta,True,17,10
2010.0,2010-12-05,12.0,13.0,25.159,BAL,PIT,L 10-13,False,1,0,0,,0,0.0%,0.00,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Dennis Pitta,False,10,13
2010.0,2010-12-13,13.0,14.0,25.167,BAL,HOU,W 34-28,False,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Dennis Pitta,True,34,28
2010.0,2010-12-19,14.0,15.0,25.173,BAL,NOR,W 30-24,False,1,0,0,,0,0.0%,0.00,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Dennis Pitta,True,30,24
2010.0,2010-12-26,15.0,16.0,25.18,BAL,CLE,W 20-10,False,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Dennis Pitta,True,20,10
2010.0,2011-01-02,16.0,17.0,,BAL,CIN,W 13-7,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dennis Pitta,True,13,7
2011.0,2011-09-11,1.0,1.0,26.074,BAL,PIT,W 35-7,False,2,2,45,22.50,0,100.0%,22.50,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Dennis Pitta,True,35,7
2011.0,2011-09-18,2.0,2.0,26.081,BAL,TEN,L 13-26,True,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Dennis Pitta,False,13,26
