Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-10-28,7,8,22.240,NOR,SFO,True,10,64,6.40,0,7,7,49,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,31,10,Reggie Bush
2007,2007-11-04,8,9,22.247,NOR,JAX,True,17,72,4.24,1,9,7,43,6.14,1,77.8%,4.78,0,0,,0,0,0,,,,,,0,0,,0,1,0,0.00,0,,2,12,1,0,0,0,0,0,,,,,,,False,True,41,24,Reggie Bush
2007,2007-11-11,9,10,22.254,NOR,STL,True,7,17,2.43,1,6,5,27,5.40,0,83.3%,4.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,1,10,0,,0,1,-4,0,,,,,,,False,False,29,37,Reggie Bush
2007,2007-11-18,10,11,22.261,NOR,HOU,True,15,34,2.27,0,16,12,70,5.83,0,75.0%,4.38,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,2,1,0,0,0,0,,,,,,,True,False,10,23,Reggie Bush
2007,2007-11-25,11,12,22.268,NOR,CAR,False,9,32,3.56,0,5,3,30,10.00,0,60.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,31,6,Reggie Bush
2007,2007-12-02,12,13,22.275,NOR,TAM,True,13,64,4.92,0,7,3,13,4.33,0,42.9%,1.86,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,2,1,0,1,-12,0,,,,,,,False,False,23,27,Reggie Bush
2007,2007-12-10,13,14,,NOR,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,34,14,Reggie Bush
2007,2007-12-16,14,15,,NOR,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,31,24,Reggie Bush
2007,2007-12-23,15,16,,NOR,PHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,23,38,Reggie Bush
2007,2007-12-30,16,17,,NOR,CHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,25,33,Reggie Bush
