Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2004,2004-09-26,3,3,28.050,OAK,,TAM,W 30-20,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,2,100,50.00,0,,,,,,,False,Shane Lechler
2004,2004-10-03,4,4,28.057,OAK,@,HOU,L 17-30,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,3,146,48.67,0,,,,,,,True,Shane Lechler
2004,2004-10-10,5,5,28.064,OAK,@,IND,L 14-35,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,4,222,55.50,0,,,,,,,True,Shane Lechler
2004,2004-10-17,6,6,28.071,OAK,,DEN,L 3-31,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,7,333,47.57,0,,,,,,,False,Shane Lechler
2004,2004-10-24,7,7,28.078,OAK,,NOR,L 26-31,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,5,195,39.00,0,,,,,,,False,Shane Lechler
2004,2004-10-31,8,8,28.085,OAK,@,SDG,L 14-42,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,5,252,50.40,0,,,,,,,True,Shane Lechler
2004,2004-11-07,9,9,28.092,OAK,@,CAR,W 27-24,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,3,167,55.67,0,,,,,,,True,Shane Lechler
2004,2004-11-21,10,11,28.106,OAK,,SDG,L 17-23,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,6,270,45.00,0,,,,,,,False,Shane Lechler
2004,2004-11-28,11,12,28.113,OAK,@,DEN,W 25-24,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,6,261,43.50,0,,,,,,,True,Shane Lechler
2004,2004-12-05,12,13,28.120,OAK,,KAN,L 27-34,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,3,130,43.33,0,,,,,,,False,Shane Lechler
2004,2004-12-12,13,14,28.127,OAK,@,ATL,L 10-35,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,4,197,49.25,0,,,,,,,True,Shane Lechler
2004,2004-12-19,14,15,28.134,OAK,,TEN,W 40-35,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,6,300,50.00,0,,,,,,,False,Shane Lechler
2004,2004-12-25,15,16,28.140,OAK,@,KAN,L 30-31,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,5,217,43.40,0,,,,,,,True,Shane Lechler
2004,2005-01-02,16,17,28.148,OAK,,JAX,L 6-13,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,6,238,39.67,0,,,,,,,False,Shane Lechler
2005,2005-09-08,1,1,29.032,OAK,@,NWE,L 20-30,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,8,356,44.50,0,,,,,,,True,Shane Lechler
