Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_Sfty,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2010,2010-10-10,5,5,,JAX,@,BUF,W 36-26,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rashad Jennings
2010,2010-10-18,6,6,25.206,JAX,,TEN,L 3-30,False,,,,,,,,,,0.0%,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Rashad Jennings
2010,2010-10-24,7,7,,JAX,@,KAN,L 20-42,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rashad Jennings
2010,2010-10-31,8,8,,JAX,@,DAL,W 35-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rashad Jennings
2010,2010-11-14,9,10,25.233,JAX,,HOU,W 31-24,False,1,8,8.00,0,0,0,0,,0,0.0%,,0,0,,0,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Rashad Jennings
2010,2010-11-21,10,11,25.240,JAX,,CLE,W 24-20,False,2,3,1.50,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Rashad Jennings
2010,2010-11-28,11,12,25.247,JAX,@,NYG,L 20-24,False,7,53,7.57,1,0,0,0,,0,0.0%,,0,0,,0,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Rashad Jennings
2010,2010-12-05,12,13,25.254,JAX,@,TEN,W 17-6,False,10,44,4.40,1,2,2,10,5.00,0,100.0%,5.00,0,0,,0,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Rashad Jennings
2010,2010-12-12,13,14,25.261,JAX,,OAK,W 38-31,False,5,109,21.80,1,1,0,0,,0,0.0%,0.00,0,0,,0,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Rashad Jennings
2010,2010-12-19,14,15,25.268,JAX,@,IND,L 24-34,False,3,13,4.33,0,9,7,64,9.14,0,77.8%,7.11,0,0,,0,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Rashad Jennings
