Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Away_status,Win,Score,Opp Score,Player
1988,1988-11-27,13,13,24.221,TAM,ATL,False,0,0,,0,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,10,17,John Carney
1988,1988-12-04,14,14,24.228,TAM,BUF,False,0,0,,0,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,10,5,John Carney
1988,1988-12-11,15,15,24.235,TAM,NWE,False,0,0,,0,1,1,100.0,,1,0.0,0,1,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,7,10,John Carney
1988,1988-12-18,16,16,24.242,TAM,DET,False,0,0,,0,3,3,100.0,,,,0,3,0.0,,,,,,,,,,,,0,0,,,False,True,21,10,John Carney
1989,1989-12-17,15,15,25.241,TAM,DET,False,,,,,,,,,,,0,0,0.0,,,,,,,,,,,,0,0,,,True,False,7,33,John Carney
1990,1990-09-23,3,3,26.156,RAM,PHI,False,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,21,27,John Carney
1990,1990-10-07,5,5,26.170,SDG,PIT,False,0,0,,0,2,2,100.0,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,True,False,14,36,John Carney
1990,1990-10-14,6,6,26.177,SDG,NYJ,False,0,0,,0,4,4,100.0,3,3,100.0,0,13,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,39,3,John Carney
1990,1990-10-21,7,7,26.184,SDG,RAI,False,0,0,,0,,,,3,3,100.0,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,9,24,John Carney
1990,1990-10-28,8,8,26.191,SDG,TAM,False,0,0,,0,5,5,100.0,2,2,100.0,0,11,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,41,10,John Carney
