Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2015,2015-09-13,1,1,23.281,CHI,,GNB,L 23-31,False,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,4%,0,0%,14,54%,False,Jeremy Langford
2015,2015-09-20,2,2,23.288,CHI,,ARI,L 23-48,False,6,21,3.50,1,0,0,0,,0,0.0%,,,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,13,18%,0,0%,22,65%,False,Jeremy Langford
2015,2015-09-27,3,3,23.295,CHI,@,SEA,L 0-26,False,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,20,74%,True,Jeremy Langford
2015,2015-10-04,4,4,23.302,CHI,,OAK,W 22-20,False,1,4,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,4%,0,0%,10,36%,False,Jeremy Langford
2015,2015-10-11,5,5,23.309,CHI,@,KAN,W 18-17,False,2,-2,-1.00,0,2,1,14,14.00,0,50.0%,7.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,10%,0,0%,11,39%,True,Jeremy Langford
2015,2015-10-18,6,6,23.316,CHI,@,DET,L 34-37,False,5,10,2.00,1,2,1,17,17.00,0,50.0%,8.50,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,15,19%,0,0%,5,13%,True,Jeremy Langford
2015,2015-11-01,7,8,23.330,CHI,,MIN,L 20-23,False,12,46,3.83,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,54%,0,0%,4,14%,False,Jeremy Langford
2015,2015-11-09,8,9,23.338,CHI,@,SDG,W 22-19,False,18,72,4.00,1,4,3,70,23.33,0,75.0%,17.50,1,1,8,0.0,0,0,0,,,0,0,0,0,0,0,54,75%,0,0%,0,0%,True,Jeremy Langford
2015,2015-11-15,9,10,23.344,CHI,@,STL,W 37-13,True,20,73,3.65,1,9,7,109,15.57,1,77.8%,12.11,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,44,68%,0,0%,0,0%,True,Jeremy Langford
2015,2015-11-22,10,11,23.351,CHI,,DEN,L 15-17,True,13,25,1.92,1,6,3,17,5.67,0,50.0%,2.83,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,50,79%,0,0%,0,0%,False,Jeremy Langford
