Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-12-04,13,14,31.219,CHI,,DAL,L 28-41,True,32,46,69.57,341,2,1,96.4,0,0,7.41,7.30,2,9,4.50,1,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,69,100%,0,0%,0,0%,False,Jay Cutler
2014,2014-12-15,14,15,31.230,CHI,,NOR,L 15-31,True,17,31,54.84,194,2,3,55.8,7,41,6.26,3.19,1,20,20.00,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,60,100%,0,0%,0,0%,False,Jay Cutler
2014,2014-12-21,15,16,,CHI,,DET,L 14-20,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Jay Cutler
2014,2014-12-28,16,17,31.243,CHI,@,MIN,L 9-13,True,23,36,63.89,172,0,0,75.2,2,7,4.78,4.78,3,39,13.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,100%,0,0%,0,0%,True,Jay Cutler
2015,2015-09-13,1,1,32.137,CHI,,GNB,L 23-31,True,18,36,50.00,225,1,1,67.5,2,12,6.25,5.56,4,31,7.75,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,73,100%,0,0%,0,0%,False,Jay Cutler
2015,2015-09-20,2,2,32.144,CHI,,ARI,L 23-48,True,8,9,88.89,120,1,1,116.2,0,0,13.33,10.56,3,24,8.00,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,28,39%,0,0%,0,0%,False,Jay Cutler
2015,2015-09-27,3,3,,CHI,@,SEA,L 0-26,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jay Cutler
2015,2015-10-04,4,4,32.158,CHI,,OAK,W 22-20,True,28,43,65.12,281,2,1,89.4,3,8,6.53,6.42,1,0,0.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,78,100%,0,0%,0,0%,False,Jay Cutler
2015,2015-10-11,5,5,32.165,CHI,@,KAN,W 18-17,True,26,45,57.78,252,2,0,88.4,2,11,5.60,6.49,4,15,3.75,0,,0,0,0.0,0,0,0,0,0,2,1,0,1,0,0,79,100%,0,0%,0,0%,True,Jay Cutler
2015,2015-10-18,6,6,32.172,CHI,@,DET,L 34-37,True,26,41,63.41,353,1,1,88.8,1,0,8.61,8.00,2,12,6.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,80,100%,0,0%,0,0%,True,Jay Cutler
2015,2015-11-01,7,8,32.186,CHI,,MIN,L 20-23,True,22,33,66.67,211,1,0,94.4,1,3,6.39,7.00,2,11,5.50,1,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,61,100%,0,0%,0,0%,False,Jay Cutler
2015,2015-11-09,8,9,32.194,CHI,@,SDG,W 22-19,True,27,40,67.50,345,2,1,100.5,1,8,8.63,8.50,3,-2,-0.67,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,72,100%,0,0%,0,0%,True,Jay Cutler
2015,2015-11-15,9,10,32.200,CHI,@,STL,W 37-13,True,19,24,79.17,258,3,0,151.0,2,14,10.75,13.25,3,24,8.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,100%,0,0%,0,0%,True,Jay Cutler
2015,2015-11-22,10,11,32.207,CHI,,DEN,L 15-17,True,18,32,56.25,265,0,1,70.4,2,4,8.28,6.88,3,29,9.67,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,63,100%,0,0%,0,0%,False,Jay Cutler
2015,2015-11-26,11,12,32.211,CHI,@,GNB,W 17-13,True,19,31,61.29,200,1,0,90.8,1,11,6.45,7.10,4,9,2.25,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,-8,0,67,100%,0,0%,0,0%,True,Jay Cutler
2015,2015-12-06,12,13,32.221,CHI,,SFO,L 20-26,True,18,31,58.06,202,0,1,64.2,1,8,6.52,5.06,4,10,2.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,78,100%,0,0%,0,0%,False,Jay Cutler
2015,2015-12-13,13,14,32.228,CHI,,WAS,L 21-24,True,19,31,61.29,315,2,0,117.0,3,25,10.16,11.45,1,5,5.00,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,59,100%,0,0%,0,0%,False,Jay Cutler
2015,2015-12-20,14,15,32.235,CHI,@,MIN,L 17-38,True,26,37,70.27,231,2,1,93.4,5,32,6.24,6.11,1,1,1.00,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,64,100%,0,0%,0,0%,True,Jay Cutler
2015,2015-12-27,15,16,32.242,CHI,@,TAM,W 26-21,True,20,27,74.07,156,1,0,100.2,1,3,5.78,6.52,2,21,10.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,71,100%,0,0%,0,0%,True,Jay Cutler
2015,2016-01-03,16,17,32.249,CHI,,DET,L 20-24,True,17,23,73.91,245,2,3,97.5,4,11,10.65,6.52,1,11,11.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,100%,0,0%,0,0%,False,Jay Cutler
2016,2016-09-11,1,1,33.135,CHI,@,HOU,L 14-23,True,16,29,55.17,216,1,1,76.2,5,31,7.45,6.59,2,12,6.00,0,,0,0,0.0,0,0,0,0,0,2,0,0,2,0,0,56,100%,0,0%,0,0%,True,Jay Cutler
2016,2016-09-19,2,2,33.143,CHI,,PHI,L 14-29,True,12,17,70.59,157,0,1,74.9,3,15,9.24,6.59,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,38,73%,0,0%,0,0%,False,Jay Cutler
2016,2016-09-25,3,3,,CHI,@,DAL,L 17-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jay Cutler
2016,2016-10-02,4,4,,CHI,,DET,W 17-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jay Cutler
2016,2016-10-09,5,5,,CHI,@,IND,L 23-29,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jay Cutler
2016,2016-10-16,6,6,,CHI,,JAX,L 16-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jay Cutler
2016,2016-10-20,7,7,,CHI,@,GNB,L 10-26,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jay Cutler
2016,2016-10-31,8,8,33.185,CHI,,MIN,W 20-10,True,20,31,64.52,252,1,0,100.5,1,7,8.13,8.77,1,2,2.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,100%,0,0%,0,0%,False,Jay Cutler
2016,2016-11-13,9,10,33.198,CHI,@,TAM,L 10-36,True,16,30,53.33,182,1,2,55.1,4,21,6.07,3.73,1,7,7.00,0,,0,0,0.0,0,0,0,,,2,1,0,0,0,0,56,100%,0,0%,0,0%,True,Jay Cutler
2016,2016-11-20,10,11,33.205,CHI,@,NYG,L 16-22,True,17,30,56.67,252,1,1,81.5,4,30,8.40,7.57,1,3,3.00,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,63,100%,0,0%,0,0%,True,Jay Cutler
