Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2008,2008-12-28,16,17,25.191,SDG,,DEN,W 52-21,False,14,115,8.21,1,2,2,17,8.50,1,100.0%,8.50,4,96,24.00,0,2,16,8.00,0,,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Darren Sproles
2009,2009-09-14,1,1,26.086,SDG,@,OAK,W 24-20,False,9,23,2.56,1,7,5,43,8.60,0,71.4%,6.14,5,170,34.00,0,3,10,3.33,0,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,True,Darren Sproles
2009,2009-09-20,2,2,26.092,SDG,,BAL,L 26-31,True,10,26,2.60,0,9,7,124,17.71,1,77.8%,13.78,4,128,32.00,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Darren Sproles
2009,2009-09-27,3,3,26.099,SDG,,MIA,W 23-13,True,18,41,2.28,0,5,2,14,7.00,0,40.0%,2.80,3,61,20.33,0,3,15,5.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Darren Sproles
2009,2009-10-04,4,4,26.106,SDG,@,PIT,L 28-38,False,0,0,,0,1,1,16,16.00,0,100.0%,16.00,6,154,25.67,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Darren Sproles
2009,2009-10-19,5,6,26.121,SDG,,DEN,L 23-34,False,1,0,0.00,0,1,1,4,4.00,0,100.0%,4.00,7,149,21.29,0,1,77,77.00,1,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Darren Sproles
2009,2009-10-25,6,7,26.127,SDG,@,KAN,W 37-7,False,5,41,8.20,0,3,3,58,19.33,1,100.0%,19.33,2,34,17.00,0,1,18,18.00,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Darren Sproles
2009,2009-11-01,7,8,26.134,SDG,,OAK,W 24-16,False,5,38,7.60,0,1,1,8,8.00,0,100.0%,8.00,3,67,22.33,0,3,17,5.67,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,Darren Sproles
2009,2009-11-08,8,9,26.141,SDG,@,NYG,W 21-20,False,1,1,1.00,0,5,5,22,4.40,0,100.0%,4.40,2,38,19.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Darren Sproles
2009,2009-11-15,9,10,26.148,SDG,,PHI,W 31-23,False,2,14,7.00,0,4,4,31,7.75,0,100.0%,7.75,6,147,24.50,0,3,13,4.33,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Darren Sproles
