Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-12-24,15.0,16.0,24.148,DAL,SEA,L 12-21,True,21,34,61.76,181,0,2,51.2,4,27,5.32,2.68,4,21,5.25,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,False,Dak Prescott,False,12,21
2017.0,2017-12-31,16.0,17.0,24.155,DAL,PHI,W 6-0,True,17,30,56.67,179,1,0,85.3,1,7,5.97,6.63,2,16,8.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,True,Dak Prescott,True,6,0
2018.0,2018-09-09,1.0,1.0,25.042,DAL,CAR,L 8-16,True,19,29,65.52,170,0,0,81.1,6,32,5.86,5.86,5,19,3.80,0,0,0,0,,0,0.0%,,1,0,2,1,1,0,0,0,0,64,100%,0,0%,0,0%,True,Dak Prescott,False,8,16
2018.0,2018-09-16,2.0,2.0,25.049,DAL,NYG,W 20-13,True,16,25,64.00,160,1,0,95.4,0,0,6.40,7.20,7,45,6.43,0,0,0,0,,0,0.0%,,,0,0,0,0,0,1,0,0,53,100%,0,0%,0,0%,False,Dak Prescott,True,20,13
2018.0,2018-09-23,3.0,3.0,25.056,DAL,SEA,L 13-24,True,19,34,55.88,168,1,2,54.5,5,31,4.94,2.88,2,21,10.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,True,Dak Prescott,False,13,24
2018.0,2018-09-30,4.0,4.0,25.063,DAL,DET,W 26-24,True,17,27,62.96,255,2,0,118.6,3,24,9.44,10.93,3,2,0.67,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,69,100%,0,0%,0,0%,False,Dak Prescott,True,26,24
2018.0,2018-10-07,5.0,5.0,25.07,DAL,HOU,L 16-19,True,18,29,62.07,208,1,2,66.5,2,14,7.17,4.76,6,34,5.67,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,True,Dak Prescott,False,16,19
2018.0,2018-10-14,6.0,6.0,25.077,DAL,JAX,W 40-7,True,17,27,62.96,183,2,0,107.5,3,11,6.78,8.26,11,82,7.45,1,0,0,0,,0,0.0%,,,1,6,2,0,0,2,0,0,67,92%,0,0%,0,0%,False,Dak Prescott,True,40,7
2018.0,2018-10-21,7.0,7.0,25.084,DAL,WAS,L 17-20,True,22,35,62.86,273,1,0,96.5,4,23,7.80,8.37,6,33,5.50,1,0,0,0,,0,0.0%,,,1,6,2,2,0,0,0,0,66,100%,0,0%,0,0%,True,Dak Prescott,False,17,20
2018.0,2018-11-05,8.0,9.0,25.099,DAL,TEN,L 14-28,True,21,31,67.74,243,2,1,99.3,5,18,7.84,7.68,2,11,5.50,0,1,0,0,,0,0.0%,0.00,,0,0,1,1,0,0,0,0,59,100%,0,0%,0,0%,False,Dak Prescott,False,14,28
