Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Away_status,Win,Score,Opp Score,Player
2002,2002-11-24,11,12,23.229,PIT,CIN,False,2,3,66.7,3,4,75.0,0,11,0.0,1,0,1,0,,False,True,29,21,Jeff Reed
2002,2002-12-01,12,13,23.236,PIT,JAX,False,1,1,100.0,6,6,100.0,0,19,0.0,1,0,1,0,,True,True,25,23,Jeff Reed
2002,2002-12-08,13,14,23.243,PIT,HOU,False,,,,2,3,66.7,0,6,0.0,,,,,,False,False,6,24,Jeff Reed
2002,2002-12-15,14,15,23.250,PIT,CAR,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,0,,False,True,30,14,Jeff Reed
2002,2002-12-23,15,16,23.258,PIT,TAM,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,,True,True,17,7,Jeff Reed
2002,2002-12-29,16,17,23.264,PIT,BAL,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,False,True,34,31,Jeff Reed
2003,2003-09-07,1,1,24.151,PIT,BAL,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,,False,True,34,15,Jeff Reed
2003,2003-09-14,2,2,24.158,PIT,KAN,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,True,False,20,41,Jeff Reed
2003,2003-09-21,3,3,24.165,PIT,CIN,False,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,True,True,17,10,Jeff Reed
2003,2003-09-28,4,4,24.172,PIT,TEN,False,1,1,100.0,2,3,66.7,0,7,0.0,,,,,,False,False,13,30,Jeff Reed
2003,2003-10-05,5,5,24.179,PIT,CLE,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,False,False,13,33,Jeff Reed
2003,2003-10-12,6,6,24.186,PIT,DEN,False,,,,2,2,100.0,0,6,0.0,,,,,,True,False,14,17,Jeff Reed
2003,2003-10-26,7,8,24.200,PIT,STL,False,3,3,100.0,,,,0,3,0.0,,,,,,False,False,21,33,Jeff Reed
2003,2003-11-02,8,9,24.207,PIT,SEA,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,,True,False,16,23,Jeff Reed
2003,2003-11-09,9,10,24.214,PIT,ARI,False,4,4,100.0,,1,0.0,0,4,0.0,,,,,,False,True,28,15,Jeff Reed
2003,2003-11-17,10,11,24.222,PIT,SFO,False,2,2,100.0,,1,0.0,0,2,0.0,,,,,,True,False,14,30,Jeff Reed
2003,2003-11-23,11,12,24.228,PIT,CLE,False,1,1,100.0,2,3,66.7,0,7,0.0,,,,,,True,True,13,6,Jeff Reed
2003,2003-11-30,12,13,24.235,PIT,CIN,False,2,2,100.0,2,2,100.0,0,8,0.0,1,0,1,0,,False,False,20,24,Jeff Reed
2003,2003-12-07,13,14,24.242,PIT,OAK,False,3,3,100.0,2,4,50.0,0,9,0.0,,,,,,False,True,27,7,Jeff Reed
2003,2003-12-14,14,15,24.249,PIT,NYJ,False,,,,,2,0.0,0,0,0.0,,,,,,True,False,0,6,Jeff Reed
2003,2003-12-21,15,16,24.256,PIT,SDG,False,4,5,80.0,2,2,100.0,0,10,0.0,,,,,,False,True,40,24,Jeff Reed
2003,2003-12-28,16,17,24.263,PIT,BAL,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,True,False,10,13,Jeff Reed
2004,2004-09-12,1,1,25.156,PIT,OAK,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,,False,True,24,21,Jeff Reed
2004,2004-09-19,2,2,25.163,PIT,BAL,False,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,0,,True,False,13,30,Jeff Reed
2004,2004-09-26,3,3,25.170,PIT,MIA,False,1,1,100.0,2,4,50.0,0,7,0.0,,,,,,True,True,13,3,Jeff Reed
2004,2004-10-03,4,4,25.177,PIT,CIN,False,4,4,100.0,,,,0,4,0.0,0,0,0,0,,False,True,28,17,Jeff Reed
2004,2004-10-10,5,5,25.184,PIT,CLE,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,,False,True,34,23,Jeff Reed
2004,2004-10-17,6,6,25.191,PIT,DAL,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,,True,True,24,20,Jeff Reed
2004,2004-10-31,7,8,25.205,PIT,NWE,False,4,4,100.0,2,2,100.0,0,10,0.0,,,,,,False,True,34,20,Jeff Reed
2004,2004-11-07,8,9,25.212,PIT,PHI,False,3,3,100.0,2,3,66.7,0,9,0.0,,,,,,False,True,27,3,Jeff Reed
2004,2004-11-14,9,10,25.219,PIT,CLE,False,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,True,True,24,10,Jeff Reed
2004,2004-11-21,10,11,25.226,PIT,CIN,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,True,True,19,14,Jeff Reed
2004,2004-11-28,11,12,25.233,PIT,WAS,False,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,False,True,16,7,Jeff Reed
2004,2004-12-05,12,13,25.240,PIT,JAX,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,True,True,17,16,Jeff Reed
2004,2004-12-12,13,14,25.247,PIT,NYJ,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,False,True,17,6,Jeff Reed
2004,2004-12-18,14,15,25.253,PIT,NYG,False,3,3,100.0,4,4,100.0,0,15,0.0,1,0,1,0,,True,True,33,30,Jeff Reed
