Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
1995,1995-09-03,1,1,,CAR,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,20,23,Kerry Collins
1995,1995-09-10,2,2,22.254,CAR,BUF,False,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,9,31,Kerry Collins
1995,1995-09-17,3,3,22.261,CAR,STL,False,7,11,63.64,45,0,1,34.3,0,0,4.09,0.00,2,9,4.50,1,0,0,0,,0,0.0%,,,1,6,0.0,,,,,,0,,0,0,0,0,False,False,10,31,Kerry Collins
1995,1995-10-01,4,5,22.275,CAR,TAM,True,18,32,56.25,234,1,1,76.8,0,0,7.31,6.53,2,14,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,False,False,13,20,Kerry Collins
1995,1995-10-08,5,6,22.282,CAR,CHI,True,14,28,50.00,228,1,1,74.7,0,0,8.14,7.25,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,,0,1,0,0,True,False,27,31,Kerry Collins
1995,1995-10-15,6,7,22.289,CAR,NYJ,True,14,26,53.85,158,0,2,40.2,4,26,6.08,2.62,4,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,1,0,0,-2,0,False,True,26,15,Kerry Collins
1995,1995-10-22,7,8,22.296,CAR,NOR,True,8,21,38.10,48,1,0,62.2,4,19,2.29,3.24,2,2,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,2,0,0,2,-5,0,False,True,20,3,Kerry Collins
1995,1995-10-29,8,9,22.303,CAR,NWE,True,25,45,55.56,309,2,1,82.5,2,18,6.87,6.76,4,11,2.75,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,1,0,0,0,0,True,True,20,17,Kerry Collins
1995,1995-11-05,9,10,22.310,CAR,SFO,True,17,30,56.67,150,0,1,56.3,3,18,5.00,3.50,4,7,1.75,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,1,0,0,0,0,True,True,13,7,Kerry Collins
1995,1995-11-12,10,11,22.317,CAR,STL,True,16,35,45.71,228,2,4,46.8,3,28,6.51,2.51,3,16,5.33,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,2,2,0,0,0,0,True,False,17,28,Kerry Collins
1995,1995-11-19,11,12,22.324,CAR,ARI,True,15,23,65.22,201,2,0,121.8,3,19,8.74,10.48,3,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,2,1,0,1,0,0,False,True,27,7,Kerry Collins
1995,1995-11-26,12,13,22.331,CAR,NOR,True,17,46,36.96,335,3,4,48.7,2,6,7.28,4.67,5,7,1.40,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,3,1,0,0,0,0,True,False,26,34,Kerry Collins
1995,1995-12-03,13,14,22.338,CAR,IND,True,14,34,41.18,170,0,0,57.2,0,0,5.00,5.00,1,2,2.00,1,0,0,0,,0,0.0%,,,1,6,0.0,,,,,,0,,0,0,0,0,False,True,13,10,Kerry Collins
1995,1995-12-10,14,15,22.345,CAR,SFO,True,12,29,41.38,127,0,1,40.4,1,8,4.38,2.83,2,2,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,False,False,10,31,Kerry Collins
1995,1995-12-17,15,16,22.352,CAR,ATL,True,18,28,64.29,283,1,1,94.8,0,0,10.11,9.21,8,-1,-0.13,1,0,0,0,,0,0.0%,,,1,6,0.0,,,,,,0,,0,0,0,0,False,True,21,17,Kerry Collins
1995,1995-12-24,16,17,22.359,CAR,WAS,True,19,43,44.19,201,1,2,46.8,2,8,4.67,3.05,1,3,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,17,20,Kerry Collins
1996,1996-09-01,1,1,23.246,CAR,ATL,True,17,31,54.84,198,2,0,95.9,4,12,6.39,7.68,1,14,14.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,1,0,0,0,0,False,True,29,6,Kerry Collins
1996,1996-09-08,2,2,23.253,CAR,NOR,True,13,21,61.90,171,0,1,67.8,3,29,8.14,6.00,3,1,0.33,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,True,True,22,20,Kerry Collins
1996,1996-09-22,3,4,,CAR,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,23,7,Kerry Collins
1996,1996-09-29,4,5,23.274,CAR,JAX,False,2,7,28.57,42,1,0,91.7,0,0,6.00,8.86,0,0,,0,0,0,0,,0,0.0%,,1,0,2,0.0,,,,,,0,,0,0,0,0,True,False,14,24,Kerry Collins
1996,1996-10-06,5,6,23.281,CAR,MIN,True,15,30,50.00,155,0,4,25.7,1,0,5.17,-0.83,1,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,1,0,0,0,0,True,False,12,14,Kerry Collins
1996,1996-10-13,6,7,23.288,CAR,STL,True,11,18,61.11,196,3,1,114.8,2,19,10.89,11.72,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,False,True,45,13,Kerry Collins
1996,1996-10-20,7,8,23.295,CAR,NOR,True,14,30,46.67,176,1,0,76.5,3,21,5.87,6.53,8,3,0.38,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,0,0,0,0,0,False,True,19,7,Kerry Collins
