Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-12-22,15,16,,CIN,,DEN,W 37-28,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Marvin Jones
2014,2014-12-28,16,17,,CIN,@,PIT,L 17-27,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Marvin Jones
2015,2015-09-13,1,1,25.185,CIN,@,OAK,W 33-13,False,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,0.0,0,0,0,,,43,63%,0,0%,2,7%,True,Marvin Jones
2015,2015-09-20,2,2,25.192,CIN,,SDG,W 24-19,True,5,2,48,24.00,1,40.0%,9.60,1,3,3.00,0,1,6,0.0,0,0,0,0,0,53,80%,0,0%,0,0%,False,Marvin Jones
2015,2015-09-27,3,3,25.199,CIN,@,BAL,W 28-24,True,8,5,94,18.80,1,62.5%,11.75,0,0,,0,1,6,0.0,0,0,0,,,63,86%,0,0%,0,0%,True,Marvin Jones
2015,2015-10-04,4,4,25.206,CIN,,KAN,W 36-21,True,2,1,4,4.00,0,50.0%,2.00,1,6,6.00,0,0,0,0.0,0,0,0,,,44,81%,0,0%,0,0%,False,Marvin Jones
2015,2015-10-11,5,5,25.213,CIN,,SEA,W 27-24,False,8,5,61,12.20,0,62.5%,7.63,0,0,,0,0,0,0.0,0,0,0,,,78,92%,0,0%,0,0%,False,Marvin Jones
2015,2015-10-18,6,6,25.220,CIN,@,BUF,W 34-21,True,12,9,95,10.56,1,75.0%,7.92,0,0,,0,1,6,0.0,0,0,0,,,49,80%,0,0%,1,4%,True,Marvin Jones
2015,2015-11-01,7,8,25.234,CIN,@,PIT,W 16-10,True,5,2,12,6.00,0,40.0%,2.40,1,2,2.00,0,0,0,0.0,0,0,0,0,0,60,90%,0,0%,0,0%,True,Marvin Jones
2015,2015-11-05,8,9,25.238,CIN,,CLE,W 31-10,True,6,5,78,15.60,0,83.3%,13.00,0,0,,0,0,0,0.0,0,0,0,,,52,78%,0,0%,0,0%,False,Marvin Jones
2015,2015-11-16,9,10,25.249,CIN,,HOU,L 6-10,True,9,4,44,11.00,0,44.4%,4.89,1,-8,-8.00,0,0,0,0.0,0,0,0,,,62,93%,0,0%,0,0%,False,Marvin Jones
2015,2015-11-22,10,11,25.255,CIN,@,ARI,L 31-34,True,9,4,60,15.00,0,44.4%,6.67,0,0,,0,0,0,0.0,0,0,0,,,69,91%,0,0%,0,0%,True,Marvin Jones
2015,2015-11-29,11,12,25.262,CIN,,STL,W 31-7,False,5,3,25,8.33,0,60.0%,5.00,1,30,30.00,0,0,0,0.0,0,0,0,0,0,50,85%,0,0%,0,0%,False,Marvin Jones
2015,2015-12-06,12,13,25.269,CIN,@,CLE,W 37-3,True,5,5,55,11.00,1,100.0%,11.00,0,0,,0,1,6,0.0,0,0,0,,,43,75%,0,0%,0,0%,True,Marvin Jones
2015,2015-12-13,13,14,25.276,CIN,,PIT,L 20-33,True,8,6,61,10.17,0,75.0%,7.63,0,0,,0,0,0,0.0,0,0,0,,,57,98%,0,0%,0,0%,False,Marvin Jones
2015,2015-12-20,14,15,25.283,CIN,@,SFO,W 24-14,True,6,4,89,22.25,0,66.7%,14.83,0,0,,0,0,0,0.0,0,0,0,,,58,91%,0,0%,1,3%,True,Marvin Jones
2015,2015-12-28,15,16,25.291,CIN,@,DEN,L 17-20,True,7,3,33,11.00,0,42.9%,4.71,0,0,,0,0,0,0.0,0,0,0,,,65,90%,0,0%,0,0%,True,Marvin Jones
2015,2016-01-03,16,17,25.297,CIN,,BAL,W 24-16,True,5,5,38,7.60,0,100.0%,7.60,0,0,,0,0,0,0.0,0,0,0,,,54,89%,0,0%,0,0%,False,Marvin Jones
2016,2016-09-11,1,1,26.183,DET,@,IND,W 39-35,True,10,4,85,21.25,0,40.0%,8.50,0,0,,0,0,0,0.0,0,0,0,,,61,94%,0,0%,0,0%,True,Marvin Jones
2016,2016-09-18,2,2,26.190,DET,,TEN,L 15-16,True,11,8,118,14.75,0,72.7%,10.73,0,0,,0,0,0,0.0,0,0,0,,,73,92%,0,0%,0,0%,False,Marvin Jones
2016,2016-09-25,3,3,26.197,DET,@,GNB,L 27-34,True,8,6,205,34.17,2,75.0%,25.63,0,0,,0,2,12,0.0,0,0,0,,,65,96%,0,0%,0,0%,True,Marvin Jones
2016,2016-10-02,4,4,26.204,DET,@,CHI,L 14-17,True,7,5,74,14.80,0,71.4%,10.57,0,0,,0,0,0,0.0,0,0,0,,,61,97%,0,0%,0,0%,True,Marvin Jones
2016,2016-10-09,5,5,26.211,DET,,PHI,W 24-23,True,5,4,37,9.25,1,80.0%,7.40,0,0,,0,1,6,0.0,0,0,0,,,53,87%,0,0%,0,0%,False,Marvin Jones
