Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2009,2009-09-10,1,1,20.356,TEN,@,PIT,L 10-13,False,6,4,85,21.25,0,66.7%,14.17,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Kenny Britt
2009,2009-09-20,2,2,21.001,TEN,,HOU,L 31-34,False,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Kenny Britt
2009,2009-09-27,3,3,21.008,TEN,@,NYJ,L 17-24,False,6,4,59,14.75,0,66.7%,9.83,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Kenny Britt
2009,2009-10-04,4,4,21.015,TEN,@,JAX,L 17-37,False,11,7,105,15.00,0,63.6%,9.55,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Kenny Britt
2009,2009-10-11,5,5,21.022,TEN,,IND,L 9-31,False,5,2,18,9.00,0,40.0%,3.60,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Kenny Britt
2009,2009-10-18,6,6,21.029,TEN,@,NWE,L 0-59,False,4,0,0,,0,0.0%,0.00,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,True,Kenny Britt
2009,2009-11-01,7,8,21.043,TEN,,JAX,W 30-13,False,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Kenny Britt
2009,2009-11-08,8,9,21.050,TEN,@,SFO,W 34-27,False,,,,,,0.0%,,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,True,Kenny Britt
2009,2009-11-15,9,10,21.057,TEN,,BUF,W 41-17,True,4,2,55,27.50,0,50.0%,13.75,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Kenny Britt
2009,2009-11-23,10,11,21.065,TEN,@,HOU,W 20-17,True,5,4,42,10.50,1,80.0%,8.40,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Kenny Britt
2009,2009-11-29,11,12,21.071,TEN,,ARI,W 20-17,True,11,7,128,18.29,1,63.6%,11.64,0,0,,0,2,58,29.00,0,,1,6,1,1,0,0,0,0,,,,,,,False,Kenny Britt
2009,2009-12-06,12,13,21.078,TEN,@,IND,L 17-27,True,9,3,46,15.33,1,33.3%,5.11,0,0,,0,5,175,35.00,0,,1,6,0,,0,0,0,0,,,,,,,True,Kenny Britt
2009,2009-12-13,13,14,21.085,TEN,,STL,W 47-7,True,2,2,75,37.50,0,100.0%,37.50,0,0,,0,2,49,24.50,0,,0,0,0,,0,0,0,0,,,,,,,False,Kenny Britt
2009,2009-12-20,14,15,21.092,TEN,,MIA,W 27-24,True,2,2,32,16.00,0,100.0%,16.00,0,0,,0,4,72,18.00,0,,0,0,0,,0,0,0,0,,,,,,,False,Kenny Britt
2009,2009-12-25,15,16,21.097,TEN,,SDG,L 17-42,False,6,1,13,13.00,0,16.7%,2.17,0,0,,0,7,96,13.71,0,,0,0,0,,0,0,0,0,,,,,,,False,Kenny Britt
2009,2010-01-03,16,17,21.106,TEN,@,SEA,W 17-13,False,1,1,14,14.00,0,100.0%,14.00,0,0,,0,4,73,18.25,0,,0,0,0,0,0,0,0,0,,,,,,,True,Kenny Britt
2010,2010-09-12,1,1,21.358,TEN,,OAK,W 38-13,False,,,,,,0.0%,,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,False,Kenny Britt
2010,2010-09-19,2,2,22.000,TEN,,PIT,L 11-19,False,7,5,41,8.20,0,71.4%,5.86,0,0,,0,0,0,,0,1,0,2,0,,0,0,0,0,,,,,,,False,Kenny Britt
2010,2010-09-26,3,3,22.007,TEN,@,NYG,W 29-10,False,2,2,26,13.00,1,100.0%,13.00,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Kenny Britt
2010,2010-10-03,4,4,22.014,TEN,,DEN,L 20-26,False,7,3,23,7.67,1,42.9%,3.29,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Kenny Britt
2010,2010-10-10,5,5,22.021,TEN,@,DAL,W 34-27,True,6,4,86,21.50,1,66.7%,14.33,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Kenny Britt
2010,2010-10-18,6,6,22.029,TEN,@,JAX,W 30-3,True,5,2,33,16.50,1,40.0%,6.60,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Kenny Britt
2010,2010-10-24,7,7,22.035,TEN,,PHI,W 37-19,False,10,7,225,32.14,3,70.0%,22.50,0,0,,0,0,0,,0,,3,18,0,,0,0,0,0,,,,,,,False,Kenny Britt
2010,2010-10-31,8,8,22.042,TEN,@,SDG,L 25-33,True,1,0,0,,0,0.0%,0.00,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,True,Kenny Britt
2010,2010-11-14,9,10,,TEN,@,MIA,L 17-29,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kenny Britt
2010,2010-11-21,10,11,,TEN,,WAS,L 16-19,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kenny Britt
2010,2010-11-28,11,12,,TEN,@,HOU,L 0-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kenny Britt
2010,2010-12-05,12,13,,TEN,,JAX,L 6-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kenny Britt
2010,2010-12-09,13,14,22.081,TEN,,IND,L 28-30,True,8,4,39,9.75,0,50.0%,4.88,0,0,,0,0,0,,0,,0,0,1,1,0,0,0,0,,,,,,,False,Kenny Britt
2010,2010-12-19,14,15,22.091,TEN,,HOU,W 31-17,True,9,6,128,21.33,0,66.7%,14.22,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Kenny Britt
2010,2010-12-26,15,16,22.098,TEN,@,KAN,L 14-34,True,9,4,89,22.25,1,44.4%,9.89,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Kenny Britt
2010,2011-01-02,16,17,22.105,TEN,@,IND,L 20-23,True,9,5,85,17.00,1,55.6%,9.44,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Kenny Britt
2011,2011-09-11,1,1,22.357,TEN,@,JAX,L 14-16,True,10,5,136,27.20,2,50.0%,13.60,0,0,,0,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,True,Kenny Britt
2011,2011-09-18,2,2,22.364,TEN,,BAL,W 26-13,True,13,9,135,15.00,1,69.2%,10.38,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Kenny Britt
2011,2011-09-25,3,3,23.006,TEN,,DEN,W 17-14,True,3,3,18,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,,0,0,1,1,0,0,0,0,,,,,,,False,Kenny Britt
2011,2011-10-02,4,4,,TEN,@,CLE,W 31-13,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Kenny Britt
2011,2011-10-09,5,5,,TEN,@,PIT,L 17-38,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Kenny Britt
2011,2011-10-23,6,7,,TEN,,HOU,L 7-41,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Kenny Britt
2011,2011-10-30,7,8,,TEN,,IND,W 27-10,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Kenny Britt
2011,2011-11-06,8,9,,TEN,,CIN,L 17-24,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Kenny Britt
2011,2011-11-13,9,10,,TEN,@,CAR,W 30-3,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Kenny Britt
2011,2011-11-20,10,11,,TEN,@,ATL,L 17-23,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Kenny Britt
2011,2011-11-27,11,12,,TEN,,TAM,W 23-17,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Kenny Britt
2011,2011-12-04,12,13,,TEN,@,BUF,W 23-17,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Kenny Britt
2011,2011-12-11,13,14,,TEN,,NOR,L 17-22,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Kenny Britt
2011,2011-12-18,14,15,,TEN,@,IND,L 13-27,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Kenny Britt
2011,2011-12-24,15,16,,TEN,,JAX,W 23-17,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Kenny Britt
