Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-09-12,1,1,20.310,NWE,CIN,True,2,1,45,45.00,0,50.0%,22.50,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,38,24,Aaron Hernandez
2010,2010-09-19,2,2,20.317,NWE,NYJ,True,6,6,101,16.83,0,100.0%,16.83,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,14,28,Aaron Hernandez
2010,2010-09-26,3,3,20.324,NWE,BUF,True,7,6,65,10.83,0,85.7%,9.29,1,13,13.00,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,38,30,Aaron Hernandez
2010,2010-10-04,4,4,20.332,NWE,MIA,False,5,5,29,5.80,0,100.0%,5.80,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,41,14,Aaron Hernandez
2010,2010-10-17,5,6,20.345,NWE,BAL,True,6,4,61,15.25,0,66.7%,10.17,1,18,18.00,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,23,20,Aaron Hernandez
2010,2010-10-24,6,7,20.352,NWE,SDG,True,8,5,54,10.80,0,62.5%,6.75,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,23,20,Aaron Hernandez
2010,2010-10-31,7,8,20.359,NWE,MIN,True,3,2,33,16.50,0,66.7%,11.00,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,28,18,Aaron Hernandez
2010,2010-11-07,8,9,21.001,NWE,CLE,False,9,5,48,9.60,2,55.6%,5.33,0,0,,0,2,12,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,14,34,Aaron Hernandez
2010,2010-11-14,9,10,21.008,NWE,PIT,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,1,0,,0,0,0,0,,,,,,,True,True,39,26,Aaron Hernandez
2010,2010-11-21,10,11,21.015,NWE,IND,False,1,1,8,8.00,1,100.0%,8.00,0,0,,0,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,31,28,Aaron Hernandez
2010,2010-11-25,11,12,21.019,NWE,DET,False,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,45,24,Aaron Hernandez
2010,2010-12-06,12,13,21.030,NWE,NYJ,True,5,3,51,17.00,1,60.0%,10.20,0,0,,0,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,45,3,Aaron Hernandez
2010,2010-12-12,13,14,21.036,NWE,CHI,False,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,36,7,Aaron Hernandez
2010,2010-12-19,14,15,21.043,NWE,GNB,False,5,4,31,7.75,2,80.0%,6.20,1,16,16.00,0,2,12,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,31,27,Aaron Hernandez
2010,2010-12-26,15,16,,NWE,BUF,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,34,3,Aaron Hernandez
2010,2011-01-02,16,17,,NWE,MIA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,38,7,Aaron Hernandez
2011,2011-09-12,1,1,21.310,NWE,MIA,True,10,7,103,14.71,1,70.0%,10.30,0,0,,0,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,38,24,Aaron Hernandez
2011,2011-09-18,2,2,21.316,NWE,SDG,True,8,7,62,8.86,1,87.5%,7.75,0,0,,0,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,35,21,Aaron Hernandez
