Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2007.0,2007-09-09,1.0,1.0,23.03,ATL,MIN,L 3-24,False,0,0,,0,0,0,,,,,,,,,1,2,50.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Matt Prater,False,3,24
2007.0,2007-09-16,2.0,2.0,23.037,ATL,JAX,L 7-13,False,0,0,,0,0,0,,,,,,1,1,100.0,,2,0.0,0,1,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Matt Prater,False,7,13
2008.0,2008-09-08,1.0,1.0,24.029,DEN,OAK,W 41-14,False,0,0,,0,0,0,,,,,,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Matt Prater,True,41,14
2008.0,2008-09-14,2.0,2.0,24.035,DEN,SDG,W 39-38,False,0,0,,0,0,0,,,,,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Matt Prater,True,39,38
2008.0,2008-09-21,3.0,3.0,24.042,DEN,NOR,W 34-32,False,0,0,,0,0,0,,,,,,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Matt Prater,True,34,32
2008.0,2008-09-28,4.0,4.0,24.049,DEN,KAN,L 19-33,False,0,0,,0,0,0,,,,,,1,1,100.0,4,5,80.0,0,13,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Matt Prater,False,19,33
2008.0,2008-10-05,5.0,5.0,24.056,DEN,TAM,W 16-13,False,0,0,,0,0,0,,,,,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Matt Prater,True,16,13
2008.0,2008-10-12,6.0,6.0,24.063,DEN,JAX,L 17-24,False,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Matt Prater,False,17,24
2008.0,2008-10-20,7.0,7.0,24.071,DEN,NWE,L 7-41,False,0,0,,0,0,0,,,,,,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Matt Prater,False,7,41
2008.0,2008-11-02,8.0,9.0,24.084,DEN,MIA,L 17-26,False,0,0,,0,0,0,,,,,,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Matt Prater,False,17,26
2008.0,2008-11-06,9.0,10.0,24.088,DEN,CLE,W 34-30,False,0,0,,0,0,0,,,,,,4,4,100.0,2,3,66.7,0,10,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Matt Prater,True,34,30
2008.0,2008-11-16,10.0,11.0,24.098,DEN,ATL,W 24-20,False,0,0,,0,0,0,,,,,,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Matt Prater,True,24,20
2008.0,2008-11-23,11.0,12.0,24.105,DEN,OAK,L 10-31,False,0,0,,0,0,0,,,,,,1,1,100.0,1,3,33.3,0,4,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Matt Prater,False,10,31
2008.0,2008-11-30,12.0,13.0,24.112,DEN,NYJ,W 34-17,False,0,0,,0,0,0,,,,,,4,4,100.0,2,2,100.0,0,10,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,Matt Prater,True,34,17
2008.0,2008-12-07,13.0,14.0,24.119,DEN,KAN,W 24-17,False,0,0,,0,0,0,,,,,,3,3,100.0,1,2,50.0,0,6,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Matt Prater,True,24,17
