Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-10-02,4,4,22.134,CAR,@,ATL,L 33-48,False,3,2,56,28.00,0,66.7%,18.67,,0,0,0,0,0,0,0,0,27,38%,0,0%,0,0%,True,Devin Funchess
2016,2016-10-10,5,5,22.142,CAR,,TAM,L 14-17,False,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,21,39%,0,0%,0,0%,False,Devin Funchess
2016,2016-10-16,6,6,22.148,CAR,@,NOR,L 38-41,True,6,2,28,14.00,1,33.3%,4.67,1,1,8,0,0,0,0,0,0,45,56%,0,0%,0,0%,True,Devin Funchess
2016,2016-10-30,7,8,22.162,CAR,,ARI,W 30-20,False,4,3,38,12.67,0,75.0%,9.50,,0,0,0,0,0,0,0,0,30,45%,0,0%,0,0%,False,Devin Funchess
2016,2016-11-06,8,9,22.169,CAR,@,LAR,W 13-10,True,5,1,28,28.00,0,20.0%,5.60,,0,0,0,0,0,0,0,0,29,45%,0,0%,0,0%,True,Devin Funchess
2016,2016-11-13,9,10,22.176,CAR,,KAN,L 17-20,False,4,3,56,18.67,1,75.0%,14.00,,1,6,0,0,0,0,0,0,29,40%,0,0%,0,0%,False,Devin Funchess
2016,2016-11-17,10,11,22.180,CAR,,NOR,W 23-20,True,7,2,32,16.00,0,28.6%,4.57,,0,0,0,0,0,0,0,0,37,60%,0,0%,0,0%,False,Devin Funchess
2016,2016-11-27,11,12,22.190,CAR,@,OAK,L 32-35,False,2,2,19,9.50,0,100.0%,9.50,,0,0,0,0,0,0,0,0,32,49%,0,0%,0,0%,True,Devin Funchess
2016,2016-12-04,12,13,22.197,CAR,@,SEA,L 7-40,True,4,2,44,22.00,0,50.0%,11.00,,0,0,0,0,0,0,0,0,28,48%,0,0%,0,0%,True,Devin Funchess
2016,2016-12-11,13,14,22.204,CAR,,SDG,W 28-16,True,5,2,33,16.50,1,40.0%,6.60,,1,6,0,0,0,0,0,0,21,30%,0,0%,0,0%,False,Devin Funchess
2016,2016-12-19,14,15,22.212,CAR,@,WAS,W 26-15,False,3,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,44,60%,0,0%,0,0%,True,Devin Funchess
2016,2016-12-24,15,16,22.217,CAR,,ATL,L 16-33,False,5,1,9,9.00,0,20.0%,1.80,,0,0,0,0,0,0,0,0,15,22%,0,0%,0,0%,False,Devin Funchess
2016,2017-01-01,16,17,,CAR,@,TAM,L 16-17,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Devin Funchess
