Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2010,2010-11-07,9,9,24.031,NOR,@,CAR,W 34-3,False,0,0,,0,0,0,,1,10,,,1,16,16.00,0,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Chase Daniel
2010,2010-11-21,10,11,24.045,NOR,,SEA,W 34-19,False,,,,,,,,0,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,,,,,,,False,Chase Daniel
2010,2010-11-25,11,12,24.049,NOR,@,DAL,W 30-27,False,,,,,,,,0,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,,,,,,,True,Chase Daniel
2010,2010-12-05,12,13,24.059,NOR,@,CIN,W 34-30,False,,,,,,,,0,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,,,,,,,True,Chase Daniel
2010,2010-12-12,13,14,24.066,NOR,,STL,W 31-13,False,,,,,,,,0,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,,,,,,,False,Chase Daniel
2010,2010-12-19,14,15,24.073,NOR,@,BAL,L 24-30,False,,,,,,,,0,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,,,,,,,True,Chase Daniel
2010,2010-12-27,15,16,24.081,NOR,@,ATL,W 17-14,False,,,,,,,,0,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,,,,,,,True,Chase Daniel
2010,2011-01-02,16,17,24.087,NOR,,TAM,L 13-23,False,2,3,66.67,16,0,0,79.9,0,0,5.33,5.33,1,0,0.00,0,0,0,0,,0,0.0%,,0.0,0,0,0,,,1,0,0,0,-11,0,,,,,,,False,Chase Daniel
2011,2011-09-08,1,1,24.336,NOR,@,GNB,L 34-42,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,,,,,,,True,Chase Daniel
2011,2011-09-18,2,2,24.346,NOR,,CHI,W 30-13,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,,,,,,,False,Chase Daniel
2011,2011-09-25,3,3,24.353,NOR,,HOU,W 40-33,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,,,,,,,False,Chase Daniel
2011,2011-10-02,4,4,24.360,NOR,@,JAX,W 23-10,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,,,,,,,True,Chase Daniel
2011,2011-10-09,5,5,25.002,NOR,@,CAR,W 30-27,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,,,,,,,True,Chase Daniel
2011,2011-10-16,6,6,25.009,NOR,@,TAM,L 20-26,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,,,,,,,True,Chase Daniel
2011,2011-10-23,7,7,25.016,NOR,,IND,W 62-7,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,,,,,,,False,Chase Daniel
2011,2011-10-30,8,8,25.023,NOR,@,STL,L 21-31,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,,,,,,,True,Chase Daniel
2011,2011-11-06,9,9,25.030,NOR,,TAM,W 27-16,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,,,,,,,False,Chase Daniel
2011,2011-11-13,10,10,25.037,NOR,@,ATL,W 26-23,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,,,,,,,True,Chase Daniel
2011,2011-11-28,11,12,25.052,NOR,,NYG,W 49-24,False,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Chase Daniel
2011,2011-12-04,12,13,25.058,NOR,,DET,W 31-17,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,,,,,,,False,Chase Daniel
