Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2001.0,2001-09-09,1.0,1.0,21.075,ATL,SFO,L 13-16,False,0,4,0.00,0,0,0,39.6,0,0,0.00,0.00,2,32,16.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,True,Michael Vick,False,13,16
2001.0,2001-09-23,2.0,2.0,21.089,ATL,CAR,W 24-16,False,2,2,100.00,27,0,0,118.7,1,11,13.50,13.50,3,23,7.67,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,,,,,,False,Michael Vick,True,24,16
2001.0,2001-09-30,3.0,3.0,,ATL,ARI,W 34-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Michael Vick,True,34,14
2001.0,2001-10-07,4.0,4.0,21.103,ATL,CHI,L 3-31,False,12,18,66.67,186,0,0,100.7,5,28,10.33,10.33,5,18,3.60,0,0,0,0,,0,0.0%,,0,0,2,1,0,0,0,0,,,,,,,False,Michael Vick,False,3,31
2001.0,2001-10-14,5.0,5.0,,ATL,SFO,L 31-37,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Michael Vick,False,31,37
2001.0,2001-10-21,6.0,6.0,,ATL,NOR,W 20-13,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Michael Vick,True,20,13
2001.0,2001-11-04,7.0,8.0,21.131,ATL,NWE,L 10-24,False,2,9,22.22,56,0,0,53.0,3,15,6.22,6.22,2,50,25.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,False,Michael Vick,False,10,24
2001.0,2001-11-11,8.0,9.0,21.138,ATL,DAL,W 20-13,True,4,12,33.33,32,1,0,70.1,2,5,2.67,4.33,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,,,,,,False,Michael Vick,True,20,13
2001.0,2001-11-18,9.0,10.0,,ATL,GNB,W 23-20,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Michael Vick,True,23,20
2001.0,2001-11-25,10.0,11.0,,ATL,CAR,W 10-7,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Michael Vick,True,10,7
