Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-10-09,5,5,24.332,NYG,SEA,False,11,8,161,20.13,1,72.7%,14.64,1,3,3.00,0,0,0,,0,1,6,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,False,25,36,Victor Cruz
2011,2011-10-16,6,6,24.339,NYG,BUF,False,4,2,12,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,27,24,Victor Cruz
2011,2011-10-30,7,8,24.353,NYG,MIA,False,9,7,99,14.14,1,77.8%,11.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,20,17,Victor Cruz
2011,2011-11-06,8,9,24.360,NYG,NWE,True,11,6,91,15.17,0,54.5%,8.27,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,24,20,Victor Cruz
2011,2011-11-13,9,10,25.002,NYG,SFO,False,11,6,84,14.00,0,54.5%,7.64,0,0,,0,3,12,4.00,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,20,27,Victor Cruz
2011,2011-11-20,10,11,25.009,NYG,PHI,False,10,6,128,21.33,1,60.0%,12.80,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,10,17,Victor Cruz
2011,2011-11-28,11,12,25.017,NYG,NOR,True,12,9,157,17.44,2,75.0%,13.08,0,0,,0,0,0,,0,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,24,49,Victor Cruz
2011,2011-12-04,12,13,25.023,NYG,GNB,True,9,7,119,17.00,0,77.8%,13.22,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,35,38,Victor Cruz
2011,2011-12-11,13,14,25.030,NYG,DAL,True,8,6,74,12.33,0,75.0%,9.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,37,34,Victor Cruz
2011,2011-12-18,14,15,25.037,NYG,WAS,True,9,5,44,8.80,0,55.6%,4.89,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,1,0,0,,,,,,,False,False,10,23,Victor Cruz
2011,2011-12-24,15,16,25.043,NYG,NYJ,True,8,3,164,54.67,1,37.5%,20.50,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,29,14,Victor Cruz
2011,2012-01-01,16,17,25.051,NYG,DAL,True,11,6,178,29.67,1,54.5%,16.18,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,31,14,Victor Cruz
2012,2012-09-05,1,1,25.299,NYG,DAL,True,11,6,58,9.67,0,54.5%,5.27,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,91%,0,0%,0,0%,False,False,17,24,Victor Cruz
2012,2012-09-16,2,2,25.310,NYG,TAM,True,17,11,179,16.27,1,64.7%,10.53,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,76,94%,0,0%,0,0%,False,True,41,34,Victor Cruz
2012,2012-09-20,3,3,25.314,NYG,CAR,True,8,6,42,7.00,0,75.0%,5.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,88%,0,0%,0,0%,True,True,36,7,Victor Cruz
2012,2012-09-30,4,4,25.324,NYG,PHI,True,13,9,109,12.11,1,69.2%,8.38,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,65,96%,0,0%,0,0%,True,False,17,19,Victor Cruz
2012,2012-10-07,5,5,25.331,NYG,CLE,True,8,5,50,10.00,3,62.5%,6.25,0,0,,0,0,0,,0,3,18,0.0,0,0,0,,,0,0,0,0,0,0,64,85%,0,0%,1,3%,False,True,41,27,Victor Cruz
2012,2012-10-14,6,6,25.338,NYG,SFO,True,13,6,58,9.67,1,46.2%,4.46,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,60,92%,0,0%,0,0%,True,True,26,3,Victor Cruz
2012,2012-10-21,7,7,25.345,NYG,WAS,True,11,7,131,18.71,1,63.6%,11.91,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,57,90%,0,0%,0,0%,False,True,27,23,Victor Cruz
2012,2012-10-28,8,8,25.352,NYG,DAL,True,8,2,23,11.50,0,25.0%,2.88,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,89%,0,0%,0,0%,True,True,29,24,Victor Cruz
2012,2012-11-04,9,9,25.359,NYG,PIT,True,11,5,67,13.40,0,45.5%,6.09,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,88%,0,0%,0,0%,False,False,20,24,Victor Cruz
2012,2012-11-11,10,10,26.000,NYG,CIN,True,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,71,97%,0,0%,0,0%,True,False,13,31,Victor Cruz
2012,2012-11-25,11,12,26.014,NYG,GNB,True,6,3,36,12.00,1,50.0%,6.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,58,89%,0,0%,0,0%,False,True,38,10,Victor Cruz
2012,2012-12-03,12,13,26.022,NYG,WAS,True,8,5,104,20.80,0,62.5%,13.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,89%,0,0%,0,0%,True,False,16,17,Victor Cruz
2012,2012-12-09,13,14,26.028,NYG,NOR,True,9,8,121,15.13,1,88.9%,13.44,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,53,77%,0,0%,0,0%,False,True,52,27,Victor Cruz
2012,2012-12-16,14,15,26.035,NYG,ATL,True,5,3,15,5.00,0,60.0%,3.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,90%,0,0%,0,0%,True,False,0,34,Victor Cruz
2012,2012-12-23,15,16,26.042,NYG,BAL,True,5,3,21,7.00,0,60.0%,4.20,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,83%,0,0%,0,0%,True,False,14,33,Victor Cruz
2012,2012-12-30,16,17,26.049,NYG,PHI,True,6,4,52,13.00,1,66.7%,8.67,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,48,76%,0,0%,0,0%,False,True,42,7,Victor Cruz
2013,2013-09-08,1,1,26.301,NYG,DAL,True,8,5,118,23.60,3,62.5%,14.75,0,0,,0,0,0,,0,3,18,0.0,0,0,0,,,0,0,0,0,0,0,54,90%,0,0%,0,0%,True,False,31,36,Victor Cruz
2013,2013-09-15,2,2,26.308,NYG,DEN,True,11,8,118,14.75,0,72.7%,10.73,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,76,96%,0,0%,0,0%,False,False,23,41,Victor Cruz
2013,2013-09-22,3,3,26.315,NYG,CAR,True,8,3,25,8.33,0,37.5%,3.13,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,87%,0,0%,0,0%,True,False,0,38,Victor Cruz
2013,2013-09-29,4,4,26.322,NYG,KAN,True,16,10,164,16.40,1,62.5%,10.25,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,60,95%,0,0%,0,0%,True,False,7,31,Victor Cruz
2013,2013-10-06,5,5,26.329,NYG,PHI,False,12,5,48,9.60,0,41.7%,4.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,93%,0,0%,0,0%,False,False,21,36,Victor Cruz
2013,2013-10-10,6,6,26.333,NYG,CHI,True,5,4,68,17.00,0,80.0%,13.60,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,93%,0,0%,0,0%,True,False,21,27,Victor Cruz
2013,2013-10-21,7,7,26.344,NYG,MIN,True,7,5,50,10.00,0,71.4%,7.14,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,89%,0,0%,0,0%,False,True,23,7,Victor Cruz
2013,2013-10-27,8,8,26.350,NYG,PHI,False,10,7,86,12.29,0,70.0%,8.60,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,78%,0,0%,1,4%,True,True,15,7,Victor Cruz
2013,2013-11-10,9,10,26.364,NYG,OAK,True,10,3,37,12.33,0,30.0%,3.70,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,86%,0,0%,0,0%,False,True,24,20,Victor Cruz
2013,2013-11-17,10,11,27.006,NYG,GNB,True,11,8,110,13.75,0,72.7%,10.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,91%,0,0%,0,0%,False,True,27,13,Victor Cruz
2013,2013-11-24,11,12,27.013,NYG,DAL,True,4,2,27,13.50,0,50.0%,6.75,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,64,96%,0,0%,0,0%,False,False,21,24,Victor Cruz
2013,2013-12-01,12,13,27.020,NYG,WAS,True,7,6,80,13.33,0,85.7%,11.43,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,81%,0,0%,0,0%,True,True,24,17,Victor Cruz
2013,2013-12-08,13,14,27.027,NYG,SDG,True,6,5,42,8.40,0,83.3%,7.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,95%,0,0%,0,0%,True,False,14,37,Victor Cruz
2013,2013-12-15,14,15,27.034,NYG,SEA,True,7,2,25,12.50,0,28.6%,3.57,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,55%,0,0%,0,0%,False,False,0,23,Victor Cruz
