Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-11-08,9,9,28.120,HOU,IND,True,13,10,103,10.30,0,76.9%,7.92,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,17,20,Andre Johnson
2009,2009-11-23,10,11,28.135,HOU,TEN,True,11,4,78,19.50,1,36.4%,7.09,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,17,20,Andre Johnson
2009,2009-11-29,11,12,28.141,HOU,IND,True,9,5,67,13.40,0,55.6%,7.44,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,27,35,Andre Johnson
2009,2009-12-06,12,13,28.148,HOU,JAX,True,17,7,99,14.14,1,41.2%,5.82,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,18,23,Andre Johnson
2009,2009-12-13,13,14,28.155,HOU,SEA,True,15,11,193,17.55,2,73.3%,12.87,1,3,3.00,0,,2,12,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,34,7,Andre Johnson
2009,2009-12-20,14,15,28.162,HOU,STL,True,10,9,196,21.78,0,90.0%,19.60,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,16,13,Andre Johnson
2009,2009-12-27,15,16,28.169,HOU,MIA,True,7,5,71,14.20,1,71.4%,10.14,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,27,20,Andre Johnson
2009,2010-01-03,16,17,28.176,HOU,NWE,True,9,6,65,10.83,0,66.7%,7.22,1,7,7.00,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,False,True,34,27,Andre Johnson
2010,2010-09-12,1,1,29.063,HOU,IND,True,5,3,33,11.00,0,60.0%,6.60,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,34,24,Andre Johnson
2010,2010-09-19,2,2,29.070,HOU,WAS,True,17,12,158,13.17,1,70.6%,9.29,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,30,27,Andre Johnson
2010,2010-09-26,3,3,29.077,HOU,DAL,True,7,4,64,16.00,0,57.1%,9.14,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,13,27,Andre Johnson
2010,2010-10-03,4,4,,HOU,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,31,24,Andre Johnson
2010,2010-10-10,5,5,29.091,HOU,NYG,True,13,5,95,19.00,0,38.5%,7.31,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,10,34,Andre Johnson
2010,2010-10-17,6,6,29.098,HOU,KAN,True,13,8,138,17.25,1,61.5%,10.62,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,35,31,Andre Johnson
2010,2010-11-01,7,8,29.113,HOU,IND,True,10,7,106,15.14,1,70.0%,10.60,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,17,30,Andre Johnson
2010,2010-11-07,8,9,29.119,HOU,SDG,True,7,4,41,10.25,0,57.1%,5.86,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,23,29,Andre Johnson
2010,2010-11-14,9,10,29.126,HOU,JAX,True,11,9,146,16.22,1,81.8%,13.27,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,24,31,Andre Johnson
2010,2010-11-21,10,11,29.133,HOU,NYJ,True,9,4,32,8.00,0,44.4%,3.56,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,27,30,Andre Johnson
2010,2010-11-28,11,12,29.140,HOU,TEN,True,11,9,56,6.22,1,81.8%,5.09,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,20,0,Andre Johnson
2010,2010-12-02,12,13,29.144,HOU,PHI,True,9,6,149,24.83,0,66.7%,16.56,2,10,5.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,24,34,Andre Johnson
2010,2010-12-13,13,14,29.155,HOU,BAL,True,14,9,140,15.56,2,64.3%,10.00,0,0,,0,,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,28,34,Andre Johnson
2010,2010-12-19,14,15,29.161,HOU,TEN,True,12,6,58,9.67,1,50.0%,4.83,0,0,,0,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,True,False,17,31,Andre Johnson
2010,2010-12-26,15,16,,HOU,DEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,23,24,Andre Johnson
2010,2011-01-02,16,17,,HOU,JAX,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,34,17,Andre Johnson
2011,2011-09-11,1,1,30.062,HOU,IND,True,11,7,95,13.57,1,63.6%,8.64,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,34,7,Andre Johnson
