Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-09-10,1.0,1.0,22.242,TEN,OAK,L 16-26,False,10,6,69,11.50,0,60.0%,6.90,0,0,,0,0,0,0,0,0,0,0,0,42,66%,0,0%,0,0%,False,Corey Davis,False,16,26
2017.0,2017-09-17,2.0,2.0,22.249,TEN,JAX,W 37-16,True,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0,0,0,0,0,0,0,23,34%,0,0%,0,0%,True,Corey Davis,True,37,16
2017.0,2017-09-24,3.0,3.0,,TEN,SEA,W 33-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Corey Davis,True,33,27
2017.0,2017-10-01,4.0,4.0,,TEN,HOU,L 14-57,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Corey Davis,False,14,57
2017.0,2017-10-08,5.0,5.0,,TEN,MIA,L 10-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Corey Davis,False,10,16
2017.0,2017-10-16,6.0,6.0,,TEN,IND,W 36-22,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Corey Davis,True,36,22
2017.0,2017-10-22,7.0,7.0,,TEN,CLE,W 12-9,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Corey Davis,True,12,9
2017.0,2017-11-05,8.0,9.0,22.298,TEN,BAL,W 23-20,True,5,2,28,14.00,0,40.0%,5.60,0,0,,0,0,0,0,0,0,0,0,0,39,75%,0,0%,0,0%,False,Corey Davis,True,23,20
2017.0,2017-11-12,9.0,10.0,22.305,TEN,CIN,W 24-20,True,10,4,48,12.00,0,40.0%,4.80,0,0,,0,0,0,1,1,0,0,0,0,78,87%,2,4%,0,0%,False,Corey Davis,True,24,20
2017.0,2017-11-16,10.0,11.0,22.309,TEN,PIT,L 17-40,True,7,3,27,9.00,0,42.9%,3.86,0,0,,0,0,0,0,0,0,0,0,0,54,83%,0,0%,0,0%,True,Corey Davis,False,17,40
2017.0,2017-11-26,11.0,12.0,22.319,TEN,IND,W 20-16,True,4,4,39,9.75,0,100.0%,9.75,0,0,,0,0,0,0,0,0,0,0,0,42,72%,0,0%,0,0%,True,Corey Davis,True,20,16
2017.0,2017-12-03,12.0,13.0,22.326,TEN,HOU,W 24-13,True,4,2,12,6.00,0,50.0%,3.00,0,0,,0,0,0,0,0,0,0,0,0,43,80%,0,0%,0,0%,False,Corey Davis,True,24,13
