Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
1999,1999-12-19,14,15,,NOR,BAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,8,31,Ricky Williams
1999,1999-12-24,15,16,22.217,NOR,DAL,True,23,61,2.65,0,4,3,31,10.33,0,75.0%,7.75,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,0,0,0.0,,,,,,0,,0,0,0,0,False,True,31,24,Ricky Williams
1999,2000-01-02,16,17,22.226,NOR,CAR,True,14,7,0.50,0,7,5,5,1.00,0,71.4%,0.71,0,0,,0,0,0,,0,,,,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,13,45,Ricky Williams
2000,2000-09-03,1,1,23.105,NOR,DET,True,20,84,4.20,0,7,4,29,7.25,0,57.1%,4.14,0,0,,0,0,0,,0,,,,,0,0,0.0,0,0,0,0,,2,1,0,0,0,0,False,False,10,14,Ricky Williams
2000,2000-09-10,2,2,23.112,NOR,SDG,True,24,50,2.08,0,5,4,27,6.75,1,80.0%,5.40,0,0,,0,0,0,,0,,,,,1,6,0.0,0,0,0,0,,0,,0,0,0,0,True,True,28,27,Ricky Williams
2000,2000-09-17,3,3,23.119,NOR,SEA,True,23,107,4.65,0,5,5,35,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,,,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,10,20,Ricky Williams
2000,2000-09-24,4,4,23.126,NOR,PHI,True,20,103,5.15,0,7,7,52,7.43,0,100.0%,7.43,0,0,,0,0,0,,0,,,,,0,0,0.0,0,0,0,0,,2,2,0,0,0,0,False,False,7,21,Ricky Williams
2000,2000-10-08,5,6,23.140,NOR,CHI,True,30,128,4.27,1,4,4,57,14.25,0,100.0%,14.25,0,0,,0,0,0,,0,,,,,1,6,0.0,,,,,,0,,0,0,0,0,True,True,31,10,Ricky Williams
2000,2000-10-15,6,7,23.147,NOR,CAR,True,38,144,3.79,2,4,3,35,11.67,0,75.0%,8.75,1,1,100.00,34,0,0,118.7,0,0,34.00,34.00,,2,12,0.0,,,,,,0,,0,0,0,0,False,True,24,6,Ricky Williams
2000,2000-10-22,7,8,23.154,NOR,ATL,True,29,156,5.38,3,6,4,37,9.25,0,66.7%,6.17,0,0,,0,0,0,,0,,,,,3,18,0.0,,,,,,0,,0,0,0,0,True,True,21,19,Ricky Williams
