Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2009,2009-12-13,13,14,22.248,WAS,@,OAK,W 34-13,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Graham Gano
2009,2009-12-21,14,15,22.256,WAS,,NYG,L 12-45,False,,1,0.0,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Graham Gano
2009,2010-01-03,16,17,22.269,WAS,@,SDG,L 20-23,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Graham Gano
2010,2010-09-12,1,1,23.156,WAS,,DAL,W 13-7,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Graham Gano
2010,2010-09-19,2,2,23.163,WAS,,HOU,L 27-30,False,3,3,100.0,2,4,50.0,0,9,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Graham Gano
2010,2010-09-26,3,3,23.170,WAS,@,STL,L 16-30,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,,0,0,0,0,4,141,35.25,1,,,,,,,True,Graham Gano
2010,2010-10-03,4,4,23.177,WAS,@,PHI,W 17-12,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Graham Gano
2010,2010-10-10,5,5,23.184,WAS,,GNB,W 16-13,False,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Graham Gano
2010,2010-10-17,6,6,23.191,WAS,,IND,L 24-27,False,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Graham Gano
2010,2010-10-24,7,7,23.198,WAS,@,CHI,W 17-14,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Graham Gano
2010,2010-10-31,8,8,23.205,WAS,@,DET,L 25-37,False,1,1,100.0,2,2,100.0,0,7,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,Graham Gano
2010,2010-11-15,9,10,23.220,WAS,,PHI,L 28-59,False,4,4,100.0,,,,0,4,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Graham Gano
2010,2010-11-21,10,11,23.226,WAS,@,TEN,W 19-16,False,1,1,100.0,4,6,66.7,0,13,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Graham Gano
2010,2010-11-28,11,12,23.233,WAS,,MIN,L 13-17,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Graham Gano
2010,2010-12-05,12,13,23.240,WAS,@,NYG,L 7-31,False,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Graham Gano
2010,2010-12-12,13,14,23.247,WAS,,TAM,L 16-17,False,1,1,100.0,1,3,33.3,0,4,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Graham Gano
2010,2010-12-19,14,15,23.254,WAS,@,DAL,L 30-33,False,2,2,100.0,,,,0,2,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,Graham Gano
2010,2010-12-26,15,16,23.261,WAS,@,JAX,W 20-17,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Graham Gano
2010,2011-01-02,16,17,23.268,WAS,,NYG,L 14-17,False,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Graham Gano
2011,2011-09-11,1,1,24.155,WAS,,NYG,W 28-14,False,4,4,100.0,,1,0.0,0,4,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Graham Gano
