Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-12-09,13.0,14.0,23.148,KAN,BAL,W 27-24,False,3,3,100.0,2,4,50.0,0,9,0.0,0,1,1,0,0,0,0,,0,0,0%,0,0%,12,41%,False,Harrison Butker,True,27,24
2018.0,2018-12-13,14.0,15.0,23.152,KAN,LAC,L 28-29,False,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,39%,False,Harrison Butker,False,28,29
2018.0,2018-12-23,15.0,16.0,23.162,KAN,SEA,L 31-38,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,12,36%,True,Harrison Butker,False,31,38
2018.0,2018-12-30,16.0,17.0,23.169,KAN,OAK,W 35-3,False,5,5,100.0,,,,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,58%,False,Harrison Butker,True,35,3
2019.0,2019-09-08,1.0,1.0,24.056,KAN,JAX,W 40-26,False,4,4,100.0,4,4,100.0,0,16,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,17,57%,True,Harrison Butker,True,40,26
2019.0,2019-09-15,2.0,2.0,24.063,KAN,OAK,W 28-10,False,4,4,100.0,,,,0,4,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,36%,True,Harrison Butker,True,28,10
2019.0,2019-09-22,3.0,3.0,24.07,KAN,BAL,W 33-28,False,3,4,75.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,48%,False,Harrison Butker,True,33,28
2019.0,2019-09-29,4.0,4.0,24.077,KAN,DET,W 34-30,False,4,4,100.0,2,3,66.7,0,10,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,14,44%,True,Harrison Butker,True,34,30
2019.0,2019-10-06,5.0,5.0,24.084,KAN,IND,L 13-19,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,28%,False,Harrison Butker,False,13,19
2019.0,2019-10-13,6.0,6.0,24.091,KAN,HOU,L 24-31,False,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,43%,False,Harrison Butker,False,24,31
2019.0,2019-10-17,7.0,7.0,24.095,KAN,DEN,W 30-6,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,43%,True,Harrison Butker,True,30,6
2019.0,2019-10-27,8.0,8.0,24.105,KAN,GNB,L 24-31,False,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,37%,False,Harrison Butker,False,24,31
2019.0,2019-11-03,9.0,9.0,24.112,KAN,MIN,W 26-23,False,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,35%,False,Harrison Butker,True,26,23
