Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2002,2002-09-08,1,1,23.317,BAL,CAR,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,6,218,36.33,0,,,,,,,True,False,7,10,Dave Zastudil
2002,2002-09-15,2,2,23.324,BAL,TAM,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,7,285,40.71,0,,,,,,,False,False,0,25,Dave Zastudil
2002,2002-09-30,3,4,23.339,BAL,DEN,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,1,0,1,0,,0,,0,0,0,0,6,315,52.50,0,,,,,,,False,True,34,23,Dave Zastudil
2002,2002-10-06,4,5,23.345,BAL,CLE,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,5,197,39.40,0,,,,,,,True,True,26,21,Dave Zastudil
2002,2002-10-13,5,6,23.352,BAL,IND,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,6,236,39.33,0,,,,,,,True,False,20,22,Dave Zastudil
2002,2002-10-20,6,7,23.359,BAL,JAX,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,6,214,35.67,0,,,,,,,False,True,17,10,Dave Zastudil
2002,2002-10-27,7,8,24.001,BAL,PIT,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,3,152,50.67,0,,,,,,,False,False,18,31,Dave Zastudil
2002,2002-11-03,8,9,24.008,BAL,ATL,False,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0.0,,,,,,0,,0,0,0,0,5,206,41.20,0,,,,,,,True,False,17,20,Dave Zastudil
2002,2002-11-10,9,10,24.015,BAL,CIN,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,4,168,42.00,0,,,,,,,False,True,38,27,Dave Zastudil
2002,2002-11-17,10,11,24.022,BAL,MIA,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,0,0,0,0,,0,,0,0,0,0,9,411,45.67,0,,,,,,,True,False,7,26,Dave Zastudil
2002,2002-11-24,11,12,24.029,BAL,TEN,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,7,304,43.43,0,,,,,,,False,True,13,12,Dave Zastudil
2002,2002-12-01,12,13,24.036,BAL,CIN,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,4,140,35.00,0,,,,,,,True,True,27,23,Dave Zastudil
2002,2002-12-08,13,14,24.043,BAL,NOR,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,0,0,0,0,,0,,0,0,0,0,2,100,50.00,2,,,,,,,False,False,25,37,Dave Zastudil
2002,2002-12-15,14,15,24.050,BAL,HOU,False,1,-12,-12.00,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,4,170,42.50,0,,,,,,,True,True,23,19,Dave Zastudil
2002,2002-12-22,15,16,24.057,BAL,CLE,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,5,188,37.60,0,,,,,,,False,False,13,14,Dave Zastudil
2002,2002-12-29,16,17,24.064,BAL,PIT,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,2,64,32.00,0,,,,,,,True,False,31,34,Dave Zastudil
2003,2003-09-07,1,1,24.316,BAL,PIT,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,6,226,37.67,0,,,,,,,True,False,15,34,Dave Zastudil
2003,2003-09-14,2,2,24.323,BAL,CLE,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,4,162,40.50,0,,,,,,,False,True,33,13,Dave Zastudil
2003,2003-09-21,3,3,24.330,BAL,SDG,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,0,,0,,0,0,0,0,6,252,42.00,0,,,,,,,True,True,24,10,Dave Zastudil
2003,2003-09-28,4,4,24.337,BAL,KAN,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,5,204,40.80,0,,,,,,,False,False,10,17,Dave Zastudil
2003,2003-10-12,5,6,24.351,BAL,ARI,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,3,132,44.00,0,,,,,,,True,True,26,18,Dave Zastudil
2003,2003-10-19,6,7,24.358,BAL,CIN,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,5,199,39.80,0,,,,,,,True,False,26,34,Dave Zastudil
2003,2003-10-26,7,8,25.000,BAL,DEN,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,5,206,41.20,0,,,,,,,False,True,26,6,Dave Zastudil
2003,2003-11-02,8,9,25.007,BAL,JAX,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,5,234,46.80,0,,,,,,,False,True,24,17,Dave Zastudil
2003,2003-11-09,9,10,25.014,BAL,STL,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,6,244,40.67,0,,,,,,,True,False,22,33,Dave Zastudil
2003,2003-11-16,10,11,25.021,BAL,MIA,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,7,326,46.57,0,,,,,,,True,False,6,9,Dave Zastudil
2003,2003-11-23,11,12,25.028,BAL,SEA,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,8,337,42.13,0,,,,,,,False,True,44,41,Dave Zastudil
2003,2003-11-30,12,13,25.035,BAL,SFO,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,5,215,43.00,0,,,,,,,False,True,44,6,Dave Zastudil
2003,2003-12-07,13,14,25.042,BAL,CIN,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,5,163,32.60,0,,,,,,,False,True,31,13,Dave Zastudil
2003,2003-12-14,14,15,25.049,BAL,OAK,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,6,240,40.00,0,,,,,,,True,False,12,20,Dave Zastudil
2003,2003-12-21,15,16,25.056,BAL,CLE,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,6,234,39.00,0,,,,,,,True,True,35,0,Dave Zastudil
2003,2003-12-28,16,17,25.063,BAL,PIT,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,1,0,1,0,,0,,0,0,0,0,7,275,39.29,0,,,,,,,False,True,13,10,Dave Zastudil
