Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2006,2006-09-10,1,1,24.079,JAX,,DAL,W 24-17,False,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,,,,,,,False,Josh Scobee
2006,2006-09-18,2,2,24.087,JAX,,PIT,W 9-0,False,,,,3,3,100.0,0,9,0.0,,,,,,,,,,,,False,Josh Scobee
2006,2006-09-24,3,3,24.093,JAX,@,IND,L 14-21,False,2,2,100.0,,2,0.0,0,2,0.0,,,,,,,,,,,,True,Josh Scobee
2006,2006-10-01,4,4,24.100,JAX,@,WAS,L 30-36,False,3,3,100.0,3,3,100.0,0,12,0.0,0,1,1,0,0,,,,,,,True,Josh Scobee
2006,2006-10-08,5,5,24.107,JAX,,NYJ,W 41-0,False,5,5,100.0,2,2,100.0,0,11,0.0,,,,,,,,,,,,False,Josh Scobee
2006,2006-10-22,6,7,24.121,JAX,@,HOU,L 7-27,False,1,1,100.0,,,,0,1,0.0,,,,,,,,,,,,True,Josh Scobee
2006,2006-10-29,7,8,24.128,JAX,@,PHI,W 13-6,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,,,,,,,True,Josh Scobee
2006,2006-11-05,8,9,24.135,JAX,,TEN,W 37-7,False,4,4,100.0,3,3,100.0,0,13,0.0,,,,,,,,,,,,False,Josh Scobee
2006,2006-11-12,9,10,24.142,JAX,,HOU,L 10-13,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,,,,,,,False,Josh Scobee
2006,2006-11-20,10,11,24.150,JAX,,NYG,W 26-10,False,2,2,100.0,4,4,100.0,0,14,0.0,,,,,,,,,,,,False,Josh Scobee
2006,2006-11-26,11,12,24.156,JAX,@,BUF,L 24-27,False,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,,,,,,,True,Josh Scobee
2006,2006-12-03,12,13,24.163,JAX,@,MIA,W 24-10,False,3,3,100.0,1,1,100.0,0,6,0.0,1,0,1,0,0,,,,,,,True,Josh Scobee
2006,2006-12-10,13,14,24.170,JAX,,IND,W 44-17,False,5,5,100.0,3,4,75.0,0,14,0.0,,,,,,,,,,,,False,Josh Scobee
2006,2006-12-17,14,15,24.177,JAX,@,TEN,L 17-24,False,2,2,100.0,1,1,100.0,0,5,0.0,1,1,2,0,0,,,,,,,True,Josh Scobee
2006,2006-12-24,15,16,24.184,JAX,,NWE,L 21-24,False,3,3,100.0,,1,0.0,0,3,0.0,,,,,,,,,,,,False,Josh Scobee
2006,2006-12-31,16,17,24.191,JAX,@,KAN,L 30-35,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,,,,,,,True,Josh Scobee
2007,2007-09-09,1,1,25.078,JAX,,TEN,L 10-13,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,,,,,,,False,Josh Scobee
2007,2007-09-16,2,2,,JAX,,ATL,W 13-7,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Josh Scobee
2007,2007-09-23,3,3,,JAX,@,DEN,W 23-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Josh Scobee
2007,2007-10-07,4,5,,JAX,@,KAN,W 17-7,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Josh Scobee
2007,2007-10-14,5,6,,JAX,,HOU,W 37-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Josh Scobee
2007,2007-10-22,6,7,,JAX,,IND,L 7-29,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Josh Scobee
2007,2007-10-28,7,8,,JAX,@,TAM,W 24-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Josh Scobee
2007,2007-11-04,8,9,,JAX,@,NOR,L 24-41,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Josh Scobee
2007,2007-11-11,9,10,,JAX,@,TEN,W 28-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Josh Scobee
2007,2007-11-18,10,11,25.148,JAX,,SDG,W 24-17,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,,,,,,,False,Josh Scobee
