Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-09-07,1.0,1.0,21.242,CLE,PIT,L 27-30,False,5,32,6.40,2,0,0,0,,0,0.0%,,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,14,21%,0,0%,6,17%,True,Isaiah Crowell,False,27,30
2014.0,2014-09-14,2.0,2.0,21.249,CLE,NOR,W 26-24,False,11,54,4.91,0,1,1,3,3.00,0,100.0%,3.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,37%,0,0%,0,0%,False,Isaiah Crowell,True,26,24
2014.0,2014-09-21,3.0,3.0,21.256,CLE,BAL,L 21-23,False,11,55,5.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,28,47%,0,0%,0,0%,False,Isaiah Crowell,False,21,23
2014.0,2014-10-05,4.0,5.0,21.27,CLE,TEN,W 29-28,False,6,19,3.17,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,19%,0,0%,0,0%,True,Isaiah Crowell,True,29,28
2014.0,2014-10-12,5.0,6.0,21.277,CLE,PIT,W 31-10,False,11,77,7.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,2,1,0,2,0,0,17,29%,0,0%,0,0%,False,Isaiah Crowell,True,31,10
2014.0,2014-10-19,6.0,7.0,21.284,CLE,JAX,L 6-24,False,7,18,2.57,0,2,1,5,5.00,0,50.0%,2.50,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,31%,0,0%,0,0%,True,Isaiah Crowell,False,6,24
2014.0,2014-10-26,7.0,8.0,21.291,CLE,OAK,W 23-13,False,1,1,1.00,0,1,1,8,8.00,0,100.0%,8.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,5%,0,0%,0,0%,False,Isaiah Crowell,True,23,13
2014.0,2014-11-02,8.0,9.0,21.298,CLE,TAM,W 22-17,False,,,,,,,,,,0.0%,,,0,0,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,3,11%,False,Isaiah Crowell,True,22,17
2014.0,2014-11-06,9.0,10.0,21.302,CLE,CIN,W 24-3,False,12,41,3.42,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,15,20%,0,0%,2,7%,True,Isaiah Crowell,True,24,3
2014.0,2014-11-16,10.0,11.0,21.312,CLE,HOU,L 7-23,True,14,61,4.36,0,4,2,30,15.00,0,50.0%,7.50,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,51,66%,0,0%,1,3%,False,Isaiah Crowell,False,7,23
2014.0,2014-11-23,11.0,12.0,21.319,CLE,ATL,W 26-24,True,12,88,7.33,2,0,0,0,,0,0.0%,,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,45,60%,0,0%,0,0%,True,Isaiah Crowell,True,26,24
2014.0,2014-11-30,12.0,13.0,21.326,CLE,BUF,L 10-26,True,17,29,1.71,0,2,1,15,15.00,0,50.0%,7.50,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,65%,0,0%,0,0%,True,Isaiah Crowell,False,10,26
2014.0,2014-12-07,13.0,14.0,21.333,CLE,IND,L 24-25,False,14,54,3.86,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,30,46%,0,0%,0,0%,False,Isaiah Crowell,False,24,25
