Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-11-02,9.0,9.0,22.149,HOU,PHI,L 21-31,True,11,6,115,19.17,1,54.5%,10.45,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,1,0,0,56,93%,0,0%,0,0%,False,DeAndre Hopkins,False,21,31
2014.0,2014-11-16,10.0,11.0,22.163,HOU,CLE,W 23-7,True,8,4,80,20.00,0,50.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,82,95%,0,0%,0,0%,True,DeAndre Hopkins,True,23,7
2014.0,2014-11-23,11.0,12.0,22.17,HOU,CIN,L 13-22,True,9,5,39,7.80,0,55.6%,4.33,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,False,DeAndre Hopkins,False,13,22
2014.0,2014-11-30,12.0,13.0,22.177,HOU,TEN,W 45-21,True,9,9,238,26.44,2,100.0%,26.44,0,0,,0,0,0,,0,0,0,,0,0,,,,2,12,0,0,0,0,0,0,0,0,0,0,64,90%,0,0%,0,0%,False,DeAndre Hopkins,True,45,21
2014.0,2014-12-07,13.0,14.0,22.184,HOU,JAX,W 27-13,True,6,4,49,12.25,0,66.7%,8.17,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,1,0,0,61,92%,0,0%,0,0%,True,DeAndre Hopkins,True,27,13
2014.0,2014-12-14,14.0,15.0,22.191,HOU,IND,L 10-17,True,13,5,77,15.40,0,38.5%,5.92,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,True,DeAndre Hopkins,False,10,17
2014.0,2014-12-21,15.0,16.0,22.198,HOU,BAL,W 25-13,True,12,5,38,7.60,0,41.7%,3.17,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,1,0,0,0,0,0,84,100%,0,0%,0,0%,False,DeAndre Hopkins,True,25,13
2014.0,2014-12-28,16.0,17.0,22.205,HOU,JAX,W 23-17,True,6,2,5,2.50,0,33.3%,0.83,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,74,91%,0,0%,0,0%,False,DeAndre Hopkins,True,23,17
2015.0,2015-09-13,1.0,1.0,23.099,HOU,KAN,L 20-27,True,13,9,98,10.89,2,69.2%,7.54,0,0,,0,0,0,,0,0,0,,0,0,,,1,2,14,0,0,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,False,DeAndre Hopkins,False,20,27
2015.0,2015-09-20,2.0,2.0,23.106,HOU,CAR,L 17-24,True,11,5,53,10.60,0,45.5%,4.82,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,87,99%,0,0%,0,0%,True,DeAndre Hopkins,False,17,24
2015.0,2015-09-27,3.0,3.0,23.113,HOU,TAM,W 19-9,True,14,8,101,12.63,1,57.1%,7.21,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,0,0,0,86,96%,0,0%,0,0%,False,DeAndre Hopkins,True,19,9
2015.0,2015-10-04,4.0,4.0,23.12,HOU,ATL,L 21-48,True,22,9,157,17.44,0,40.9%,7.14,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,74,96%,0,0%,0,0%,True,DeAndre Hopkins,False,21,48
2015.0,2015-10-08,5.0,5.0,23.124,HOU,IND,L 20-27,True,14,11,169,15.36,0,78.6%,12.07,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%,False,DeAndre Hopkins,False,20,27
2015.0,2015-10-18,6.0,6.0,23.134,HOU,JAX,W 31-20,True,15,10,148,14.80,2,66.7%,9.87,0,0,,0,0,0,,0,0,0,,0,0,,,,2,12,0,0,0,0,0,0,0,0,0,0,70,97%,0,0%,2,7%,True,DeAndre Hopkins,True,31,20
2015.0,2015-10-25,7.0,7.0,23.141,HOU,MIA,L 26-44,True,12,6,50,8.33,0,50.0%,4.17,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,1,0,0,0,0,0,81,100%,0,0%,0,0%,True,DeAndre Hopkins,False,26,44
