Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-09-07,1,1,22.053,PHI,,JAX,W 34-17,False,4,2,37,18.50,0,50.0%,9.25,0,0,0,0,0,0,0,0,57,66%,0,0%,0,0%,False,Jordan Matthews
2014,2014-09-15,2,2,22.061,PHI,@,IND,W 30-27,True,4,1,17,17.00,0,25.0%,4.25,0,0,0,0,0,0,0,0,34,50%,0,0%,0,0%,True,Jordan Matthews
2014,2014-09-21,3,3,22.067,PHI,,WAS,W 37-34,False,9,8,59,7.38,2,88.9%,6.56,2,12,0,0,0,0,0,0,46,63%,0,0%,1,3%,False,Jordan Matthews
2014,2014-09-28,4,4,22.074,PHI,@,SFO,L 21-26,True,7,4,28,7.00,0,57.1%,4.00,0,0,0,0,0,0,0,0,39,65%,0,0%,0,0%,True,Jordan Matthews
2014,2014-10-05,5,5,22.081,PHI,,STL,W 34-28,True,7,4,35,8.75,0,57.1%,5.00,0,0,0,0,0,0,0,0,33,45%,0,0%,3,10%,False,Jordan Matthews
2014,2014-10-12,6,6,22.088,PHI,,NYG,W 27-0,True,6,4,50,12.50,0,66.7%,8.33,0,0,0,0,0,0,0,0,45,62%,0,0%,0,0%,False,Jordan Matthews
2014,2014-10-26,7,8,22.102,PHI,@,ARI,L 20-24,False,11,6,47,7.83,0,54.5%,4.27,0,0,0,0,0,0,0,0,64,70%,0,0%,0,0%,True,Jordan Matthews
2014,2014-11-02,8,9,22.109,PHI,@,HOU,W 31-21,True,4,3,40,13.33,1,75.0%,10.00,1,6,0,0,0,0,0,0,55,66%,0,0%,0,0%,True,Jordan Matthews
2014,2014-11-10,9,10,22.117,PHI,,CAR,W 45-21,False,9,7,138,19.71,2,77.8%,15.33,2,12,0,0,0,0,0,0,38,61%,0,0%,0,0%,False,Jordan Matthews
2014,2014-11-16,10,11,22.123,PHI,@,GNB,L 20-53,True,8,5,107,21.40,1,62.5%,13.38,1,6,0,0,0,0,0,0,66,85%,0,0%,0,0%,True,Jordan Matthews
2014,2014-11-23,11,12,22.130,PHI,,TEN,W 43-24,True,8,6,77,12.83,0,75.0%,9.63,0,0,0,0,0,0,0,0,61,69%,0,0%,1,3%,False,Jordan Matthews
2014,2014-11-27,12,13,22.134,PHI,@,DAL,W 33-10,True,5,4,51,12.75,1,80.0%,10.20,1,6,0,0,0,0,0,0,52,68%,0,0%,0,0%,True,Jordan Matthews
2014,2014-12-07,13,14,22.144,PHI,,SEA,L 14-24,True,5,2,23,11.50,0,40.0%,4.60,0,0,0,0,0,0,0,0,34,74%,0,0%,0,0%,False,Jordan Matthews
2014,2014-12-14,14,15,22.151,PHI,,DAL,L 27-38,True,1,0,0,,0,0.0%,0.00,0,0,0,0,0,0,0,0,46,84%,0,0%,0,0%,False,Jordan Matthews
2014,2014-12-20,15,16,22.157,PHI,@,WAS,L 24-27,False,5,3,58,19.33,0,60.0%,11.60,0,0,0,0,0,0,0,0,47,52%,0,0%,0,0%,True,Jordan Matthews
2014,2014-12-28,16,17,22.165,PHI,@,NYG,W 34-26,False,10,8,105,13.13,1,80.0%,10.50,1,6,0,0,0,0,0,0,48,66%,0,0%,0,0%,True,Jordan Matthews
2015,2015-09-14,1,1,23.060,PHI,@,ATL,L 24-26,True,13,10,102,10.20,0,76.9%,7.85,0,0,0,0,0,0,0,0,62,85%,0,0%,0,0%,True,Jordan Matthews
2015,2015-09-20,2,2,23.066,PHI,,DAL,L 10-20,True,9,6,80,13.33,1,66.7%,8.89,1,6,0,0,0,0,0,0,50,81%,0,0%,0,0%,False,Jordan Matthews
2015,2015-09-27,3,3,23.073,PHI,@,NYJ,W 24-17,True,8,6,49,8.17,0,75.0%,6.13,0,0,0,0,0,0,0,0,60,86%,0,0%,0,0%,True,Jordan Matthews
2015,2015-10-04,4,4,23.080,PHI,@,WAS,L 20-23,False,8,3,50,16.67,0,37.5%,6.25,0,0,0,0,0,0,0,0,49,88%,0,0%,0,0%,True,Jordan Matthews
2015,2015-10-11,5,5,23.087,PHI,,NOR,W 39-17,True,7,5,44,8.80,0,71.4%,6.29,0,0,0,0,0,0,0,0,59,70%,0,0%,0,0%,False,Jordan Matthews
2015,2015-10-19,6,6,23.095,PHI,,NYG,W 27-7,False,11,6,59,9.83,0,54.5%,5.36,0,0,1,1,0,0,0,0,63,80%,0,0%,0,0%,False,Jordan Matthews
2015,2015-10-25,7,7,23.101,PHI,@,CAR,L 16-27,True,7,3,14,4.67,0,42.9%,2.00,0,0,0,0,0,0,0,0,58,70%,0,0%,0,0%,True,Jordan Matthews
2015,2015-11-08,8,9,23.115,PHI,@,DAL,W 33-27,False,12,9,133,14.78,1,75.0%,11.08,1,6,0,0,0,0,0,0,61,82%,0,0%,0,0%,True,Jordan Matthews
2015,2015-11-15,9,10,23.122,PHI,,MIA,L 19-20,True,5,3,21,7.00,0,60.0%,4.20,0,0,0,0,0,0,0,0,57,59%,0,0%,1,3%,False,Jordan Matthews
2015,2015-11-22,10,11,23.129,PHI,,TAM,L 17-45,True,4,4,13,3.25,0,100.0%,3.25,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,False,Jordan Matthews
2015,2015-11-26,11,12,23.133,PHI,@,DET,L 14-45,True,5,3,60,20.00,1,60.0%,12.00,1,6,0,0,0,0,0,0,46,78%,0,0%,0,0%,True,Jordan Matthews
