Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2009.0,2009-10-25,6.0,7.0,22.218,CAR,BUF,L 9-20,False,7,25,3.57,0,5,4,20,5.00,0,80.0%,4.00,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Jonathan Stewart,False,9,20
2009.0,2009-11-01,7.0,8.0,22.225,CAR,ARI,W 34-21,False,17,87,5.12,2,0,0,0,,0,0.0%,,0,0,,0,2,12,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,True,34,21
2009.0,2009-11-08,8.0,9.0,22.232,CAR,NOR,L 20-30,False,13,24,1.85,0,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,1,1,0,0,0,0,,,,,,,True,Jonathan Stewart,False,20,30
2009.0,2009-11-15,9.0,10.0,22.239,CAR,ATL,W 28-19,False,11,82,7.45,2,2,0,0,,0,0.0%,0.00,0,0,,0,2,12,0,,0,0,0,0,,,,,,,False,Jonathan Stewart,True,28,19
2009.0,2009-11-19,10.0,11.0,22.243,CAR,MIA,L 17-24,False,12,43,3.58,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Jonathan Stewart,False,17,24
2009.0,2009-11-29,11.0,12.0,22.253,CAR,NYJ,L 6-17,False,9,35,3.89,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,False,6,17
2009.0,2009-12-06,12.0,13.0,22.26,CAR,TAM,W 16-6,True,26,120,4.62,1,1,1,6,6.00,0,100.0%,6.00,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,Jonathan Stewart,True,16,6
2009.0,2009-12-13,13.0,14.0,22.267,CAR,NWE,L 10-20,False,7,29,4.14,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,False,10,20
2009.0,2009-12-20,14.0,15.0,22.274,CAR,MIN,W 26-7,False,25,109,4.36,1,3,2,14,7.00,1,66.7%,4.67,0,0,,0,2,12,0,,0,0,0,0,,,,,,,False,Jonathan Stewart,True,26,7
2009.0,2009-12-27,15.0,16.0,22.281,CAR,NYG,W 41-9,True,28,206,7.36,1,2,2,16,8.00,0,100.0%,8.00,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,True,41,9
