Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2013.0,2013-12-29,16.0,17.0,31.237,DAL,PHI,L 22-24,True,16,12,135,11.25,0,75.0%,8.44,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,98%,0,0%,4,15%,False,Jason Witten,False,22,24
2014.0,2014-09-07,1.0,1.0,32.124,DAL,SFO,L 17-28,True,6,2,14,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,69,100%,0,0%,3,12%,False,Jason Witten,False,17,28
2014.0,2014-09-14,2.0,2.0,32.131,DAL,TEN,W 26-10,True,7,4,32,8.00,0,57.1%,4.57,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,81,100%,0,0%,6,22%,True,Jason Witten,True,26,10
2014.0,2014-09-21,3.0,3.0,32.138,DAL,STL,W 34-31,True,5,4,49,12.25,0,80.0%,9.80,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,100%,0,0%,7,26%,True,Jason Witten,True,34,31
2014.0,2014-09-28,4.0,4.0,32.145,DAL,NOR,W 38-17,True,5,5,61,12.20,0,100.0%,12.20,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,100%,0,0%,8,29%,False,Jason Witten,True,38,17
2014.0,2014-10-05,5.0,5.0,32.152,DAL,HOU,W 20-17,True,5,4,59,14.75,0,80.0%,11.80,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,76,100%,0,0%,6,21%,False,Jason Witten,True,20,17
2014.0,2014-10-12,6.0,6.0,32.159,DAL,SEA,W 30-23,True,5,2,24,12.00,1,40.0%,4.80,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,75,100%,0,0%,6,19%,True,Jason Witten,True,30,23
2014.0,2014-10-19,7.0,7.0,32.166,DAL,NYG,W 31-21,True,2,2,27,13.50,0,100.0%,13.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,100%,0,0%,5,19%,False,Jason Witten,True,31,21
2014.0,2014-10-27,8.0,8.0,32.174,DAL,WAS,L 17-20,True,8,5,70,14.00,1,62.5%,8.75,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,65,100%,0,0%,3,12%,False,Jason Witten,False,17,20
2014.0,2014-11-02,9.0,9.0,32.18,DAL,ARI,L 17-28,True,7,6,62,10.33,0,85.7%,8.86,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,64,100%,0,0%,4,15%,False,Jason Witten,False,17,28
2014.0,2014-11-09,10.0,10.0,32.187,DAL,JAX,W 31-17,True,7,5,33,6.60,1,71.4%,4.71,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,95%,0,0%,7,24%,True,Jason Witten,True,31,17
2014.0,2014-11-23,11.0,12.0,32.201,DAL,NYG,W 31-28,True,6,4,30,7.50,1,66.7%,5.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,54,100%,0,0%,5,18%,True,Jason Witten,True,31,28
2014.0,2014-11-27,12.0,13.0,32.205,DAL,PHI,L 10-33,True,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,100%,0,0%,2,7%,False,Jason Witten,False,10,33
2014.0,2014-12-04,13.0,14.0,32.212,DAL,CHI,W 41-28,True,3,2,26,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,100%,0,0%,9,31%,True,Jason Witten,True,41,28
2014.0,2014-12-14,14.0,15.0,32.222,DAL,PHI,W 38-27,True,9,7,69,9.86,0,77.8%,7.67,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,82,100%,0,0%,6,19%,True,Jason Witten,True,38,27
2014.0,2014-12-21,15.0,16.0,32.229,DAL,IND,W 42-7,True,7,7,90,12.86,1,100.0%,12.86,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,56,89%,0,0%,4,16%,False,Jason Witten,True,42,7
2014.0,2014-12-28,16.0,17.0,32.236,DAL,WAS,W 44-17,True,6,4,49,12.25,0,66.7%,8.17,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,98%,0,0%,7,22%,True,Jason Witten,True,44,17
2015.0,2015-09-13,1.0,1.0,33.13,DAL,NYG,W 27-26,True,9,8,60,7.50,2,88.9%,6.67,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,70,100%,0,0%,5,17%,False,Jason Witten,True,27,26
2015.0,2015-09-20,2.0,2.0,33.137,DAL,PHI,W 20-10,True,8,7,56,8.00,0,87.5%,7.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,82,96%,0,0%,5,19%,True,Jason Witten,True,20,10
2015.0,2015-09-27,3.0,3.0,33.144,DAL,ATL,L 28-39,True,8,6,65,10.83,0,75.0%,8.13,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,100%,0,0%,4,14%,False,Jason Witten,False,28,39
2015.0,2015-10-04,4.0,4.0,33.151,DAL,NOR,L 20-26,True,6,4,57,14.25,0,66.7%,9.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,100%,0,0%,4,13%,True,Jason Witten,False,20,26
2015.0,2015-10-11,5.0,5.0,33.158,DAL,NWE,L 6-30,True,6,5,33,6.60,0,83.3%,5.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,72,100%,0,0%,2,7%,False,Jason Witten,False,6,30
2015.0,2015-10-25,6.0,7.0,33.172,DAL,NYG,L 20-27,True,8,6,73,12.17,0,75.0%,9.13,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,72,99%,0,0%,4,15%,True,Jason Witten,False,20,27
2015.0,2015-11-01,7.0,8.0,33.179,DAL,SEA,L 12-13,True,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,95%,0,0%,4,16%,False,Jason Witten,False,12,13
2015.0,2015-11-08,8.0,9.0,33.186,DAL,PHI,L 27-33,True,8,6,43,7.17,0,75.0%,5.38,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,78,100%,0,0%,5,15%,False,Jason Witten,False,27,33
2015.0,2015-11-15,9.0,10.0,33.193,DAL,TAM,L 6-10,True,5,5,42,8.40,0,100.0%,8.40,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,100%,0,0%,3,14%,True,Jason Witten,False,6,10
2015.0,2015-11-22,10.0,11.0,33.2,DAL,MIA,W 24-14,True,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,71,100%,0,0%,4,17%,True,Jason Witten,True,24,14
2015.0,2015-11-26,11.0,12.0,33.204,DAL,CAR,L 14-33,True,6,4,36,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,100%,0,0%,2,7%,False,Jason Witten,False,14,33
2015.0,2015-12-07,12.0,13.0,33.215,DAL,WAS,W 19-16,True,9,5,46,9.20,0,55.6%,5.11,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,98%,0,0%,6,19%,True,Jason Witten,True,19,16
2015.0,2015-12-13,13.0,14.0,33.221,DAL,GNB,L 7-28,True,9,5,40,8.00,0,55.6%,4.44,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,100%,0,0%,1,4%,True,Jason Witten,False,7,28
2015.0,2015-12-19,14.0,15.0,33.227,DAL,NYJ,L 16-19,True,5,5,49,9.80,0,100.0%,9.80,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,100%,0,0%,4,14%,False,Jason Witten,False,16,19
2015.0,2015-12-27,15.0,16.0,33.235,DAL,BUF,L 6-16,True,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,100%,0,0%,3,14%,True,Jason Witten,False,6,16
2015.0,2016-01-03,16.0,17.0,33.242,DAL,WAS,L 23-34,True,8,6,58,9.67,1,75.0%,7.25,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,67,99%,0,0%,3,10%,False,Jason Witten,False,23,34
2016.0,2016-09-11,1.0,1.0,34.128,DAL,NYG,L 19-20,True,14,9,66,7.33,0,64.3%,4.71,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,78,100%,0,0%,6,22%,False,Jason Witten,False,19,20
