Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-10-29,8.0,8.0,25.185,NYJ,ATL,L 20-25,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,5,262,52.40,0,0,0%,0,0%,11,34%,False,Lac Edwards,False,20,25
2017.0,2017-11-02,9.0,9.0,25.189,NYJ,BUF,W 34-21,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,5,208,41.60,0,0,0%,0,0%,11,34%,False,Lac Edwards,True,34,21
2017.0,2017-11-12,10.0,10.0,25.199,NYJ,TAM,L 10-15,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,7,354,50.57,0,0,0%,0,0%,9,36%,True,Lac Edwards,False,10,15
2017.0,2017-11-26,11.0,12.0,25.213,NYJ,CAR,L 27-35,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,7,318,45.43,0,0,0%,0,0%,13,35%,False,Lac Edwards,False,27,35
2017.0,2017-12-03,12.0,13.0,25.22,NYJ,KAN,W 38-31,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,2,73,36.50,0,0,0%,0,0%,9,29%,False,Lac Edwards,True,38,31
2017.0,2017-12-10,13.0,14.0,25.227,NYJ,DEN,L 0-23,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,8,365,45.63,0,0,0%,0,0%,8,31%,True,Lac Edwards,False,0,23
2017.0,2017-12-17,14.0,15.0,25.234,NYJ,NOR,L 19-31,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,7,316,45.14,0,0,0%,0,0%,10,33%,True,Lac Edwards,False,19,31
2017.0,2017-12-24,15.0,16.0,25.241,NYJ,LAC,L 7-14,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,9,421,46.78,0,0,0%,0,0%,10,36%,False,Lac Edwards,False,7,14
2017.0,2017-12-31,16.0,17.0,25.248,NYJ,NWE,L 6-26,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,7,324,46.29,0,0,0%,0,0%,11,35%,True,Lac Edwards,False,6,26
2018.0,2018-09-10,1.0,1.0,26.136,NYJ,DET,W 48-17,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,3,112,37.33,0,0,0%,0,0%,11,34%,True,Lac Edwards,True,48,17
