Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-09-09,1.0,1.0,22.334,DEN,SEA,W 27-24,False,5,2,45,22.50,0,40.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,59%,0,0%,12,35%,False,Courtland Sutton,True,27,24
2018.0,2018-09-16,2.0,2.0,22.341,DEN,OAK,W 20-19,False,6,1,9,9.00,0,16.7%,1.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,82%,0,0%,7,27%,False,Courtland Sutton,True,20,19
2018.0,2018-09-23,3.0,3.0,22.348,DEN,BAL,L 14-27,False,3,2,37,18.50,0,66.7%,12.33,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,53,78%,0,0%,2,7%,True,Courtland Sutton,False,14,27
2018.0,2018-10-01,4.0,4.0,22.356,DEN,KAN,L 23-27,False,6,3,51,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,70%,0,0%,1,4%,False,Courtland Sutton,False,23,27
2018.0,2018-10-07,5.0,5.0,22.362,DEN,NYJ,L 16-34,True,6,2,18,9.00,1,33.3%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,59,77%,0,0%,3,9%,True,Courtland Sutton,False,16,34
2018.0,2018-10-14,6.0,6.0,23.004,DEN,LAR,L 20-23,False,4,3,58,19.33,0,75.0%,14.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,53%,0,0%,1,4%,False,Courtland Sutton,False,20,23
2018.0,2018-10-18,7.0,7.0,23.008,DEN,ARI,W 45-10,False,3,1,28,28.00,1,33.3%,9.33,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,40,68%,0,0%,1,3%,True,Courtland Sutton,True,45,10
2018.0,2018-10-28,8.0,8.0,23.018,DEN,KAN,L 23-30,False,4,3,78,26.00,0,75.0%,19.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,67%,0,0%,0,0%,True,Courtland Sutton,False,23,30
2018.0,2018-11-04,9.0,9.0,23.025,DEN,HOU,L 17-19,True,5,3,57,19.00,0,60.0%,11.40,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,85%,0,0%,0,0%,False,Courtland Sutton,False,17,19
2018.0,2018-11-18,10.0,11.0,23.039,DEN,LAC,W 23-22,True,6,3,78,26.00,0,50.0%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,89%,0,0%,0,0%,True,Courtland Sutton,True,23,22
2018.0,2018-11-25,11.0,12.0,23.046,DEN,PIT,W 24-17,True,4,1,14,14.00,0,25.0%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,74%,0,0%,0,0%,False,Courtland Sutton,True,24,17
2018.0,2018-12-02,12.0,13.0,23.053,DEN,CIN,W 24-10,True,7,4,85,21.25,1,57.1%,12.14,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,41,69%,0,0%,0,0%,True,Courtland Sutton,True,24,10
2018.0,2018-12-09,13.0,14.0,23.06,DEN,SFO,L 14-20,True,6,2,14,7.00,0,33.3%,2.33,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,69%,0,0%,0,0%,True,Courtland Sutton,False,14,20
2018.0,2018-12-15,14.0,15.0,23.066,DEN,CLE,L 16-17,True,6,5,42,8.40,0,83.3%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,86%,0,0%,0,0%,False,Courtland Sutton,False,16,17
2018.0,2018-12-24,15.0,16.0,23.075,DEN,OAK,L 14-27,True,10,6,65,10.83,1,60.0%,6.50,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,66,99%,0,0%,0,0%,True,Courtland Sutton,False,14,27
