Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-10-01,4.0,4.0,24.221,OAK,DEN,L 10-16,False,1,4,4.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,11%,0,0%,7,25%,True,DeAndre Washington,False,10,16
2017.0,2017-10-08,5.0,5.0,,OAK,BAL,L 17-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,DeAndre Washington,False,17,30
2017.0,2017-10-15,6.0,6.0,24.235,OAK,LAC,L 16-17,False,3,-8,-2.67,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,9%,0,0%,8,36%,False,DeAndre Washington,False,16,17
2017.0,2017-10-19,7.0,7.0,24.239,OAK,KAN,W 31-30,False,9,33,3.67,1,4,3,7,2.33,0,75.0%,1.75,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,25,30%,0,0%,4,12%,False,DeAndre Washington,True,31,30
2017.0,2017-10-29,8.0,8.0,24.249,OAK,BUF,L 14-34,False,6,26,4.33,0,10,8,62,7.75,1,80.0%,6.20,0,0,,0,1,6,0.0,0,0,0,,,1,1,0,0,0,0,32,49%,0,0%,9,33%,True,DeAndre Washington,False,14,34
2017.0,2017-11-05,9.0,9.0,24.256,OAK,MIA,W 27-24,False,4,16,4.00,0,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,14%,0,0%,8,31%,True,DeAndre Washington,True,27,24
2017.0,2017-11-19,10.0,11.0,24.27,OAK,NWE,L 8-33,False,3,7,2.33,0,3,2,12,6.00,0,66.7%,4.00,1,16,16.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,32%,0,0%,11,50%,False,DeAndre Washington,False,8,33
2017.0,2017-11-26,11.0,12.0,24.277,OAK,DEN,W 21-14,False,6,23,3.83,0,3,3,23,7.67,0,100.0%,7.67,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,21%,0,0%,9,33%,False,DeAndre Washington,True,21,14
2017.0,2017-12-03,12.0,13.0,24.284,OAK,NYG,W 24-17,False,6,16,2.67,1,0,0,0,,0,0.0%,,2,29,14.50,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,14,22%,0,0%,9,32%,False,DeAndre Washington,True,24,17
2017.0,2017-12-10,13.0,14.0,24.291,OAK,KAN,L 15-26,False,4,9,2.25,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,14,23%,0,0%,14,52%,True,DeAndre Washington,False,15,26
2017.0,2017-12-17,14.0,15.0,24.298,OAK,DAL,L 17-20,False,2,3,1.50,0,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,14%,0,0%,9,38%,False,DeAndre Washington,False,17,20
2017.0,2017-12-25,15.0,16.0,24.306,OAK,PHI,L 10-19,False,1,-3,-3.00,0,3,1,2,2.00,0,33.3%,0.67,2,41,20.50,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,16,24%,0,0%,9,33%,True,DeAndre Washington,False,10,19
2017.0,2017-12-31,16.0,17.0,24.312,OAK,LAC,L 10-30,False,2,3,1.50,0,3,2,0,0.00,0,66.7%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,13%,0,0%,9,41%,True,DeAndre Washington,False,10,30
2018.0,2018-09-10,1.0,1.0,,OAK,LAR,L 13-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,DeAndre Washington,False,13,33
2018.0,2018-09-16,2.0,2.0,,OAK,DEN,L 19-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,DeAndre Washington,False,19,20
2018.0,2018-09-23,3.0,3.0,,OAK,MIA,L 20-28,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,DeAndre Washington,False,20,28
2018.0,2018-09-30,4.0,4.0,,OAK,CLE,W 45-42,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,DeAndre Washington,True,45,42
2018.0,2018-10-07,5.0,5.0,,OAK,LAC,L 10-26,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,DeAndre Washington,False,10,26
2018.0,2018-10-14,6.0,6.0,,OAK,SEA,L 3-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,DeAndre Washington,False,3,27
