Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-09-10,1.0,1.0,22.128,PIT,CLE,W 21-18,False,4,11,2.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,13%,0,0%,3,12%,True,James Conner,True,21,18
2017.0,2017-09-17,2.0,2.0,22.135,PIT,MIN,W 26-9,False,1,9,9.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,5%,0,0%,1,3%,False,James Conner,True,26,9
2017.0,2017-09-24,3.0,3.0,22.142,PIT,CHI,L 17-23,False,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,3,11%,True,James Conner,False,17,23
2017.0,2017-10-01,4.0,4.0,22.149,PIT,BAL,W 26-9,False,4,26,6.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,8%,0,0%,3,12%,True,James Conner,True,26,9
2017.0,2017-10-08,5.0,5.0,22.156,PIT,JAX,L 9-30,False,3,9,3.00,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,8%,0,0%,6,23%,False,James Conner,False,9,30
2017.0,2017-10-15,6.0,6.0,22.163,PIT,KAN,W 19-13,False,2,14,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,8%,0,0%,5,20%,True,James Conner,True,19,13
2017.0,2017-10-22,7.0,7.0,22.17,PIT,CIN,W 29-14,False,3,19,6.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,9%,0,0%,5,19%,False,James Conner,True,29,14
2017.0,2017-10-29,8.0,8.0,22.177,PIT,DET,W 20-15,False,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,6%,0,0%,6,22%,True,James Conner,True,20,15
2017.0,2017-11-12,9.0,10.0,22.191,PIT,IND,W 20-17,False,1,12,12.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,4,13%,True,James Conner,True,20,17
2017.0,2017-11-16,10.0,11.0,22.195,PIT,TEN,W 40-17,False,5,12,2.40,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,11%,0,0%,4,13%,False,James Conner,True,40,17
2017.0,2017-11-26,11.0,12.0,22.205,PIT,GNB,W 31-28,False,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,1%,0,0%,5,18%,False,James Conner,True,31,28
2017.0,2017-12-04,12.0,13.0,22.213,PIT,CIN,W 23-20,False,3,12,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,5%,0,0%,7,26%,True,James Conner,True,23,20
2017.0,2017-12-10,13.0,14.0,22.219,PIT,BAL,W 39-38,False,2,6,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,8%,0,0%,12,34%,False,James Conner,True,39,38
2017.0,2017-12-17,14.0,15.0,22.226,PIT,NWE,L 24-27,False,3,13,4.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,14%,0,0%,5,20%,False,James Conner,False,24,27
2017.0,2017-12-25,15.0,16.0,,PIT,HOU,W 34-6,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,James Conner,True,34,6
