Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2014,2014-11-17,10,11,25.084,TEN,PIT,False,1,5,5.00,0,2,1,17,17.00,0,50.0%,8.50,0,0,,0,1,1,1.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,20%,0,0%,2,8%,False,False,24,27,Dexter McCluster
2014,2014-11-23,11,12,25.090,TEN,PHI,False,1,2,2.00,0,4,3,15,5.00,1,75.0%,3.75,0,0,,0,2,8,4.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,26,38%,0,0%,2,5%,True,False,24,43,Dexter McCluster
2014,2014-11-30,12,13,25.097,TEN,HOU,False,9,33,3.67,0,3,2,11,5.50,0,66.7%,3.67,0,0,,0,1,21,21.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,53%,0,0%,3,10%,True,False,21,45,Dexter McCluster
2014,2014-12-07,13,14,25.104,TEN,NYG,False,0,0,,0,4,2,10,5.00,0,50.0%,2.50,0,0,,0,1,4,4.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,9%,0,0%,4,13%,False,False,7,36,Dexter McCluster
2014,2014-12-14,14,15,25.111,TEN,NYJ,False,5,15,3.00,0,4,2,8,4.00,0,50.0%,2.00,0,0,,0,4,26,6.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,31%,0,0%,8,28%,False,False,11,16,Dexter McCluster
2014,2014-12-18,15,16,,TEN,JAX,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,13,21,Dexter McCluster
2014,2014-12-28,16,17,,TEN,IND,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,10,27,Dexter McCluster
2015,2015-09-13,1,1,26.019,TEN,TAM,False,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,,0,2,14,7.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,25%,0,0%,5,19%,True,True,42,14,Dexter McCluster
2015,2015-09-20,2,2,26.026,TEN,CLE,False,10,98,9.80,0,4,4,26,6.50,0,100.0%,6.50,0,0,,0,4,41,10.25,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,47,59%,0,0%,6,23%,True,False,14,28,Dexter McCluster
2015,2015-09-27,3,3,26.033,TEN,IND,True,5,7,1.40,0,2,1,35,35.00,0,50.0%,17.50,0,0,,0,3,-1,-0.33,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,43%,0,0%,7,21%,False,False,33,35,Dexter McCluster
2015,2015-10-11,4,5,26.047,TEN,BUF,False,8,20,2.50,0,1,1,-2,-2.00,0,100.0%,-2.00,1,20,20.00,0,5,66,13.20,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,43%,0,0%,8,31%,False,False,13,14,Dexter McCluster
2015,2015-10-18,5,6,26.054,TEN,MIA,False,5,23,4.60,0,4,3,19,6.33,1,75.0%,4.75,0,0,,0,1,14,14.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,28,41%,0,0%,3,12%,False,False,10,38,Dexter McCluster
2015,2015-10-25,6,7,26.061,TEN,ATL,True,5,20,4.00,0,8,6,48,8.00,0,75.0%,6.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,72%,0,0%,4,19%,False,False,7,10,Dexter McCluster
2015,2015-11-01,7,8,26.068,TEN,HOU,False,3,15,5.00,0,6,4,23,5.75,0,66.7%,3.83,2,61,30.50,0,5,63,12.60,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,53%,0,0%,11,38%,True,False,6,20,Dexter McCluster
2015,2015-11-08,8,9,26.075,TEN,NOR,False,8,19,2.38,0,4,2,28,14.00,0,50.0%,7.00,4,96,24.00,0,2,12,6.00,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,29,41%,0,0%,10,32%,True,True,34,28,Dexter McCluster
2015,2015-11-15,9,10,26.082,TEN,CAR,False,3,25,8.33,1,5,4,27,6.75,0,80.0%,5.40,5,86,17.20,0,0,0,,0,,1,6,0.0,0,0,0,0,0,1,1,0,1,0,0,18,39%,0,0%,10,40%,False,False,10,27,Dexter McCluster
2015,2015-11-19,10,11,26.086,TEN,JAX,False,2,0,0.00,0,2,2,18,9.00,0,100.0%,9.00,1,22,22.00,0,1,6,6.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,17%,0,0%,6,21%,True,False,13,19,Dexter McCluster
2015,2015-11-29,11,12,,TEN,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,21,24,Dexter McCluster
