Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-11-07,10.0,10.0,25.034,LAC,OAK,L 24-26,True,3,2,55,27.50,0,66.7%,18.33,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,71,95%,0,0%,0,0%,True,Mike Williams,False,24,26
2019.0,2019-11-18,11.0,11.0,25.045,LAC,KAN,L 17-24,True,6,2,76,38.00,0,33.3%,12.67,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,73,92%,0,0%,0,0%,False,Mike Williams,False,17,24
2019.0,2019-12-01,12.0,13.0,25.058,LAC,DEN,L 20-23,True,7,5,117,23.40,0,71.4%,16.71,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,55,89%,0,0%,0,0%,True,Mike Williams,False,20,23
2019.0,2019-12-08,13.0,14.0,25.065,LAC,JAX,W 45-10,True,3,2,63,31.50,1,66.7%,21.00,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,43,72%,0,0%,0,0%,True,Mike Williams,True,45,10
2019.0,2019-12-15,14.0,15.0,25.072,LAC,MIN,L 10-39,True,9,4,71,17.75,1,44.4%,7.89,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,52,84%,0,0%,0,0%,False,Mike Williams,False,10,39
2019.0,2019-12-22,15.0,16.0,25.079,LAC,OAK,L 17-24,True,4,3,51,17.00,0,75.0%,12.75,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,53,87%,0,0%,0,0%,False,Mike Williams,False,17,24
2019.0,2019-12-29,16.0,17.0,25.086,LAC,KAN,L 21-31,True,5,2,38,19.00,0,40.0%,7.60,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,56,73%,0,0%,0,0%,True,Mike Williams,False,21,31
2020.0,2020-09-13,1.0,1.0,25.345,LAC,CIN,W 16-13,True,9,4,69,17.25,0,44.4%,7.67,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,58,78%,0,0%,0,0%,True,Mike Williams,True,16,13
2020.0,2020-09-20,2.0,2.0,25.352,LAC,KAN,L 20-23,False,4,2,14,7.00,0,50.0%,3.50,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,74,89%,0,0%,0,0%,False,Mike Williams,False,20,23
2020.0,2020-09-27,3.0,3.0,25.359,LAC,CAR,L 16-21,True,1,1,17,17.00,0,100.0%,17.00,0,0,,0,,0,0,0,0,0,0,0,0,0,1,0,0,40,51%,0,0%,0,0%,False,Mike Williams,False,16,21
2020.0,2020-10-04,4.0,4.0,,LAC,TAM,L 31-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Mike Williams,False,31,38
2020.0,2020-10-12,5.0,5.0,26.008,LAC,NOR,L 27-30,False,8,5,109,21.80,2,62.5%,13.63,0,0,,0,,2,12,0,0,0,0,0,0,0,0,0,0,55,77%,0,0%,0,0%,True,Mike Williams,False,27,30
2020.0,2020-10-25,6.0,7.0,26.021,LAC,JAX,W 39-29,True,3,1,4,4.00,0,33.3%,1.33,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,61,75%,0,0%,0,0%,False,Mike Williams,True,39,29
2020.0,2020-11-01,7.0,8.0,26.028,LAC,DEN,L 30-31,True,8,5,99,19.80,1,62.5%,12.38,1,1,1.00,0,,1,6,0,0,0,0,0,0,0,0,0,0,76,87%,0,0%,0,0%,True,Mike Williams,False,30,31
2020.0,2020-11-08,8.0,9.0,26.035,LAC,LVR,L 26-31,True,7,5,81,16.20,0,71.4%,11.57,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,73,92%,0,0%,0,0%,False,Mike Williams,False,26,31
2020.0,2020-11-15,9.0,10.0,26.042,LAC,MIA,L 21-29,True,5,2,38,19.00,0,40.0%,7.60,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,48,75%,0,0%,0,0%,True,Mike Williams,False,21,29
2020.0,2020-11-22,10.0,11.0,26.049,LAC,NYJ,W 34-28,False,7,4,72,18.00,1,57.1%,10.29,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,68,83%,0,0%,0,0%,False,Mike Williams,True,34,28
2020.0,2020-11-29,11.0,12.0,26.056,LAC,BUF,L 17-27,True,5,3,26,8.67,0,60.0%,5.20,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,67,81%,0,0%,0,0%,True,Mike Williams,False,17,27
2020.0,2020-12-06,12.0,13.0,26.063,LAC,NWE,L 0-45,True,9,4,43,10.75,0,44.4%,4.78,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,59,82%,0,0%,0,0%,False,Mike Williams,False,0,45
