Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-09-09,1.0,1.0,23.036,SFO,MIN,L 16-24,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,8,12%,0,0%,0,0%,True,Kendrick Bourne,False,16,24
2018.0,2018-09-16,2.0,2.0,23.043,SFO,DET,W 30-27,False,1,1,4,4.00,1,100.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,10,16%,0,0%,0,0%,False,Kendrick Bourne,True,30,27
2018.0,2018-09-23,3.0,3.0,23.05,SFO,KAN,L 27-38,False,2,1,27,27.00,0,50.0%,13.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,15,22%,0,0%,6,21%,True,Kendrick Bourne,False,27,38
2018.0,2018-09-30,4.0,4.0,23.057,SFO,LAC,L 27-29,False,4,3,34,11.33,1,75.0%,8.50,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,25,42%,0,0%,0,0%,True,Kendrick Bourne,False,27,29
2018.0,2018-10-07,5.0,5.0,23.064,SFO,ARI,L 18-28,False,7,4,33,8.25,0,57.1%,4.71,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,42,43%,0,0%,0,0%,False,Kendrick Bourne,False,18,28
2018.0,2018-10-15,6.0,6.0,23.072,SFO,GNB,L 30-33,False,3,1,22,22.00,0,33.3%,7.33,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,23,40%,0,0%,0,0%,True,Kendrick Bourne,False,30,33
2018.0,2018-10-21,7.0,7.0,23.078,SFO,LAR,L 10-39,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,25,42%,0,0%,8,27%,False,Kendrick Bourne,False,10,39
2018.0,2018-10-28,8.0,8.0,23.085,SFO,ARI,L 15-18,True,10,7,71,10.14,0,70.0%,7.10,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,54,82%,0,0%,4,15%,True,Kendrick Bourne,False,15,18
2018.0,2018-11-01,9.0,9.0,23.089,SFO,OAK,W 34-3,False,2,2,6,3.00,1,100.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,12,22%,0,0%,4,15%,False,Kendrick Bourne,True,34,3
2018.0,2018-11-12,10.0,10.0,23.1,SFO,NYG,L 23-27,True,6,4,33,8.25,0,66.7%,5.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,69,95%,0,0%,0,0%,False,Kendrick Bourne,False,23,27
2018.0,2018-11-25,11.0,12.0,23.113,SFO,TAM,L 9-27,True,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,56,88%,0,0%,0,0%,True,Kendrick Bourne,False,9,27
2018.0,2018-12-02,12.0,13.0,23.12,SFO,SEA,L 16-43,True,7,4,60,15.00,0,57.1%,8.57,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,67,88%,0,0%,0,0%,True,Kendrick Bourne,False,16,43
2018.0,2018-12-09,13.0,14.0,23.127,SFO,DEN,W 20-14,True,4,2,22,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,1,0,0,43,60%,0,0%,0,0%,False,Kendrick Bourne,True,20,14
2018.0,2018-12-16,14.0,15.0,23.134,SFO,SEA,W 26-23,True,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,46,74%,0,0%,0,0%,False,Kendrick Bourne,True,26,23
2018.0,2018-12-23,15.0,16.0,23.141,SFO,CHI,L 9-14,True,5,4,73,18.25,0,80.0%,14.60,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,1,0,0,0,0,0,52,95%,0,0%,0,0%,False,Kendrick Bourne,False,9,14
2018.0,2018-12-30,16.0,17.0,23.148,SFO,LAR,L 32-48,True,6,5,59,11.80,1,83.3%,9.83,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,58,94%,0,0%,0,0%,True,Kendrick Bourne,False,32,48
2019.0,2019-09-08,1.0,1.0,24.035,SFO,TAM,W 31-17,False,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,17,25%,0,0%,9,36%,True,Kendrick Bourne,True,31,17
2019.0,2019-09-15,2.0,2.0,24.042,SFO,CIN,W 41-17,False,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,23,33%,0,0%,14,45%,True,Kendrick Bourne,True,41,17
2019.0,2019-09-22,3.0,3.0,24.049,SFO,PIT,W 24-20,False,2,1,22,22.00,0,50.0%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,22,28%,0,0%,9,33%,False,Kendrick Bourne,True,24,20
2019.0,2019-10-07,4.0,5.0,24.064,SFO,CLE,W 31-3,False,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,16,21%,0,0%,8,29%,False,Kendrick Bourne,True,31,3
2019.0,2019-10-13,5.0,6.0,24.07,SFO,LAR,W 20-7,False,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,22,29%,0,0%,7,27%,True,Kendrick Bourne,True,20,7
2019.0,2019-10-20,6.0,7.0,24.077,SFO,WAS,W 9-0,False,4,3,69,23.00,0,75.0%,17.25,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,57,89%,0,0%,8,50%,True,Kendrick Bourne,True,9,0
2019.0,2019-10-27,7.0,8.0,24.084,SFO,CAR,W 51-13,False,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,30,45%,0,0%,11,35%,False,Kendrick Bourne,True,51,13
