Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2014,2014-11-20,11,12,27.328,KAN,OAK,True,19,80,4.21,0,7,4,42,10.50,1,57.1%,6.00,0,0,,0,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,60,91%,0,0%,0,0%,True,False,20,24,Jamaal Charles
2014,2014-11-30,12,13,27.338,KAN,DEN,True,10,35,3.50,0,6,4,24,6.00,1,66.7%,4.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,43,96%,0,0%,0,0%,False,False,16,29,Jamaal Charles
2014,2014-12-07,13,14,27.345,KAN,ARI,True,10,91,9.10,1,4,2,20,10.00,1,50.0%,5.00,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,50,77%,0,0%,0,0%,True,False,14,17,Jamaal Charles
2014,2014-12-14,14,15,27.352,KAN,OAK,True,12,52,4.33,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,58%,0,0%,0,0%,False,True,31,13,Jamaal Charles
2014,2014-12-21,15,16,27.359,KAN,PIT,True,9,29,3.22,0,7,5,48,9.60,0,71.4%,6.86,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,54,82%,0,0%,0,0%,True,False,12,20,Jamaal Charles
2014,2014-12-28,16,17,28.001,KAN,SDG,True,13,54,4.15,0,3,2,8,4.00,0,66.7%,2.67,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,65%,0,0%,0,0%,False,True,19,7,Jamaal Charles
2015,2015-09-13,1,1,28.260,KAN,HOU,True,16,57,3.56,0,8,5,46,9.20,1,62.5%,5.75,0,0,,0,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,52,74%,0,0%,0,0%,True,True,27,20,Jamaal Charles
2015,2015-09-17,2,2,28.264,KAN,DEN,True,21,125,5.95,1,5,4,2,0.50,0,80.0%,0.40,0,0,,0,,1,6,0.0,0,0,0,0,0,2,2,0,0,0,0,55,86%,0,0%,0,0%,False,False,24,31,Jamaal Charles
2015,2015-09-28,3,3,28.275,KAN,GNB,True,11,49,4.45,3,7,5,33,6.60,0,71.4%,4.71,0,0,,0,,3,18,0.0,0,0,0,,,0,0,0,0,0,0,62,87%,0,0%,0,0%,True,False,28,38,Jamaal Charles
2015,2015-10-04,4,4,28.281,KAN,CIN,True,11,75,6.82,0,6,6,70,11.67,0,100.0%,11.67,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,77%,0,0%,0,0%,True,False,21,36,Jamaal Charles
2015,2015-10-11,5,5,28.288,KAN,CHI,True,12,58,4.83,0,3,1,26,26.00,0,33.3%,8.67,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,62%,0,0%,0,0%,False,False,17,18,Jamaal Charles
2015,2015-10-18,6,6,,KAN,MIN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,10,16,Jamaal Charles
2015,2015-10-25,7,7,,KAN,PIT,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,23,13,Jamaal Charles
2015,2015-11-01,8,8,,KAN,DET,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,45,10,Jamaal Charles
2015,2015-11-15,9,10,,KAN,DEN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,29,13,Jamaal Charles
2015,2015-11-22,10,11,,KAN,SDG,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,33,3,Jamaal Charles
2015,2015-11-29,11,12,,KAN,BUF,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,30,22,Jamaal Charles
2015,2015-12-06,12,13,,KAN,OAK,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,34,20,Jamaal Charles
2015,2015-12-13,13,14,,KAN,SDG,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,10,3,Jamaal Charles
2015,2015-12-20,14,15,,KAN,BAL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,34,14,Jamaal Charles
2015,2015-12-27,15,16,,KAN,CLE,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,17,13,Jamaal Charles
