Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-11-17,11,11,23.283,PIT,@,TEN,W 27-24,True,5,1,6,6.00,0,20.0%,1.20,0,0,,0,5,123,24.60,0,,0,0,0.0,0,0,0,,,39,53%,0,0%,5,19%,True,Markus Wheaton
2014,2014-11-30,12,13,23.296,PIT,,NOR,L 32-35,True,9,5,61,12.20,0,55.6%,6.78,0,0,,0,3,87,29.00,0,,0,0,0.0,0,0,0,,,64,72%,0,0%,6,20%,False,Markus Wheaton
2014,2014-12-07,13,14,23.303,PIT,@,CIN,W 42-21,False,3,2,31,15.50,0,66.7%,10.33,0,0,,0,1,19,19.00,0,,0,0,0.0,0,0,0,,,41,56%,0,0%,4,11%,True,Markus Wheaton
2014,2014-12-14,14,15,23.310,PIT,@,ATL,W 27-20,False,5,5,66,13.20,0,100.0%,13.20,0,0,,0,2,50,25.00,0,,0,0,0.0,0,0,0,,,35,59%,0,0%,5,19%,True,Markus Wheaton
2014,2014-12-21,15,16,23.317,PIT,,KAN,W 20-12,False,3,2,27,13.50,0,66.7%,9.00,0,0,,0,3,70,23.33,0,,0,0,0.0,0,0,0,,,27,50%,0,0%,5,23%,False,Markus Wheaton
2014,2014-12-28,16,17,23.324,PIT,,CIN,W 27-17,True,4,3,17,5.67,0,75.0%,4.25,0,0,,0,2,52,26.00,0,,0,0,0.0,0,0,0,,,35,59%,0,0%,4,15%,False,Markus Wheaton
2015,2015-09-10,1,1,24.215,PIT,@,NWE,L 21-28,True,7,3,55,18.33,0,42.9%,7.86,0,0,,0,0,0,,0,1,0,2,0.0,0,0,0,,,66,92%,0,0%,0,0%,True,Markus Wheaton
2015,2015-09-20,2,2,24.225,PIT,,SFO,W 43-18,False,4,2,67,33.50,0,50.0%,16.75,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,52,91%,0,0%,1,4%,False,Markus Wheaton
2015,2015-09-27,3,3,24.232,PIT,@,STL,W 12-6,True,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,55,87%,0,0%,0,0%,True,Markus Wheaton
2015,2015-10-01,4,4,24.236,PIT,,BAL,L 20-23,True,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,16,25%,0,0%,0,0%,False,Markus Wheaton
2015,2015-10-12,5,5,24.247,PIT,@,SDG,W 24-20,False,3,1,72,72.00,1,33.3%,24.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,36,63%,0,0%,0,0%,True,Markus Wheaton
