Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2000,2000-10-02,5,5,23.256,SEA,KAN,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,17,24,Rian Lindell
2000,2000-10-08,6,6,23.262,SEA,CAR,False,,,,1,1,100.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,3,26,Rian Lindell
2000,2000-10-15,7,7,23.269,SEA,IND,False,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,24,37,Rian Lindell
2000,2000-10-22,8,8,23.276,SEA,OAK,False,,,,1,2,50.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,3,31,Rian Lindell
2000,2000-10-29,9,9,23.283,SEA,KAN,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,19,24,Rian Lindell
2000,2000-11-05,10,10,23.290,SEA,SDG,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,17,15,Rian Lindell
2000,2000-11-12,11,11,23.297,SEA,JAX,False,4,4,100.0,,,,0,4,0.0,,,,,,0,,,0,0,0,0,0,,,,,,,,,True,True,28,21,Rian Lindell
2000,2000-11-26,12,13,23.311,SEA,DEN,False,4,4,100.0,1,1,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,31,38,Rian Lindell
2000,2000-12-03,13,14,23.318,SEA,ATL,False,3,3,100.0,3,3,100.0,0,12,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,30,10,Rian Lindell
2000,2000-12-10,14,15,23.325,SEA,DEN,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,24,31,Rian Lindell
2000,2000-12-16,15,16,23.331,SEA,OAK,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,27,24,Rian Lindell
2000,2000-12-23,16,17,23.338,SEA,BUF,False,2,2,100.0,1,1,100.0,0,5,0.0,1,0,1,0,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,23,42,Rian Lindell
2001,2001-09-09,1,1,24.232,SEA,CLE,False,,,,3,4,75.0,0,9,0.0,0,1,1,0,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,9,6,Rian Lindell
2001,2001-09-23,2,2,24.246,SEA,PHI,False,,,,1,1,100.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,3,27,Rian Lindell
2001,2001-09-30,3,3,24.253,SEA,OAK,False,2,2,100.0,,2,0.0,0,2,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,14,38,Rian Lindell
2001,2001-10-07,4,4,24.260,SEA,JAX,False,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,24,15,Rian Lindell
2001,2001-10-14,5,5,24.267,SEA,DEN,False,4,4,100.0,2,2,100.0,0,10,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,34,21,Rian Lindell
2001,2001-10-28,6,7,24.281,SEA,MIA,False,2,2,100.0,2,4,50.0,0,8,0.0,0,0,0,0,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,20,24,Rian Lindell
2001,2001-11-04,7,8,24.288,SEA,WAS,False,2,2,100.0,,,,0,2,0.0,1,0,1,0,,0,,0,0,0,0,0,0,,,,,,,,,True,False,14,27,Rian Lindell
2001,2001-11-11,8,9,24.295,SEA,OAK,False,4,4,100.0,2,2,100.0,0,10,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,34,27,Rian Lindell
2001,2001-11-18,9,10,24.302,SEA,BUF,False,2,2,100.0,3,3,100.0,0,11,0.0,1,0,1,0,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,23,20,Rian Lindell
2001,2001-11-25,10,11,24.309,SEA,KAN,False,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,0,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,7,19,Rian Lindell
2001,2001-12-02,11,12,24.316,SEA,SDG,False,1,1,100.0,2,4,50.0,0,7,0.0,0,0,0,0,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,13,10,Rian Lindell
2001,2001-12-09,12,13,24.323,SEA,DEN,False,1,1,100.0,,1,0.0,0,1,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,7,20,Rian Lindell
2001,2001-12-16,13,14,24.330,SEA,DAL,False,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,29,3,Rian Lindell
2001,2001-12-23,14,15,24.337,SEA,NYG,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,24,27,Rian Lindell
2001,2001-12-30,15,16,24.344,SEA,SDG,False,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,25,22,Rian Lindell
2001,2002-01-06,16,17,24.351,SEA,KAN,False,3,3,100.0,,1,0.0,0,3,0.0,0,0,0,0,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,21,18,Rian Lindell
2002,2002-09-08,1,1,25.231,SEA,OAK,False,2,2,100.0,1,2,50.0,0,5,0.0,1,0,1,0,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,17,31,Rian Lindell
2002,2002-09-15,2,2,25.238,SEA,ARI,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,13,24,Rian Lindell
2002,2002-09-22,3,3,25.245,SEA,NYG,False,,,,2,2,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,6,9,Rian Lindell
2002,2002-09-29,4,4,25.252,SEA,MIN,False,6,6,100.0,2,2,100.0,0,12,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,48,23,Rian Lindell
2002,2002-10-14,5,6,25.267,SEA,SFO,False,3,3,100.0,,2,0.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,21,28,Rian Lindell
2002,2002-10-20,6,7,25.273,SEA,STL,False,2,2,100.0,,1,0.0,0,2,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,20,37,Rian Lindell
2002,2002-10-27,7,8,25.280,SEA,DAL,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,17,14,Rian Lindell
2002,2002-11-03,8,9,25.287,SEA,WAS,False,,,,1,1,100.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,3,14,Rian Lindell
2002,2002-11-10,9,10,25.294,SEA,ARI,False,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,27,6,Rian Lindell
2002,2002-11-17,10,11,25.301,SEA,DEN,False,,,,3,3,100.0,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,9,31,Rian Lindell
2002,2002-11-24,11,12,25.308,SEA,KAN,False,4,4,100.0,1,2,50.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,39,32,Rian Lindell
2002,2002-12-01,12,13,25.315,SEA,SFO,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,24,31,Rian Lindell
2002,2002-12-08,13,14,25.322,SEA,PHI,False,2,2,100.0,2,2,100.0,0,8,0.0,2,0,2,0,,0,,1,0,0,0,0,0,,0,,,,,,,False,False,20,27,Rian Lindell
2002,2002-12-15,14,15,25.329,SEA,ATL,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,30,24,Rian Lindell
2002,2002-12-22,15,16,25.336,SEA,STL,False,3,3,100.0,3,3,100.0,0,12,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,30,10,Rian Lindell
2002,2002-12-29,16,17,25.343,SEA,SDG,False,4,4,100.0,1,2,50.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,31,28,Rian Lindell
2003,2003-09-07,1,1,26.230,BUF,NWE,False,4,4,100.0,1,1,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,31,0,Rian Lindell
2003,2003-09-14,2,2,26.237,BUF,JAX,False,5,5,100.0,1,1,100.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,38,17,Rian Lindell
2003,2003-09-21,3,3,26.244,BUF,MIA,False,1,1,100.0,,,,0,1,0.0,,,,,,0,,,0,0,0,0,0,,,,,,,,,True,False,7,17,Rian Lindell
2003,2003-09-28,4,4,26.251,BUF,PHI,False,1,1,100.0,,1,0.0,0,1,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,13,23,Rian Lindell
2003,2003-10-05,5,5,26.258,BUF,CIN,False,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,22,16,Rian Lindell
2003,2003-10-12,6,6,26.265,BUF,NYJ,False,,,,1,1,100.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,3,30,Rian Lindell
2003,2003-10-19,7,7,26.272,BUF,WAS,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,24,7,Rian Lindell
2003,2003-10-26,8,8,26.279,BUF,KAN,False,,,,1,2,50.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,5,38,Rian Lindell
2003,2003-11-09,9,10,26.293,BUF,DAL,False,,,,2,2,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,6,10,Rian Lindell
2003,2003-11-16,10,11,26.300,BUF,HOU,False,,,,2,4,50.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,10,12,Rian Lindell
2003,2003-11-23,11,12,26.307,BUF,IND,False,2,2,100.0,,1,0.0,0,2,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,14,17,Rian Lindell
2003,2003-11-30,12,13,26.314,BUF,NYG,False,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,24,7,Rian Lindell
2003,2003-12-07,13,14,26.321,BUF,NYJ,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,17,6,Rian Lindell
2003,2003-12-14,14,15,26.328,BUF,TEN,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,26,28,Rian Lindell
2003,2003-12-21,15,16,26.335,BUF,MIA,False,,,,1,1,100.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,3,20,Rian Lindell
2003,2003-12-27,16,17,26.341,BUF,NWE,False,,,,,1,0.0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,0,31,Rian Lindell
2004,2004-09-12,1,1,27.236,BUF,JAX,False,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,10,13,Rian Lindell
2004,2004-09-19,2,2,27.243,BUF,OAK,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,10,13,Rian Lindell
