Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Away_status,Win,Score,Opp Score,Player
1997,1997-11-30,13,14,23.294,NYG,TAM,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,228,45.60,0,False,False,8,20,Brad Maynard
1997,1997-12-07,14,15,23.301,NYG,PHI,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,169,28.17,0,True,True,31,21,Brad Maynard
1997,1997-12-13,15,16,23.307,NYG,WAS,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,241,40.17,0,False,True,30,10,Brad Maynard
1997,1997-12-21,16,17,23.315,NYG,DAL,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,8,317,39.63,0,True,True,20,7,Brad Maynard
1998,1998-09-06,1,1,24.209,NYG,WAS,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,8,362,45.25,0,False,True,31,24,Brad Maynard
1998,1998-09-13,2,2,24.216,NYG,OAK,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,8,353,44.13,0,True,False,17,20,Brad Maynard
1998,1998-09-21,3,3,24.224,NYG,DAL,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,10,438,43.80,0,False,False,7,31,Brad Maynard
1998,1998-09-27,4,4,24.230,NYG,SDG,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,285,47.50,0,True,True,34,16,Brad Maynard
1998,1998-10-04,5,5,24.237,NYG,TAM,False,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0.0,,,,,,0,,0,0,0,0,7,323,46.14,0,True,False,3,20,Brad Maynard
1998,1998-10-11,6,6,24.244,NYG,ATL,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,7,343,49.00,0,False,False,20,34,Brad Maynard
1998,1998-10-18,7,7,24.251,NYG,ARI,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,3,162,54.00,0,False,True,34,7,Brad Maynard
1998,1998-11-01,8,9,24.265,NYG,WAS,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,11,497,45.18,0,True,False,14,21,Brad Maynard
1998,1998-11-08,9,10,24.272,NYG,DAL,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,211,42.20,0,True,False,6,16,Brad Maynard
1998,1998-11-15,10,11,24.279,NYG,GNB,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,8,377,47.13,0,False,False,3,37,Brad Maynard
1998,1998-11-22,11,12,24.286,NYG,PHI,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,230,38.33,0,False,True,20,0,Brad Maynard
1998,1998-11-30,12,13,24.294,NYG,SFO,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,214,42.80,0,True,False,7,31,Brad Maynard
1998,1998-12-06,13,14,24.300,NYG,ARI,False,0,0,,0,0,0,,0,0,,,1,-5,-5.00,0,0.0,,,,,,0,,0,0,0,0,5,238,47.60,0,True,True,23,19,Brad Maynard
1998,1998-12-13,14,15,24.307,NYG,DEN,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,3,115,38.33,0,False,True,20,16,Brad Maynard
1998,1998-12-20,15,16,24.314,NYG,KAN,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,228,45.60,0,False,True,28,7,Brad Maynard
1998,1998-12-27,16,17,24.321,NYG,PHI,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,4,190,47.50,0,True,True,20,10,Brad Maynard
1999,1999-09-12,1,1,25.215,NYG,TAM,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,12,526,43.83,0,True,True,17,13,Brad Maynard
1999,1999-09-19,2,2,25.222,NYG,WAS,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,233,46.60,0,False,False,21,50,Brad Maynard
1999,1999-09-26,3,3,25.229,NYG,NWE,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,182,36.40,0,True,False,14,16,Brad Maynard
1999,1999-10-03,4,4,25.236,NYG,PHI,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,3,104,34.67,0,False,True,16,15,Brad Maynard
1999,1999-10-10,5,5,25.243,NYG,ARI,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,284,47.33,0,True,False,3,14,Brad Maynard
1999,1999-10-18,6,6,25.251,NYG,DAL,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,8,285,35.63,0,False,True,13,10,Brad Maynard
1999,1999-10-24,7,7,25.257,NYG,NOR,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,241,40.17,0,False,True,31,3,Brad Maynard
1999,1999-10-31,8,8,25.264,NYG,PHI,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,1,0,1,0,,0,,0,0,0,0,8,338,42.25,0,True,True,23,17,Brad Maynard
1999,1999-11-14,9,10,25.278,NYG,IND,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,189,37.80,0,False,False,19,27,Brad Maynard
1999,1999-11-21,10,11,25.285,NYG,WAS,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,218,43.60,0,True,False,13,23,Brad Maynard
1999,1999-11-28,11,12,25.292,NYG,ARI,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,253,42.17,0,False,False,24,34,Brad Maynard
1999,1999-12-05,12,13,25.299,NYG,NYJ,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,3,94,31.33,0,False,True,41,28,Brad Maynard
1999,1999-12-12,13,14,25.306,NYG,BUF,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,233,46.60,0,True,True,19,17,Brad Maynard
1999,1999-12-19,14,15,25.313,NYG,STL,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,199,39.80,0,True,False,10,31,Brad Maynard
1999,1999-12-26,15,16,25.320,NYG,MIN,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,2,93,46.50,0,False,False,17,34,Brad Maynard
1999,2000-01-02,16,17,25.327,NYG,DAL,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,179,35.80,0,True,False,18,26,Brad Maynard
2000,2000-09-03,1,1,26.207,NYG,ARI,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,256,42.67,0,False,True,21,16,Brad Maynard
2000,2000-09-10,2,2,26.214,NYG,PHI,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,2,70,35.00,0,True,True,33,18,Brad Maynard
2000,2000-09-17,3,3,26.221,NYG,CHI,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,0,0,,0,,0,0,0,0,4,162,40.50,0,True,True,14,7,Brad Maynard
2000,2000-09-24,4,4,26.228,NYG,WAS,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,8,337,42.13,0,False,False,6,16,Brad Maynard
2000,2000-10-01,5,5,26.235,NYG,TEN,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,277,55.40,0,True,False,14,28,Brad Maynard
2000,2000-10-08,6,6,26.242,NYG,ATL,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,7,247,35.29,0,True,True,13,6,Brad Maynard
2000,2000-10-15,7,7,26.249,NYG,DAL,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,0,0,,0,,0,0,0,0,7,278,39.71,0,False,True,19,14,Brad Maynard
2000,2000-10-29,8,9,26.263,NYG,PHI,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,1,0,1,0,,0,,0,0,0,0,6,274,45.67,0,False,True,24,7,Brad Maynard
2000,2000-11-05,9,10,26.270,NYG,CLE,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,3,136,45.33,0,True,True,24,3,Brad Maynard
2000,2000-11-12,10,11,26.277,NYG,STL,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,1,0,1,0,,0,,0,0,0,0,6,303,50.50,0,False,False,24,38,Brad Maynard
2000,2000-11-19,11,12,26.284,NYG,DET,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,4,170,42.50,1,False,False,21,31,Brad Maynard
2000,2000-11-26,12,13,26.291,NYG,ARI,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,0,0,,0,,0,0,0,0,4,163,40.75,0,True,True,31,7,Brad Maynard
2000,2000-12-03,13,14,26.298,NYG,WAS,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,172,34.40,0,True,True,9,7,Brad Maynard
2000,2000-12-10,14,15,26.305,NYG,PIT,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,1,25,25.00,0,False,True,30,10,Brad Maynard
2000,2000-12-17,15,16,26.312,NYG,DAL,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,0,0,,0,,0,0,0,0,6,191,31.83,0,True,True,17,13,Brad Maynard
2000,2000-12-23,16,17,26.318,NYG,JAX,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,149,29.80,0,False,True,28,25,Brad Maynard
2001,2001-09-09,1,1,27.212,CHI,BAL,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,196,39.20,0,True,False,6,17,Brad Maynard
2001,2001-09-23,2,2,27.226,CHI,MIN,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,0,0,,0,,0,0,0,0,7,282,40.29,0,False,True,17,10,Brad Maynard
2001,2001-10-07,3,4,27.240,CHI,ATL,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,4,171,42.75,0,True,True,31,3,Brad Maynard
2001,2001-10-14,4,5,27.247,CHI,ARI,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,4,179,44.75,0,False,True,20,13,Brad Maynard
2001,2001-10-21,5,6,27.254,CHI,CIN,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,0,0,,0,,0,0,0,0,3,145,48.33,0,True,True,24,0,Brad Maynard
2001,2001-10-28,6,7,27.261,CHI,SFO,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,203,40.60,0,False,True,37,31,Brad Maynard
2001,2001-11-04,7,8,27.268,CHI,CLE,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,4,189,47.25,0,False,True,27,21,Brad Maynard
2001,2001-11-11,8,9,27.275,CHI,GNB,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,233,46.60,0,False,False,12,20,Brad Maynard
2001,2001-11-18,9,10,27.282,CHI,TAM,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,0,0,,0,,0,0,0,0,7,347,49.57,0,True,True,27,24,Brad Maynard
2001,2001-11-25,10,11,27.289,CHI,MIN,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,1,0,1,0,,0,,0,0,0,0,8,345,43.13,0,True,True,13,6,Brad Maynard
