Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-11-25,11,12,23.009,SFO,@,TAM,L 9-27,False,7,33,4.71,0,1,1,8,8.00,0,100.0%,8.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,39%,0,0%,10,36%,True,Jeff Wilson
2018,2018-12-02,12,13,23.016,SFO,@,SEA,L 16-43,False,15,61,4.07,0,9,8,73,9.13,0,88.9%,8.11,0,0,0.0,0,0,0,,,1,1,0,0,0,0,54,71%,0,0%,6,20%,True,Jeff Wilson
2018,2018-12-09,13,14,23.023,SFO,,DEN,W 20-14,True,23,90,3.91,0,2,1,6,6.00,0,50.0%,3.00,0,0,0.0,0,0,0,,,1,0,0,0,0,0,62,86%,0,0%,0,0%,False,Jeff Wilson
2018,2018-12-16,14,15,23.030,SFO,,SEA,W 26-23,False,7,46,6.57,0,1,0,0,,0,0.0%,0.00,0,0,0.0,1,0,1,0,0,1,1,0,0,0,0,12,19%,0,0%,7,21%,False,Jeff Wilson
2018,2018-12-23,15,16,23.037,SFO,,CHI,L 9-14,False,11,27,2.45,0,2,2,11,5.50,0,100.0%,5.50,0,0,0.0,0,0,0,,,0,0,0,0,0,0,38,69%,0,0%,1,5%,False,Jeff Wilson
2018,2018-12-30,16,17,23.044,SFO,@,LAR,L 32-48,True,3,9,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,10%,0,0%,0,0%,True,Jeff Wilson
2019,2019-09-15,2,2,23.303,SFO,@,CIN,W 41-17,False,10,34,3.40,2,0,0,0,,0,0.0%,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,15,21%,0,0%,12,39%,True,Jeff Wilson
2019,2019-09-22,3,3,23.310,SFO,,PIT,W 24-20,False,8,18,2.25,2,1,0,0,,0,0.0%,0.00,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,21,27%,0,0%,9,33%,False,Jeff Wilson
2019,2019-10-07,4,5,,SFO,,CLE,W 31-3,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jeff Wilson
2019,2019-10-13,5,6,23.331,SFO,@,LAR,W 20-7,False,,,,,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,12,46%,True,Jeff Wilson
2019,2019-10-20,6,7,23.338,SFO,@,WAS,W 9-0,False,5,20,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,13%,0,0%,9,56%,True,Jeff Wilson
2019,2019-10-27,7,8,23.345,SFO,,CAR,W 51-13,False,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,5%,0,0%,17,55%,False,Jeff Wilson
2019,2019-10-31,8,9,23.349,SFO,@,ARI,W 28-25,False,0,0,,0,1,1,2,2.00,0,100.0%,2.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,14,54%,True,Jeff Wilson
2019,2019-11-11,9,10,,SFO,,SEA,L 24-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jeff Wilson
2019,2019-11-17,10,11,24.001,SFO,,ARI,W 36-26,False,0,0,,0,1,1,25,25.00,1,100.0%,25.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1%,0,0%,13,50%,False,Jeff Wilson
2019,2019-11-24,11,12,24.008,SFO,,GNB,W 37-8,False,2,27,13.50,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,10%,0,0%,4,15%,False,Jeff Wilson
2019,2019-12-01,12,13,24.015,SFO,@,BAL,L 17-20,False,0,0,,0,1,1,7,7.00,0,100.0%,7.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,9%,0,0%,2,10%,True,Jeff Wilson
2019,2019-12-08,13,14,,SFO,@,NOR,W 48-46,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jeff Wilson
2019,2019-12-15,14,15,24.029,SFO,,ATL,L 22-29,False,,,,,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,5,17%,False,Jeff Wilson
2019,2019-12-21,15,16,,SFO,,LAR,W 34-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jeff Wilson
2019,2019-12-29,16,17,,SFO,@,SEA,W 26-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jeff Wilson
2020,2020-09-13,1,1,24.302,SFO,,ARI,L 20-24,False,,,,,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,5,18%,False,Jeff Wilson
2020,2020-09-20,2,2,24.309,SFO,@,NYJ,W 31-13,False,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,8%,0,0%,17,63%,True,Jeff Wilson
2020,2020-09-27,3,3,24.316,SFO,@,NYG,W 36-9,False,12,15,1.25,1,3,3,54,18.00,1,100.0%,18.00,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,23,29%,0,0%,4,17%,True,Jeff Wilson
