Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-09-16,2,2,25.029,PHI,BAL,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,9,29%,False,True,24,23,Alex Henery
2012,2012-09-23,3,3,25.036,PHI,ARI,False,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,5,19%,True,False,6,27,Alex Henery
2012,2012-09-30,4,4,25.043,PHI,NYG,False,1,1,100.0,4,4,100.0,0,13,0.0,1,0,1,0,0,0,0%,0,0%,11,39%,False,True,19,17,Alex Henery
2012,2012-10-07,5,5,25.050,PHI,PIT,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0%,0,0%,5,22%,True,False,14,16,Alex Henery
2012,2012-10-14,6,6,25.057,PHI,DET,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0%,0,0%,11,31%,False,False,23,26,Alex Henery
2012,2012-10-28,7,8,25.071,PHI,ATL,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,7,28%,False,False,17,30,Alex Henery
2012,2012-11-05,8,9,25.079,PHI,NOR,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,7,29%,True,False,13,28,Alex Henery
2012,2012-11-11,9,10,25.085,PHI,DAL,False,2,3,66.7,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,9,25%,False,False,23,38,Alex Henery
2012,2012-11-18,10,11,25.092,PHI,WAS,False,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,5,19%,True,False,6,31,Alex Henery
2012,2012-11-26,11,12,25.100,PHI,CAR,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0%,0,0%,10,36%,False,False,22,30,Alex Henery
2012,2012-12-02,12,13,25.106,PHI,DAL,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,11,38%,True,False,33,38,Alex Henery
2012,2012-12-09,13,14,25.113,PHI,TAM,False,2,2,100.0,1,3,33.3,0,5,0.0,0,0,0,,,0,0%,0,0%,9,27%,True,True,23,21,Alex Henery
2012,2012-12-13,14,15,25.117,PHI,CIN,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,7,22%,False,False,13,34,Alex Henery
2012,2012-12-23,15,16,25.127,PHI,WAS,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0%,0,0%,9,38%,False,False,20,27,Alex Henery
2012,2012-12-30,16,17,25.134,PHI,NYG,False,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,,,0,0%,0,0%,4,17%,True,False,7,42,Alex Henery
2013,2013-09-09,1,1,26.022,PHI,WAS,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,11,35%,True,True,33,27,Alex Henery
2013,2013-09-15,2,2,26.028,PHI,SDG,False,3,3,100.0,3,4,75.0,0,12,0.0,0,0,0,,,0,0%,0,0%,15,44%,False,False,30,33,Alex Henery
2013,2013-09-19,3,3,26.032,PHI,KAN,False,1,1,100.0,1,2,50.0,0,4,0.0,1,0,1,0,0,0,0%,0,0%,8,26%,False,False,16,26,Alex Henery
2013,2013-09-29,4,4,26.042,PHI,DEN,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0%,0,0%,10,29%,True,False,20,52,Alex Henery
2013,2013-10-06,5,5,26.049,PHI,NYG,False,3,3,100.0,5,5,100.0,0,18,0.0,0,0,0,,,0,0%,0,0%,16,43%,True,True,36,21,Alex Henery
2013,2013-10-13,6,6,26.056,PHI,TAM,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,0,0,0%,0,0%,11,37%,True,True,31,20,Alex Henery
2013,2013-10-20,7,7,26.063,PHI,DAL,False,,,,1,2,50.0,0,3,0.0,0,0,0,,,0,0%,0,0%,4,14%,False,False,3,17,Alex Henery
2013,2013-10-27,8,8,26.070,PHI,NYG,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0%,0,0%,3,12%,False,False,7,15,Alex Henery
2013,2013-11-03,9,9,26.077,PHI,OAK,False,7,7,100.0,,,,0,7,0.0,0,0,0,,,0,0%,0,0%,15,38%,True,True,49,20,Alex Henery
2013,2013-11-10,10,10,26.084,PHI,GNB,False,3,3,100.0,2,3,66.7,0,9,0.0,0,0,0,,,0,0%,0,0%,12,48%,True,True,27,13,Alex Henery
2013,2013-11-17,11,11,26.091,PHI,WAS,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,9,38%,False,True,24,16,Alex Henery
2013,2013-12-01,12,13,26.105,PHI,ARI,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,9,32%,False,True,24,21,Alex Henery
2013,2013-12-08,13,14,26.112,PHI,DET,False,,,,,,,0,0,0.0,,,,,,0,0%,0,0%,6,26%,False,True,34,20,Alex Henery
2013,2013-12-15,14,15,26.119,PHI,MIN,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0%,0,0%,10,29%,True,False,30,48,Alex Henery
2013,2013-12-22,15,16,26.126,PHI,CHI,False,7,7,100.0,1,1,100.0,0,10,0.0,0,0,0,,,0,0%,0,0%,17,59%,False,True,54,11,Alex Henery
2013,2013-12-29,16,17,26.133,PHI,DAL,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,9,33%,True,True,24,22,Alex Henery
2014,2014-09-28,4,4,27.041,DET,NYJ,False,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,0%,0,0%,5,17%,True,True,24,17,Alex Henery
2014,2014-10-05,5,5,27.048,DET,BUF,False,2,2,100.0,,3,0.0,0,2,0.0,0,0,0,,,0,0%,0,0%,5,16%,False,False,14,17,Alex Henery
,50 Games,,,,,,False,121,122,99.2,75,91,82.4,0,346,0.0,4,0,4,0,0,,,,,,,False,False,27,0,Alex Henery
